Controls,Coef,P,R2
None,63.00751687648234,6.591087616097088e-05,0.2573847201739774
+ PCP,58.67130267393747,0.0004861603549614509,0.2648119783306123
"+ Poverty, Unemp",78.74200507417058,0.00015187688859926322,0.3325067619911354
Full,64.51903218354072,0.006890529305189367,0.40887784654544757
