Threshold,N_above,N_below,Coefficient,SE,P_value,Significant
≥20%,45,11,11.429807821539784,19.175488008714144,0.5511328301673601,
≥25%,33,23,37.587971075194524,19.7296791200622,0.05676075400870856,†
≥30%,27,29,56.05864729070984,24.328052724843246,0.021206926397579526,✅
≥35%,20,36,12.017012723103136,29.785989367174114,0.6866207832080178,
≥40%,7,49,-6.064299385393028,30.419935764940615,0.8419867791286175,
≥45%,6,50,-24.867574500897327,30.934229977682214,0.42146318769106395,
