Analysis,Coef,SE,p
Quintile bins (Q5 vs Q1),5.601190476190517,22.123589994810008,0.8001312178218476
Quadratic (MC²),-621.971511681626,5143.826342157874,0.9037574757230613
Piecewise spline (above median),-76.47794400475823,726.0698424028677,0.916112857784527
Intensity DiD (MC2016 × Post),-372.0727546431824,131.05780001822552,0.004525552442342276
DiD with county trends,0.8546002183366622,2.243174313849727,0.703219522024436
DiD (wild bootstrap p),-27.569261376964654,,0.984984984984985
