Model,Outcome_Var,MC_coef,MC_p,PCP_coef,PCP_p,R2
Supply,pcp_per_100k,-378.6369204057396,0.006593637783302647,,,0.30152127237342785
Utilization,ed_admit_rate,-0.01725031963539144,0.777322925242844,-0.00012202247803616651,0.038196149277683285,0.48473227746010594
Outcome,pqi_mean_rate,96.66187740635266,0.6952187618323189,-0.5035190500889896,0.033554834257505765,0.24528450327559392
