Year,N,MC_Coef,MC_Pval,Mean_PQI,Significant
2020,56,56.05864729070984,0.021206926397579526,205.25153061224486,✅
2021,56,45.535164163460486,0.050735345999850696,203.87602040816327,
2022,56,28.803848335174806,0.14181884383628715,212.58941326530612,
