rel_year,coef,se,pval,ci_low,ci_high
-12,88.74177865818572,17.195954066170938,2.461337768525002e-07,55.03770868849069,122.44584862788076
-11,68.7718712507791,16.51750874046581,3.133043112988824e-05,36.397554119466115,101.14618838209208
-10,60.883445324852545,16.53811024936224,0.00023195422060704718,28.468749236102553,93.29814141360254
-9,68.28599162114855,17.603686420303735,0.00010485511761350818,33.782766237353236,102.78921700494388
-8,67.21515828781548,17.48688561602146,0.0001211700898036719,32.94086248041342,101.48945409521755
-7,61.26562125077895,18.411546286344084,0.000876084761389528,25.178990529544542,97.35225197201336
-6,53.500111991519184,18.251864449865074,0.0033764061501579093,17.726457669783642,89.27376631325473
-5,37.438074954482104,18.150484239996356,0.03914600550350681,1.8631258440892466,73.01302406487497
-4,28.078121250778544,16.478446850925966,0.08839415072380266,-4.219634577036352,60.37587707859344
-3,7.942704584111979,15.81418088066642,0.615490241914584,-23.053089941994205,38.93849911021816
-2,14.71677865818582,16.680366478244764,0.37762460141583454,-17.976739639173918,47.41029695554556
-1,0.0,0.0,,0.0,0.0
0,51.677658287815845,17.899601234960944,0.0038882999602807508,16.594439867292394,86.7608767083393
1,47.57924558940226,18.859862525421004,0.011643189087427466,10.613915039577094,84.54457613922743
2,47.11284347300057,18.93509640261757,0.012841941308468389,10.000054523870126,84.22563242213101
3,-8.558585098428246,17.647408988762656,0.6276927559873047,-43.14750671640305,26.03033651954656
4,-7.898796738639799,18.326210204947728,0.6664604297005825,-43.81816874033734,28.020575263057747
5,-2.3591141989569486,17.26288733795793,0.8913010127695006,-36.194373381354495,31.476144983440594
6,-15.52789726774008,17.306397396712942,0.3695937854122785,-49.448436165297444,18.392641629817284
7,-1.0160942559373076,16.414965828088253,0.950642085636451,-33.18942727899028,31.15723876711567
