Test,Coef,P-value,Significant
Baseline (unweighted),64.51903218354072,0.006890529305189367,True
Population-weighted,14.370606364497988,0.26534772709502946,False
Region fixed effects,68.73683145786303,0.005132389548495866,True
Log(PQI) outcome,0.31936975774496945,0.011157078337342094,True
Median regression,31.25524568131368,0.1553424165233052,False
