Model,Total_c,Direct_c_prime,Indirect_ab,Pct_Mediated,a_pval,b_pval
Continuous MC (Unweighted),219.87015031473243,12.989782830574654,206.8803674841583,0.9409206624365338,1.6363321428035866e-05,0.0644850585330118
Threshold MC≥30% (Unweighted),53.2722933292072,31.462256936995193,21.810036392212197,0.40940674840920677,0.003182767547000429,0.07027045709500371
Continuous MC (Weighted),89.93054732420933,-45.94978585587421,135.8803331800813,1.5109474725002843,0.008037741979739006,0.12773685535822293
