Model,Coef,SE,p
First Diff ΔED→ΔPQI,-211.14792998760387,102.33531295565663,0.03908461770038203
Granger ED(t-1)→PQI(t),31.33722326437456,24.083238403639243,0.1931883932088614
Total effect MC→PQI,321.1713891831215,133.84755447349403,0.01641607870617675
Direct effect MC→PQI|FFS,323.4636994690828,133.26479081465854,0.015214795382151064
a path MC→FFS PCP,8.962160785802666,91.98730603382927,0.9223863238179562
MC effect (hub),54.55509587926522,20.87738341609473,0.008971994847501606
MC×Satellite interaction,37.845927233630256,23.75090798939493,0.11105887168609382
