Analysis,Coef,SE,p
XS Continuous,279.0141650360575,199.78214632398237,0.16253627065996434
XS + Controls,340.1458092919949,274.06352584256484,0.21456130621864156
XS Binary,40.98793103448278,16.441698079117593,0.01266953692394323
Prop56 DiD,-27.569261376964654,11.992036853166976,0.021506981910365378
