excluded,coef,pval,change
ALAMEDA,64.71809077694225,0.0074342233860803155,0.19905859340153143
AMADOR,64.38650868101497,0.0076890786197626165,-0.13252350252574274
BUTTE,53.56739219520229,0.016327183078554658,-10.951639988338428
CALAVERAS,64.88154383725453,0.007163290213269356,0.3625116537138098
COLUSA,57.63396737066235,0.011836727729038954,-6.885064812878369
CONTRA COSTA,65.67797313626093,0.006510285487658998,1.158940952720215
DEL NORTE,72.52462300239594,0.00204863014243568,8.005590818855225
EL DORADO,64.39362347581087,0.007732725678129887,-0.12540870772984647
FRESNO,65.01808960687488,0.006436223423348301,0.4990574233341647
GLENN,60.48365566260589,0.011864452518234926,-4.035376520934825
HUMBOLDT,64.70951413742203,0.007410787841368841,0.19048195388131717
IMPERIAL,58.317226371107566,0.01225485579753353,-6.20180581243315
INYO,72.15876609847015,0.002486698302721898,7.639733914929437
KERN,64.05801486494471,0.00782203342871771,-0.4610173185960065
KINGS,64.02501634441316,0.008152774830542503,-0.494015839127556
LAKE,64.78084721891852,0.007351796917002565,0.2618150353778077
LASSEN,52.72372473427524,0.03645493550940759,-11.79530744926548
LOS ANGELES,66.8785191360273,0.006448461235924986,2.359486952486577
MADERA,64.63172007370567,0.007939480339604746,0.11268789016494907
MARIN,66.92474055503125,0.005955948263704649,2.405708371490533
MARIPOSA,67.32839406837044,0.003714485535108485,2.809361884829727
MENDOCINO,66.64858310610266,0.006318856056870215,2.129550922561947
MERCED,66.70480112702126,0.005816503034735763,2.1857689434805394
MODOC,70.02283154094637,0.004265940917526955,5.503799357405654
MONO,61.18675873381181,0.010337284325601796,-3.332273449728909
MONTEREY,68.73465315617436,0.0055081317657337935,4.215620972633644
NAPA,64.29443075326958,0.007403147604952815,-0.22460143027113588
NEVADA,63.193600629089,0.009252333020320023,-1.3254315544517183
ORANGE,63.581548222549216,0.008489075591445877,-0.9374839609915
PLACER,64.54594376683619,0.007498278761370047,0.026911583295472497
PLUMAS,64.32923365242007,0.008458445885783606,-0.18979853112064404
RIVERSIDE,67.67308685731888,0.005911167741392573,3.1540546737781625
SACRAMENTO,67.26289056884241,0.006212135719120385,2.7438583853016922
SAN BENITO,66.72802289222734,0.008266188431734479,2.2089907086866276
SAN BERNARDINO,65.49184517760398,0.0067965970903442795,0.9728129940632613
SAN DIEGO,66.04558174585857,0.006839042503173333,1.5265495623178538
SAN FRANCISCO,67.6115200272,0.00466753955353768,3.092487843659285
SAN JOAQUIN,65.05253605058586,0.007103562814448246,0.5335038670451411
SAN LUIS OBISPO,64.00545304635718,0.007847926049259187,-0.513579137183541
SAN MATEO,65.32935742209526,0.006708621500226762,0.8103252385545403
SANTA BARBARA,73.280170362623,0.002682921229058507,8.76113817908228
SANTA CLARA,64.57734091526217,0.007266474056696121,0.058308731721453455
SANTA CRUZ,63.1966535658846,0.008738163949890495,-1.3223786176561134
SHASTA,65.52807468341604,0.008263191961360515,1.0090424998753207
SISKIYOU,69.18411666400392,0.005005291528112614,4.665084480463207
SOLANO,66.42993074900811,0.006689766797935783,1.9108985654673916
SONOMA,64.4252795546268,0.007658833350794431,-0.09375262891391856
STANISLAUS,62.910077990656326,0.008635883329568116,-1.60895419288439
SUTTER,60.76982565198308,0.010257612744583023,-3.7492065315576326
TEHAMA,63.88783299893093,0.00896285023395303,-0.631199184609784
TRINITY,56.83093483478504,0.013433780775317346,-7.688097348755676
TULARE,64.13609637452896,0.007892185251079743,-0.38293580901175517
TUOLUMNE,63.976551130398036,0.008231379758979303,-0.54248105314268
VENTURA,65.37240121467572,0.007143598516765367,0.8533690311350028
YOLO,61.631231677854714,0.012350300057180616,-2.887800505686002
YUBA,63.32589690202266,0.007490947833217192,-1.1931352815180531
