Percentile,Threshold,Coefficient,P_value,Significant
25th,21.2%,13.529857164290021,0.4749947143907075,
33th,23.5%,40.8129209069466,0.06139821021531282,
50th,27.1%,44.83268695711524,0.06430281228066885,
67th,35.1%,15.70809671651294,0.6038798544603605,
75th,37.7%,11.972585141655827,0.6024792272275152,
