Excluded,Coef,P-value
None (baseline),64.51903218354072,0.006890529305189367
INYO,72.15876609847015,0.002486698302721898
TRINITY,56.83093483478504,0.013433780775317346
BUTTE,53.56739219520229,0.016327183078554658
SAN FRANCISCO,67.6115200272,0.00466753955353768
DEL NORTE,72.52462300239594,0.00204863014243568
All 8 high-influence,52.515216321998814,0.0028288641976055764
