Specification,Coefficient,Std_Error,P_Value
Model B - desert_q_def1,-22.580609121953913,30.285397001083037,0.45947456743993115
Model B - desert_thr_def1,38.73923172027463,24.63153671450408,0.12221237900733661
Model B - desert_thr_def2,62.88601572391478,22.419423791110866,0.007195589192971955
Model B - Winsorized (1st/99th percentile),-0.2396309615095722,0.2881768261356186,0.40987273742588715
