fips5,year,ahrf_pcp_count,population,medi_cal_share,county_type,ahrf_pcp_per_100k,high_mc,post_2017,treat_x_post
06045,2020,,91601.0,0.142381997285328,Well-Served,,1,1,1
06047,2020,,281202.0,0.1597968522430297,TRUE DESERT,,1,1,1
06049,2020,,8700.0,0.1309738186462324,Well-Served,,1,1,1
06051,2020,,13195.0,0.0628836680560818,Underserved,,0,1,0
06053,2020,,439035.0,0.139611053535342,TRUE DESERT,,1,1,1
06055,2020,,138019.0,0.0781375913622198,Adequate,,0,1,0
06057,2020,,102241.0,0.0613880439354075,Adequate,,0,1,0
06059,2020,,3186989.0,0.0536779438732504,Adequate,,0,1,0
06061,2020,,404739.0,0.0311018597002521,Well-Served,,0,1,0
06063,2020,,19790.0,0.0818858430183594,Adequate,,0,1,0
06065,2020,,2418185.0,0.0443564164169959,Underserved,,0,1,0
06067,2020,,1585055.0,0.0412532877408039,Well-Served,,0,1,0
06069,2020,,64209.0,0.0933180879800512,Underserved,,1,1,1
06071,2020,,2181654.0,0.0494168453537239,Underserved,,0,1,0
06073,2020,,3298634.0,0.0143160339951269,Well-Served,,0,1,0
06075,2020,,873965.0,0.0573549284010229,Well-Served,,0,1,0
06077,2020,,779233.0,0.0611694091782845,Underserved,,0,1,0
06079,2020,,282424.0,0.0688683799299398,Underserved,,0,1,0
06081,2020,,764442.0,0.0461281180695636,Underserved,,0,1,0
06083,2020,,448229.0,0.1114672038920581,TRUE DESERT,,1,1,1
06085,2020,,1936259.0,0.0291167941695324,Well-Served,,0,1,0
06087,2020,,270861.0,0.0924152773726909,Well-Served,,1,1,1
06089,2020,,182155.0,0.1153841813595869,Well-Served,,1,1,1
06091,2020,,3236.0,0.0610643283889575,,,0,1,0
06093,2020,,44076.0,0.1383569793588851,Well-Served,,1,1,1
06095,2020,,453491.0,0.0871201903063615,Underserved,,0,1,0
06097,2020,,488863.0,0.0806764312746561,Well-Served,,0,1,0
06099,2020,,552878.0,0.0831591324645033,Underserved,,0,1,0
06101,2020,,99633.0,0.1030396137156698,Underserved,,1,1,1
06103,2020,,65829.0,0.1045552998425212,Adequate,,1,1,1
06105,2020,,16112.0,0.1013650970980911,Underserved,,1,1,1
06107,2020,,473117.0,0.1368848576387856,TRUE DESERT,,1,1,1
06109,2020,,55620.0,0.0598615605897159,Adequate,,0,1,0
06111,2020,,843843.0,0.0892448134441016,Underserved,,0,1,0
06113,2020,,216403.0,0.0854204886253887,Adequate,,0,1,0
06115,2020,,81575.0,0.1047704832842543,Underserved,,1,1,1
06001,2022,1897.0,1648467.0,0.0484594592700032,Adequate,115.07661360524656,0,1,0
06003,2022,0.0,1191.0,0.0710887209627763,,0.0,0,1,0
06005,2022,20.0,40148.0,0.0481717644714556,Adequate,49.815681976686264,0,1,0
06007,2022,116.0,206762.0,0.1028837907029982,Adequate,56.10315241678838,1,1,1
06009,2022,21.0,45012.0,0.0793857749044699,Underserved,46.65422553985604,0,1,0
06011,2022,6.0,21923.0,0.1299586431297419,TRUE DESERT,27.368517082516078,1,1,1
06013,2022,1218.0,1154254.0,0.0552939820871316,Adequate,105.52270124253413,0,1,0
06015,2022,17.0,26926.0,0.160216890737577,High MC but OK Access,63.1360023768848,1,1,1
06017,2022,155.0,190549.0,0.0457574342207691,Underserved,81.34390629181995,0,1,0
06019,2022,715.0,1012350.0,0.0891735401129385,Well-Served,70.6277473205907,0,1,0
06021,2022,4.0,28821.0,0.1244130437296878,TRUE DESERT,13.878768953193852,1,1,1
06023,2022,83.0,134861.0,0.1169724444675134,Well-Served,61.54484988247158,1,1,1
06025,2022,41.0,180753.0,0.147998580936416,TRUE DESERT,22.682887697576252,1,1,1
