FID,OBJECTID,UNIT_COUNT,CNTY_FIPS,MSSA_ID,DEFINITION,AREA_SQMI,MSSA_COUNT,MSSA_NAME,Total_Popu,EST_Physic,EST_FNPPA,EST_Provid,Provider_R,Score_Prov,Pop_100FPL,PCT_100FPL,Score_Pove,Score_Tota,PCSA,Effective,Shape__Area,Shape__Length
339,339,25,001,2a,Urban,0.22679856,Alameda,Berkeley South and West/Emeryville/Oakland Northwest,86595,116,78.7,175,494.8,0,20908,0.241,4,4,No,2020/01/30 00:00:00+00,32340474.453125,64220.8608781658
340,340,35,001,2b,Urban,0.71529953,Alameda,Albany/Berkeley East and North/Claremont/Cragmont/Forest Park/Rockridge/Temescal/Thousand Oaks,110451,273,39.4,302.6,365,0,8701,0.079,1,1,No,2020/01/30 00:00:00+00,62216275.2578125,60457.1658702708
341,341,29,001,2c,Urban,0.08793611,Alameda,Oakland West Central,88757,361,48.1,397,223.6,0,22684,0.256,5,5,Yes,2020/01/30 00:00:00+00,31411326.4570312,46842.9309171393
342,342,28,001,2d,Urban,0.3481727,Alameda,Fruitvale/Melrose/Oakland Airport,135406,42.5,48.2,78.7,1720.5,2,31323,0.231,4,6,Yes,2020/01/30 00:00:00+00,71844060.0585938,69804.549796369
343,343,19,001,2e,Urban,0.49146814,Alameda,Alameda/Jack London Square/Oakland Inner Harbor,71177,71.5,15.2,82.9,858.6,0,9703,0.136,2,2,No,2020/01/30 00:00:00+00,47467127.8867188,85928.223483645
344,344,24,001,2f,Urban,2.79571632,Alameda,Castro Valley Central and North/Oak Knoll/San Leandro Northeast/Sheffield Village/Union City East,108515,71.5,21.6,87.7,1237.3,1,7799,0.072,1,2,No,2020/01/30 00:00:00+00,392346433.253906,152849.706567221
345,345,19,001,2g,Urban,2.48718162,Alameda,San Leandro West/San Lorenzo West/Hayward West,102435,159.5,28.1,180.5,567.5,0,9938,0.097,1,1,No,2020/01/30 00:00:00+00,136493181.140625,86927.4783002565
346,346,24,001,2h,Urban,0.44158243,Alameda,Ashland/Brookfield Village/Castro Valley South/Elmhurst/Hayward Northeast/San Leandro North Central/San Lorenzo East,117800,40,23.2,57.4,2052.3,3,19863,0.169,3,6,Yes,2020/01/30 00:00:00+00,44283639.8164062,49803.1460702627
347,347,20,001,2i,Urban,0.47646281,Alameda,Fremont South/Mission San Jose/Newark South/Warm Springs,96094,25,10.3,32.7,2938.7,4,3732,0.039,0,4,No,2020/01/30 00:00:00+00,256573092.738281,122685.615469661
348,348,17,001,2j,Urban,0.29680881,Alameda,Centerville/Fremont West/Irvington/Newark East Central,96242,233,34.4,258.8,371.9,0,6330,0.066,1,1,No,2020/01/30 00:00:00+00,35671627.203125,42357.7645180878
