"Column Name","Label"
"time","Year-Quarter"
"GEO_ID","Geographic identifier code"
"NAME","Geographic Area Name"
"CATEGORY_CODE","Category code"
"CATEGORY_CODE_LABEL","Meaning of Category code"
"DATA_TYPE_CODE","Data type code"
"DATA_TYPE_CODE_LABEL","Meaning of Data type code"
"SEASONALLY_ADJ","Seasonally adjusted code"
"SEASONALLY_ADJ_LABEL","Meaning of Seasonally adjusted code"
"CELL_VALUE","Amount ($1,000,000)"
"ERROR_DATA","Error data"
