"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0400000US06","California","10.5","0.1","26.3","0.2","17.8","0.3","28.8","0.3","17.1","0.8","2.6","-888888888.0","2.6","-888888888.0","3.2","-888888888.0",
"0500000US06001","Alameda County, California","10.2","0.3","27.4","1.1","12.2","1.1","29.2","1.0","17.8","3.2","2.9","-888888888.0","2.5","-888888888.0","3.1","-888888888.0",
"0500000US06003","Alpine County, California","1.2","1.3","0.0","71.8","0.0","63.3","50.0","50.0","11.1","21.3","3.3","-888888888.0","12.8","-888888888.0","12.8","-888888888.0",
"0500000US06005","Amador County, California","0.1","0.2","2.1","3.3","1.6","2.5","0.0","38.8","0.0","71.8","1.5","-888888888.0","1.7","-888888888.0","4.4","-888888888.0",
"0500000US06007","Butte County, California","2.9","0.4","19.1","2.9","5.6","3.5","35.7","7.8","17.4","10.6","2.4","-888888888.0","2.6","-888888888.0","3.6","-888888888.0",
"0500000US06009","Calaveras County, California","0.9","0.6","12.4","8.8","2.7","5.2","0.0","26.3","25.7","34.9","1.8","-888888888.0","1.4","-888888888.0","2.1","-888888888.0",
"0500000US06011","Colusa County, California","14.7","2.9","39.7","7.0","18.2","20.2","12.9","16.0","0.0","77.5","2.3","-888888888.0","3.3","-888888888.0","3.3","-888888888.0",
"0500000US06013","Contra Costa County, California","6.6","0.3","25.9","1.4","12.8","1.4","18.6","1.6","6.3","2.6","2.7","-888888888.0","2.8","-888888888.0","3.4","-888888888.0",
"0500000US06015","Del Norte County, California","1.7","1.1","14.2","12.4","1.2","2.0","24.2","19.5","6.1","9.0","9.0","-888888888.0","22.4","-888888888.0","23.7","-888888888.0",
"0500000US06017","El Dorado County, California","2.0","0.3","20.0","4.0","5.7","3.0","13.8","7.2","17.3","21.2","2.0","-888888888.0","2.0","-888888888.0","3.2","-888888888.0",
"0500000US06019","Fresno County, California","10.3","0.4","26.0","1.0","17.6","2.7","23.6","2.3","18.8","7.1","2.4","-888888888.0","2.3","-888888888.0","2.8","-888888888.0",
"0500000US06021","Glenn County, California","7.5","1.5","24.9","6.0","22.8","17.8","47.1","39.8","14.0","26.4","4.1","-888888888.0","2.3","-888888888.0","3.0","-888888888.0",
"0500000US06023","Humboldt County, California","1.7","0.4","18.7","4.8","11.3","4.7","23.0","11.4","0.3","0.9","2.4","-888888888.0","2.1","-888888888.0","2.8","-888888888.0",
"0500000US06025","Imperial County, California","21.2","1.1","28.8","1.5","6.5","9.2","28.1","11.7","15.9","16.0","2.1","-888888888.0","1.7","-888888888.0","2.0","-888888888.0",
"0500000US06027","Inyo County, California","3.4","1.5","24.8","11.6","9.0","13.4","46.6","45.8","7.9","9.3","2.8","-888888888.0","1.1","-888888888.0","2.0","-888888888.0",
