"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"0500000US06065","Riverside County, California","690388","2505","74062","485","77.5","0.3","72793","549","16.8","0.3","26438","1610","29.9","0.3","17858","155","6.0","0.2","10011","225","4.0","0.2","4958","192","18.0","0.3","27330","505","510655","2982","80596","664","15.5","0.3","53345","1757","35.3","0.5","63959","1032","25.3","0.5","106146","1644","10.9","0.3","73964","1670","8.7","0.3","122373","2524","4.3","0.2","96800","2712","2266899","*****","23660","153","65.3","0.4","26594","210","6.2","0.1","22465","690","1.0","0.1","20100","1895","6.1","0.1","26508","905","0.3","0.1","19792","4802","16.8","0.4","14142","306","4.3","0.2","14947","868","46.5","*****","14812","146","38.3","0.1","34483","321","33.9","(X)","(X)","(X)","34.4","(X)","(X)","(X)","24.5","(X)","(X)","(X)",
"0500000US06067","Sacramento County, California","519460","2016","73456","650","77.6","0.3","73413","705","19.5","0.3","14709","945","25.7","0.3","16842","171","8.2","0.3","10605","217","5.9","0.2","5086","226","19.7","0.3","31177","671","340777","2400","82496","913","15.7","0.4","46204","1522","36.3","0.6","65332","1715","28.4","0.5","115194","1697","9.7","0.3","74939","2184","7.1","0.3","125911","3888","2.8","0.2","91888","3797","1450277","*****","27071","252","59.7","0.3","31498","357","10.1","0.1","20293","541","0.9","0.1","21167","2015","14.8","0.1","24490","653","1.0","0.1","19626","1962","7.0","0.3","17707","1099","6.5","0.2","14877","685","22.1","*****","17009","404","47.3","0.1","35099","432","26.9","(X)","(X)","(X)","27.9","(X)","(X)","(X)","20.7","(X)","(X)","(X)",
"0500000US06069","San Benito County, California","17121","201","83170","3139","84.2","1.3","81117","3191","20.3","1.5","15411","2413","27.2","1.4","18022","917","4.4","1.1","9699","1166","3.2","0.8","4641","836","15.6","1.6","25202","2743","13639","359","87168","3349","11.0","1.4","40960","4764","30.0","2.5","68504","4414","32.9","2.1","108772","8487","11.2","1.9","72317","7878","11.7","2.1","127868","9635","3.2","1.0","102271","14908","56888","*****","26317","908","84.6","1.6","27270","1111","1.0","0.2","41012","16874","0.7","0.3","17530","5276","2.1","0.4","31584","8338","0.1","0.1","9292","10674","7.4","1.4","18355","2232","4.0","0.7","16597","3527","57.4","*****","18129","849","37.1","0.1","39033","1886","22.9","(X)","(X)","(X)","23.2","(X)","(X)","(X)","16.6","(X)","(X)","(X)",
"0500000US06071","San Bernardino County, California","607604","2111","69373","450","80.1","0.3","70608","470","12.8","0.3","14400","1175","24.5","0.3","16503","168","7.0","0.2","10100","218","5.8","0.2","4848","181","15.5","0.3","25210","619","460308","2932","74812","628","13.9","0.3","34907","1109","37.5","0.5","56578","894","24.2","0.5","106054","1418","11.3","0.3","74004","1373","8.7","0.3","121643","2791","4.4","0.3","94485","2928","2078586","*****","21384","138","62.8","0.5","23109","216","8.7","0.1","19626","657","0.9","0.1","17680","1714","6.6","0.1","28743","955","0.3","0.1","19071","4076","16.3","0.4","14964","333","4.4","0.2","13919","828","50.5","*****","15093","155","31.8","0.1","30604","347","33.0","(X)","(X)","(X)","32.9","(X)","(X)","(X)","23.3","(X)","(X)","(X)",
"0500000US06073","San Diego County, California","1083811","3426","86416","581","80.2","0.2","86490","638","22.7","0.3","22266","731","24.5","0.2","17180","122","4.7","0.1","9634","162","2.8","0.1","5599","195","17.3","0.2","29956","552","723355","3954","97245","813","13.9","0.3","50522","1527","34.2","0.4","80644","1271","30.8","0.4","131092","1521","10.1","0.2","83084","1740","7.7","0.2","135495","2475","3.3","0.1","104083","3255","3183143","*****","31043","206","71.0","0.2","33784","261","5.0","0.1","24522","596","0.7","0.1","25053","1450","11.2","0.1","31978","657","0.5","0.1","22672","1840","6.8","0.2","16019","367","4.9","0.1","18091","820","32.7","*****","17049","225","47.5","0.1","41850","325","28.8","(X)","(X)","(X)","28.6","(X)","(X)","(X)","22.1","(X)","(X)","(X)",
"0500000US06075","San Francisco County, California","348832","1610","113933","1647","80.0","0.4","119795","1584","29.7","0.5","30042","2659","22.8","0.4","15960","242","7.1","0.3","9726","229","2.7","0.2","5346","345","11.7","0.3","28019","1470","159647","2052","134953","2939","12.9","0.6","63048","5773","29.9","0.9","102967","4158","36.4","0.9","194372","6146","9.9","0.4","96150","5572","6.8","0.4","159777","7631","4.2","0.3","120299","6413","829072","*****","49986","681","49.5","0.3","67414","1232","5.7","0.1","25808","1433","0.4","0.1","28752","5105","33.6","0.2","36402","756","0.4","0.1","26197","5248","6.0","0.4","23613","1266","4.4","0.2","29268","1676","15.3","*****","28168","1117","41.4","0.1","74330","1383","29.6","(X)","(X)","(X)","32.4","(X)","(X)","(X)","25.6","(X)","(X)","(X)",
"0500000US06077","San Joaquin County, California","217343","1188","70572","960","79.5","0.4","70046","1149","15.6","0.5","16776","1823","27.0","0.4","16733","206","8.3","0.4","10110","264","6.3","0.3","4912","245","17.1","0.4","26260","1063","162293","1560","76828","1189","14.0","0.5","38610","1540","36.8","0.9","61348","1722","26.4","0.7","105861","2240","10.3","0.6","71337","2725","8.5","0.5","115664","4806","3.9","0.3","93162","5295","701050","*****","22642","312","57.8","0.4","26126","416","7.2","0.2","19231","811","0.9","0.1","17495","1899","14.6","0.2","20639","941","0.6","0.1","21752","3979","11.5","0.4","15047","941","7.5","0.4","15178","930","39.7","*****","14516","363","34.9","0.1","33609","656","30.8","(X)","(X)","(X)","31.2","(X)","(X)","(X)","22.9","(X)","(X)","(X)",
"0500000US06079","San Luis Obispo County, California","102350","1060","78731","1725","75.5","0.7","75332","1776","28.3","0.9","24315","3011","32.0","0.7","17739","389","4.4","0.5","10101","625","2.1","0.3","5809","923","21.6","0.8","32203","1433","65084","890","93024","2232","17.8","0.9","66813","3388","33.0","1.4","83484","5221","32.7","1.2","114623","3802","7.6","0.8","75412","6077","7.1","0.7","124293","6733","1.9","0.4","85794","7642","274184","*****","30392","629","84.6","0.7","32424","698","2.1","0.2","20469","3445","0.7","0.2","22621","4015","3.7","0.2","24426","2762","0.0","0.1","22380","17980","5.5","0.6","14541","1083","3.3","0.3","19631","4479","21.5","*****","17194","914","70.1","0.1","35301","795","30.1","(X)","(X)","(X)","30.1","(X)","(X)","(X)","23.0","(X)","(X)","(X)",
"0500000US06081","San Mateo County, California","258683","1087","131058","1754","83.5","0.4","129290","1634","33.6","0.5","32549","2144","26.4","0.4","18875","270","3.5","0.3","9931","421","1.5","0.2","6976","685","16.5","0.4","31238","1025","175308","1618","152569","2422","9.6","0.4","83769","6213","29.6","0.7","132649","5503","36.6","0.7","194545","4459","10.3","0.5","120238","8297","9.7","0.4","168301","5530","4.0","0.3","126900","8405","739837","*****","47198","589","56.4","0.5","55537","933","2.6","0.1","31050","2838","0.3","0.1","28956","6868","26.0","0.2","44696","1001","1.4","0.1","23797","2467","8.4","0.5","20203","992","4.8","0.2","27029","2305","25.4","*****","22547","658","41.2","0.1","67294","1180","28.1","(X)","(X)","(X)","28.4","(X)","(X)","(X)","22.3","(X)","(X)","(X)",
"0500000US06083","Santa Barbara County, California","142028","875","89545","1512","79.5","0.6","83773","1437","27.4","0.7","37018","3299","28.8","0.6","17507","280","4.9","0.4","9561","525","2.6","0.3","5687","539","16.8","0.5","30908","1421","93059","1053","102569","1963","13.1","0.6","73899","6444","32.5","1.0","87995","4535","31.3","0.9","127797","3684","9.2","0.7","83834","5972","9.8","0.6","129267","7928","4.1","0.5","95405","7163","431555","*****","30526","489","74.0","0.8","34355","651","2.0","0.1","25097","2759","1.0","0.1","23745","5181","5.0","0.1","29148","2159","0.2","0.1","32182","10262","13.7","0.8","15565","848","4.1","0.3","17129","1589","43.7","*****","15962","407","46.8","0.1","44866","974","33.6","(X)","(X)","(X)","33.1","(X)","(X)","(X)","26.6","(X)","(X)","(X)",
"0500000US06085","Santa Clara County, California","614714","1474","124513","965","84.8","0.2","125946","990","30.0","0.4","24591","1058","21.9","0.2","18638","170","4.6","0.2","10403","229","2.5","0.1","5835","259","13.5","0.2","29330","943","440578","2353","138271","1179","9.9","0.2","62497","2469","34.0","0.5","112779","2104","33.9","0.5","188424","2441","9.7","0.3","106910","2997","8.4","0.3","172556","3917","4.1","0.2","123082","4499","1841569","*****","42666","323","49.3","0.3","48890","595","2.6","0.1","29155","1108","0.5","0.1","24009","2394","33.2","0.1","44413","493","0.4","0.1","27513","4062","9.5","0.3","18450","568","4.6","0.2","24155","1114","26.7","*****","19905","293","34.1","0.1","61344","831","27.2","(X)","(X)","(X)","27.4","(X)","(X)","(X)","21.2","(X)","(X)","(X)",
"0500000US06087","Santa Cruz County, California","94219","836","90870","1813","80.0","0.8","89007","2036","27.8","0.9","24175","2116","27.3","0.7","17410","383","5.0","0.6","9594","489","2.8","0.4","4734","608","17.3","0.7","31360","1584","59085","960","106121","2444","12.3","0.7","66441","5347","33.3","1.4","87056","3527","32.5","1.3","138863","4590","9.4","0.9","88896","7617","9.3","0.8","132804","8972","3.1","0.5","96523","8088","267203","*****","33050","595","80.8","0.8","35941","696","0.9","0.1","34899","9934","0.6","0.1","22391","5916","4.4","0.2","32764","3241","0.1","0.1","20388","13516","9.0","0.8","14897","1092","4.2","0.4","18181","2279","32.7","*****","15492","526","58.7","0.1","43569","867","26.9","(X)","(X)","(X)","27.0","(X)","(X)","(X)","20.3","(X)","(X)","(X)",
"0500000US06089","Shasta County, California","68961","676","59056","1222","66.8","1.0","59949","1468","19.2","0.7","14514","1770","39.6","0.7","17636","389","9.1","0.7","10020","576","3.8","0.5","5697","635","23.2","0.9","25216","1234","44541","932","70288","1687","24.4","1.3","42956","2700","36.1","1.6","59308","2233","26.1","1.3","99828","3211","6.9","0.8","71242","5753","5.0","0.7","122524","6917","1.5","0.3","86269","11333","178520","*****","23763","505","87.1","0.4","25057","547","1.0","0.1","12059","2866","2.4","0.3","17888","2823","2.5","0.2","19402","4612","0.2","0.1","16837","6727","2.3","0.4","14663","2817","4.6","0.4","11835","1523","8.9","*****","14636","1047","81.5","0.1","25749","576","25.2","(X)","(X)","(X)","25.7","(X)","(X)","(X)","20.3","(X)","(X)","(X)",
