"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C02_001E","S1602_C02_001M","S1602_C03_001E","S1602_C03_001M","S1602_C04_001E","S1602_C04_001M","S1602_C01_002E","S1602_C01_002M","S1602_C02_002E","S1602_C02_002M","S1602_C03_002E","S1602_C03_002M","S1602_C04_002E","S1602_C04_002M","S1602_C01_003E","S1602_C01_003M","S1602_C02_003E","S1602_C02_003M","S1602_C03_003E","S1602_C03_003M","S1602_C04_003E","S1602_C04_003M","S1602_C01_004E","S1602_C01_004M","S1602_C02_004E","S1602_C02_004M","S1602_C03_004E","S1602_C03_004M","S1602_C04_004E","S1602_C04_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_005E","S1602_C02_005M","S1602_C03_005E","S1602_C03_005M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Percent!!Estimate!!All households","Percent!!Margin of Error!!All households","Limited English-speaking households!!Estimate!!All households","Limited English-speaking households!!Margin of Error!!All households","Percent limited English-speaking households!!Estimate!!All households","Percent limited English-speaking households!!Margin of Error!!All households","Total!!Estimate!!Households speaking!!Spanish","Total!!Margin of Error!!Households speaking!!Spanish","Percent!!Estimate!!Households speaking!!Spanish","Percent!!Margin of Error!!Households speaking!!Spanish","Limited English-speaking households!!Estimate!!Households speaking!!Spanish","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Total!!Estimate!!Households speaking!!Other Indo-European languages","Total!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent!!Estimate!!Households speaking!!Other Indo-European languages","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Total!!Estimate!!Households speaking!!Other languages","Total!!Margin of Error!!Households speaking!!Other languages","Percent!!Estimate!!Households speaking!!Other languages","Percent!!Margin of Error!!Households speaking!!Other languages","Limited English-speaking households!!Estimate!!Households speaking!!Other languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages",
"0400000US06","California","12717801","18352","(X)","(X)","1210285","7905","9.5","0.1","3220115","6808","25.3","0.1","688016","5819","21.4","0.2","738016","5136","5.8","0.1","121795","2123","16.5","0.3","1340316","5618","10.5","0.1","373159","4397","27.8","0.3","142635","2908","1.1","0.1","27315","1285","19.2","0.8",
"0500000US06001","Alameda County, California","558907","1624","(X)","(X)","56066","1461","10.0","0.3","79344","1256","14.2","0.2","18048","716","22.7","0.9","46556","1328","8.3","0.2","5837","539","12.5","1.1","105364","1539","18.9","0.3","30569","1105","29.0","0.9","7575","545","1.4","0.1","1612","309","21.3","3.6",
"0500000US06003","Alpine County, California","358","62","(X)","(X)","7","8","2.0","2.2","18","11","5.0","3.0","5","8","27.8","37.0","9","9","2.5","2.6","0","12","0.0","98.9","0","12","0.0","8.7","0","12","-","**","21","16","5.9","4.1","2","3","9.5","15.7",
"0500000US06005","Amador County, California","13925","456","(X)","(X)","193","132","1.4","0.9","673","171","4.8","1.2","157","124","23.3","16.4","403","171","2.9","1.2","30","47","7.4","11.1","125","55","0.9","0.4","6","12","4.8","10.5","4","8","0.0","0.1","0","25","0.0","100.0",
"0500000US06007","Butte County, California","85318","841","(X)","(X)","2106","277","2.5","0.3","8165","500","9.6","0.6","1270","210","15.6","2.6","1948","308","2.3","0.4","161","79","8.3","4.0","2198","210","2.6","0.2","629","181","28.6","6.9","408","131","0.5","0.2","46","42","11.3","10.2",
"0500000US06009","Calaveras County, California","18060","399","(X)","(X)","131","64","0.7","0.4","844","215","4.7","1.2","39","36","4.6","4.0","458","152","2.5","0.8","33","29","7.2","6.7","144","55","0.8","0.3","38","36","26.4","22.2","52","45","0.3","0.2","21","29","40.4","45.5",
"0500000US06011","Colusa County, California","6966","166","(X)","(X)","613","138","8.8","1.9","2654","183","38.1","2.3","579","131","21.8","4.7","103","53","1.5","0.8","0","22","0.0","26.5","89","58","1.3","0.8","34","48","38.2","33.1","9","12","0.1","0.2","0","22","0.0","98.9",
"0500000US06013","Contra Costa County, California","384646","1380","(X)","(X)","26871","1164","7.0","0.3","61018","1012","15.9","0.3","13062","767","21.4","1.2","26465","1069","6.9","0.3","3816","519","14.4","1.8","41065","922","10.7","0.2","9171","725","22.3","1.7","4319","517","1.1","0.1","822","225","19.0","4.6",
"0500000US06015","Del Norte County, California","9420","344","(X)","(X)","224","95","2.4","1.0","670","156","7.1","1.6","154","81","23.0","10.9","153","83","1.6","0.9","31","31","20.3","18.3","246","95","2.6","1.0","39","41","15.9","19.2","118","63","1.3","0.7","0","22","0.0","23.7",
