"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0400000US06","California","10.1","0.1","24.2","0.2","17.5","0.3","28.7","0.2","18.0","0.7","3.1","(X)","3.0","(X)","3.6","(X)",
"0500000US06001","Alameda County, California","10.1","0.2","24.8","1.0","13.3","1.1","29.7","0.9","21.4","3.6","2.8","(X)","2.5","(X)","3.1","(X)",
"0500000US06003","Alpine County, California","1.6","1.8","0.0","55.5","0.0","100.0","66.7","66.7","25.0","29.5","5.3","(X)","22.6","(X)","24.0","(X)",
"0500000US06005","Amador County, California","0.8","0.7","11.0","9.2","11.5","14.2","10.4","16.3","-","**","2.2","(X)","2.2","(X)","4.3","(X)",
"0500000US06007","Butte County, California","2.7","0.3","18.6","2.4","8.1","3.7","31.8","5.9","22.6","13.2","3.1","(X)","2.4","(X)","3.1","(X)",
"0500000US06009","Calaveras County, California","1.1","0.5","9.4","8.0","7.5","6.9","11.2","16.1","69.1","33.8","2.5","(X)","2.8","(X)","5.8","(X)",
"0500000US06011","Colusa County, California","11.3","2.1","28.6","5.2","18.6","17.6","15.8","21.4","0.0","62.5","1.7","(X)","1.9","(X)","2.1","(X)",
"0500000US06013","Contra Costa County, California","6.7","0.3","23.2","1.3","14.7","1.7","20.9","1.6","10.3","4.2","3.0","(X)","3.1","(X)","3.7","(X)",
"0500000US06015","Del Norte County, California","1.1","0.5","12.3","6.8","2.8","4.5","8.8","12.5","0.0","22.8","13.0","(X)","32.1","(X)","34.5","(X)",
"0500000US06017","El Dorado County, California","2.0","0.4","19.3","4.4","6.3","3.1","18.7","9.0","5.7","10.0","2.5","(X)","2.2","(X)","2.8","(X)",
"0500000US06019","Fresno County, California","10.2","0.4","25.3","1.1","18.1","2.8","23.0","2.5","20.3","7.0","3.2","(X)","2.9","(X)","3.4","(X)",
"0500000US06021","Glenn County, California","7.3","1.5","23.9","5.2","20.2","15.4","29.1","24.1","44.4","55.6","5.1","(X)","6.1","(X)","7.0","(X)",
"0500000US06023","Humboldt County, California","1.6","0.3","18.6","5.1","9.0","4.5","24.2","10.0","2.1","3.5","3.9","(X)","4.1","(X)","5.2","(X)",
