"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C03_001E","S1602_C03_001M","S1602_C04_001E","S1602_C04_001M","S1602_C02_002E","S1602_C02_002M","S1602_C03_002E","S1602_C03_002M","S1602_C04_002E","S1602_C04_002M","S1602_C02_003E","S1602_C02_003M","S1602_C03_003E","S1602_C03_003M","S1602_C04_003E","S1602_C04_003M","S1602_C02_004E","S1602_C02_004M","S1602_C03_004E","S1602_C03_004M","S1602_C04_004E","S1602_C04_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_005E","S1602_C03_005M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total MOE!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total MOE!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent MOE!!All households","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households MOE!!All households","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households MOE!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent MOE!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households MOE!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households MOE!!All households!!Households speaking --!!Other languages",
"0400000US06","California","12965435","19785","3340611","8282","759348","5326","1424539","6018","155353","2391","(X)","(X)","1179753","7954","9.1","0.1","25.8","0.1","654826","6184","19.6","0.2","5.9","0.1","118755","2522","15.6","0.3","11.0","0.1","378658","4027","26.6","0.3","1.2","0.1","27514","1272","17.7","0.8",
"0500000US06001","Alameda County, California","572870","1547","83957","1194","51044","1291","114101","1597","9751","650","(X)","(X)","53090","1498","9.3","0.3","14.7","0.2","16454","781","19.6","0.9","8.9","0.2","4453","457","8.7","0.9","19.9","0.3","30082","1034","26.4","0.8","1.7","0.1","2101","311","21.5","3.0",
"0500000US06003","Alpine County, California","299","67","24","23","2","3","2","3","14","12","(X)","(X)","5","6","1.7","1.9","8.0","7.6","1","2","4.2","10.7","0.7","1.0","0","12","0.0","100.0","0.7","1.0","1","2","50.0","50.0","4.7","3.9","3","4","21.4","26.6",
"0500000US06005","Amador County, California","14090","432","801","148","380","130","132","60","25","30","(X)","(X)","70","53","0.5","0.4","5.7","1.0","32","35","4.0","4.5","2.7","0.9","0","26","0.0","8.8","0.9","0.4","38","39","28.8","23.4","0.2","0.2","0","26","0.0","61.6",
"0500000US06007","Butte County, California","86797","860","9043","499","2073","377","2556","274","572","154","(X)","(X)","2077","283","2.4","0.3","10.4","0.6","1205","230","13.3","2.6","2.4","0.4","211","137","10.2","6.1","2.9","0.3","583","160","22.8","6.1","0.7","0.2","78","60","13.6","10.1",
"0500000US06009","Calaveras County, California","17417","434","879","212","258","110","206","66","74","66","(X)","(X)","93","58","0.5","0.3","5.0","1.2","41","38","4.7","4.3","1.5","0.6","7","12","2.7","4.8","1.2","0.4","45","38","21.8","17.3","0.4","0.4","0","26","0.0","35.5",
"0500000US06011","Colusa County, California","7113","174","3072","194","104","64","34","27","0","23","(X)","(X)","734","170","10.3","2.4","43.2","2.4","715","166","23.3","5.1","1.5","0.9","0","23","0.0","27.9","0.5","0.4","19","23","55.9","41.8","0.0","0.5","0","23","-","**",
"0500000US06013","Contra Costa County, California","392277","1405","63787","1340","28022","1034","43881","1187","5857","545","(X)","(X)","25410","1110","6.5","0.3","16.3","0.3","12335","801","19.3","1.2","7.1","0.3","3731","428","13.3","1.5","11.2","0.3","8567","524","19.5","1.2","1.5","0.1","777","215","13.3","3.4",
"0500000US06015","Del Norte County, California","9799","314","737","173","224","78","182","73","134","69","(X)","(X)","149","76","1.5","0.8","7.5","1.7","59","48","8.0","6.0","2.3","0.8","71","57","31.7","21.6","1.9","0.7","19","18","10.4","11.1","1.4","0.7","0","23","0.0","22.7",
