"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"0400000US06","California","13217586","19810","3460123","9205","791522","6985","1492729","7086","169742","3532","(X)","(X)","26.2","0.1","6.0","0.1","11.3","0.1","1.3","0.1","1119486","8867","606270","6832","117358","2995","368251","4114","27607","1492","8.5","0.1","17.5","0.2","14.8","0.3","24.7","0.3","16.3","0.8",
"0500000US06001","Alameda County, California","581683","1880","85605","1583","55384","1258","121457","1617","11108","945","(X)","(X)","14.7","0.3","9.5","0.2","20.9","0.3","1.9","0.2","46520","1280","11994","783","4496","670","28207","1051","1823","323","8.0","0.2","14.0","0.9","8.1","1.2","23.2","0.8","16.4","2.7",
"0500000US06003","Alpine County, California","434","91","57","42","3","6","2","4","12","9","(X)","(X)","13.1","9.3","0.7","1.4","0.5","0.9","2.8","2.0","5","6","2","5","0","13","1","2","2","3","1.2","1.3","3.5","8.4","0.0","100.0","50.0","50.0","16.7","27.5",
"0500000US06005","Amador County, California","15394","447","1088","224","310","134","157","66","81","72","(X)","(X)","7.1","1.4","2.0","0.9","1.0","0.4","0.5","0.5","241","148","127","108","103","99","11","18","0","28","1.6","1.0","11.7","9.3","33.2","23.8","7.0","11.5","0.0","36.4",
"0500000US06007","Butte County, California","85292","767","9803","673","2264","408","2748","348","560","212","(X)","(X)","11.5","0.8","2.7","0.5","3.2","0.4","0.7","0.2","1868","331","846","214","218","133","745","186","59","56","2.2","0.4","8.6","2.1","9.6","5.6","27.1","5.9","10.5","10.0",
"0500000US06009","Calaveras County, California","16809","529","1009","228","264","141","254","77","140","100","(X)","(X)","6.0","1.3","1.6","0.8","1.5","0.4","0.8","0.6","92","79","41","63","8","13","43","50","0","28","0.5","0.5","4.1","6.1","3.0","5.1","16.9","19.2","0.0","24.5",
"0500000US06011","Colusa County, California","7303","146","3233","234","90","51","21","21","10","11","(X)","(X)","44.3","3.1","1.2","0.7","0.3","0.3","0.1","0.2","732","168","715","168","8","10","9","11","0","25","10.0","2.3","22.1","5.0","8.9","11.3","42.9","38.0","0.0","100.0",
"0500000US06013","Contra Costa County, California","405106","1075","69848","1526","29525","1482","48898","1316","6365","671","(X)","(X)","17.2","0.4","7.3","0.4","12.1","0.3","1.6","0.2","23255","1036","9915","667","3356","453","9188","687","796","313","5.7","0.3","14.2","0.9","11.4","1.4","18.8","1.3","12.5","4.5",
"0500000US06015","Del Norte County, California","9531","284","856","181","181","79","208","63","96","52","(X)","(X)","9.0","1.9","1.9","0.8","2.2","0.7","1.0","0.5","104","66","42","51","44","41","18","22","0","25","1.1","0.7","4.9","5.7","24.3","20.1","8.7","10.0","0.0","32.7",
"0500000US06017","El Dorado County, California","74535","913","4921","436","2781","344","2444","388","311","126","(X)","(X)","6.6","0.6","3.7","0.5","3.3","0.5","0.4","0.2","1015","255","486","196","132","75","397","138","0","31","1.4","0.3","9.9","3.9","4.7","2.7","16.2","5.3","0.0","12.1",
"0500000US06019","Fresno County, California","314421","970","112224","1776","11532","748","19809","818","2993","487","(X)","(X)","35.7","0.6","3.7","0.2","6.3","0.3","1.0","0.2","30685","1273","23291","1080","1904","305","4503","557","987","313","9.8","0.4","20.8","0.9","16.5","2.7","22.7","2.7","33.0","8.2",
"0500000US06021","Glenn County, California","9753","267","3192","293","270","123","223","91","21","18","(X)","(X)","32.7","2.7","2.8","1.3","2.3","0.9","0.2","0.2","702","232","655","226","47","56","0","25","0","25","7.2","2.4","20.5","7.0","17.4","19.6","0.0","16.4","0.0","71.8",
"0500000US06023","Humboldt County, California","53729","684","4257","460","1159","263","1221","199","362","146","(X)","(X)","7.9","0.9","2.2","0.5","2.3","0.4","0.7","0.3","819","227","553","215","77","50","187","84","2","4","1.5","0.4","13.0","4.4","6.6","4.7","15.3","7.1","0.6","1.0",
"0500000US06025","Imperial County, California","45541","790","35098","761","153","66","506","148","191","152","(X)","(X)","77.1","1.1","0.3","0.1","1.1","0.3","0.4","0.3","11454","788","11172","752","23","26","196","127","63","88","25.2","1.6","31.8","2.0","15.0","16.0","38.7","19.6","33.0","45.1",
"0500000US06027","Inyo County, California","7832","277","908","167","111","52","102","56","153","51","(X)","(X)","11.6","2.1","1.4","0.7","1.3","0.7","2.0","0.7","99","60","74","48","4","7","17","22","4","6","1.3","0.8","8.1","5.6","3.6","6.9","16.7","20.1","2.6","3.6",
"0500000US06029","Kern County, California","274705","1373","105847","1634","5727","650","9918","779","1808","386","(X)","(X)","38.5","0.6","2.1","0.2","3.6","0.3","0.7","0.1","24609","1363","22127","1247","863","266","1393","269","226","150","9.0","0.5","20.9","1.1","15.1","4.5","14.0","2.8","12.5","7.3",
"0500000US06031","Kings County, California","43286","495","16606","616","1264","239","1845","206","265","136","(X)","(X)","38.4","1.4","2.9","0.6","4.3","0.5","0.6","0.3","5998","597","5657","586","84","52","257","82","0","31","13.9","1.4","34.1","3.4","6.6","3.9","13.9","4.4","0.0","14.0",
"0500000US06033","Lake County, California","26307","542","3585","369","599","152","217","100","45","59","(X)","(X)","13.6","1.4","2.3","0.6","0.8","0.4","0.2","0.2","603","238","501","233","85","96","17","28","0","31","2.3","0.9","14.0","6.3","14.2","14.7","7.8","13.2","0.0","49.0",
"0500000US06035","Lassen County, California","8910","386","617","177","140","63","143","65","17","26","(X)","(X)","6.9","2.0","1.6","0.7","1.6","0.7","0.2","0.3","267","201","187","192","0","28","80","63","0","28","3.0","2.3","30.3","27.6","0.0","24.5","55.9","25.5","0.0","79.8",
"0500000US06037","Los Angeles County, California","3342811","5387","1163695","4389","240908","3902","418382","3110","50513","1929","(X)","(X)","34.8","0.1","7.2","0.1","12.5","0.1","1.5","0.1","402887","4297","217091","3153","52926","1742","125306","2028","7564","757","12.1","0.1","18.7","0.3","22.0","0.6","30.0","0.5","15.0","1.3",
"0500000US06039","Madera County, California","43578","647","18336","620","1109","204","447","112","218","96","(X)","(X)","42.1","1.3","2.5","0.5","1.0","0.3","0.5","0.2","4655","576","4398","577","100","76","109","78","48","42","10.7","1.3","24.0","3.0","9.0","6.5","24.4","15.1","22.0","16.5",
"0500000US06041","Marin County, California","103751","697","9795","535","8227","726","3854","333","995","258","(X)","(X)","9.4","0.5","7.9","0.7","3.7","0.3","1.0","0.2","3954","521","1907","346","1210","347","743","175","94","68","3.8","0.5","19.5","3.4","14.7","3.8","19.3","4.1","9.4","6.7",
"0500000US06043","Mariposa County, California","7588","335","504","138","151","72","128","79","16","23","(X)","(X)","6.6","1.8","2.0","0.9","1.7","1.0","0.2","0.3","152","83","85","73","30","34","37","32","0","21","2.0","1.1","16.9","13.9","19.9","18.5","28.9","27.4","0.0","82.3",
"0500000US06045","Mendocino County, California","34183","558","5202","472","654","182","667","218","153","86","(X)","(X)","15.2","1.3","1.9","0.5","2.0","0.6","0.4","0.2","922","278","804","280","42","34","75","61","1","4","2.7","0.8","15.5","5.1","6.4","5.3","11.2","8.3","0.7","2.9",
"0500000US06047","Merced County, California","81618","674","35925","805","4671","526","3788","374","255","177","(X)","(X)","44.0","0.9","5.7","0.6","4.6","0.5","0.3","0.2","9971","807","8514","704","871","261","578","139","8","16","12.2","1.0","23.7","1.8","18.6","5.1","15.3","3.6","3.1","7.7",
"0500000US06049","Modoc County, California","3413","244","382","90","33","27","25","28","0","19","(X)","(X)","11.2","2.5","1.0","0.8","0.7","0.8","0.0","1.2","119","82","119","82","0","19","0","19","0","19","3.5","2.4","31.2","21.0","0.0","57.3","0.0","65.8","-","**",
"0500000US06051","Mono County, California","5361","405","734","199","187","132","46","58","34","47","(X)","(X)","13.7","3.5","3.5","2.5","0.9","1.1","0.6","0.9","161","136","39","47","122","124","0","21","0","21","3.0","2.6","5.3","6.5","65.2","33.8","0.0","48.5","0.0","56.4",
"0500000US06053","Monterey County, California","129977","846","56685","1029","4801","421","6142","379","1176","265","(X)","(X)","43.6","0.8","3.7","0.3","4.7","0.3","0.9","0.2","13951","851","12145","877","520","157","1020","184","266","123","10.7","0.7","21.4","1.5","10.8","2.9","16.6","3.0","22.6","8.8",
"0500000US06055","Napa County, California","48745","544","10697","471","2148","321","2095","220","169","81","(X)","(X)","21.9","0.9","4.4","0.7","4.3","0.5","0.3","0.2","2607","437","2152","413","212","94","232","91","11","14","5.3","0.9","20.1","3.6","9.9","4.4","11.1","4.3","6.5","8.1",
"0500000US06057","Nevada County, California","40877","653","2309","327","1127","270","492","162","292","277","(X)","(X)","5.6","0.8","2.8","0.7","1.2","0.4","0.7","0.7","343","144","250","131","10","15","64","50","19","32","0.8","0.4","10.8","5.9","0.9","1.4","13.0","9.6","6.5","14.5",
"0500000US06059","Orange County, California","1057592","2642","231868","2439","63836","2025","179469","2398","14970","926","(X)","(X)","21.9","0.2","6.0","0.2","17.0","0.2","1.4","0.1","83534","1924","28812","1417","6857","758","45687","1309","2178","392","7.9","0.2","12.4","0.6","10.7","1.1","25.5","0.6","14.5","2.4",
"0500000US06061","Placer County, California","149714","709","10863","601","8731","701","6743","454","1007","256","(X)","(X)","7.3","0.4","5.8","0.5","4.5","0.3","0.7","0.2","2886","344","1203","247","884","218","695","160","104","61","1.9","0.2","11.1","2.1","10.1","2.4","10.3","2.4","10.3","5.9",
"0500000US06063","Plumas County, California","8231","291","548","134","193","104","39","39","5","8","(X)","(X)","6.7","1.6","2.3","1.3","0.5","0.5","0.1","0.1","74","67","54","59","3","5","17","31","0","21","0.9","0.8","9.9","10.8","1.6","2.8","43.6","50.8","0.0","100.0",
"0500000US06065","Riverside County, California","740506","2031","256736","2852","20325","1257","38807","967","6334","713","(X)","(X)","34.7","0.4","2.7","0.2","5.2","0.1","0.9","0.1","61482","2087","51396","2021","2120","406","7026","652","940","249","8.3","0.3","20.0","0.7","10.4","1.9","18.1","1.7","14.8","3.8",
"0500000US06067","Sacramento County, California","559036","1538","76146","1491","47352","1740","56952","1445","6676","747","(X)","(X)","13.6","0.3","8.5","0.3","10.2","0.3","1.2","0.1","34643","1585","10092","847","10321","834","13430","848","800","244","6.2","0.3","13.3","1.1","21.8","1.7","23.6","1.4","12.0","3.6",
"0500000US06069","San Benito County, California","19144","201","7209","467","457","147","456","105","71","50","(X)","(X)","37.7","2.4","2.4","0.8","2.4","0.6","0.4","0.3","1552","248","1381","249","60","46","100","70","11","29","8.1","1.3","19.2","3.2","13.1","9.2","21.9","13.3","15.5","39.0",
"0500000US06071","San Bernardino County, California","651743","2010","231725","2301","13895","964","42471","1014","7587","790","(X)","(X)","35.6","0.3","2.1","0.1","6.5","0.2","1.2","0.1","40584","1603","27759","1282","1259","239","10426","855","1140","375","6.2","0.2","12.0","0.6","9.1","1.8","24.5","2.0","15.0","4.5",
"0500000US06073","San Diego County, California","1139899","3376","263567","2594","52543","2174","102318","1856","21008","1324","(X)","(X)","23.1","0.2","4.6","0.2","9.0","0.2","1.8","0.1","68424","2057","38426","1701","6034","614","18786","1191","5178","628","6.0","0.2","14.6","0.6","11.5","1.1","18.4","1.1","24.6","2.6",
"0500000US06075","San Francisco County, California","361222","2202","36884","1237","29032","1375","87607","1657","4404","749","(X)","(X)","10.2","0.3","8.0","0.4","24.3","0.4","1.2","0.2","38370","1393","6076","620","3510","447","28000","1239","784","385","10.6","0.4","16.5","1.7","12.1","1.4","32.0","1.3","17.8","7.4",
"0500000US06077","San Joaquin County, California","234662","982","61966","1202","13217","969","23330","926","1896","411","(X)","(X)","26.4","0.5","5.6","0.4","9.9","0.4","0.8","0.2","19844","1192","12483","926","2547","487","4558","518","256","151","8.5","0.5","20.1","1.4","19.3","3.2","19.5","2.2","13.5","7.7",
