"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0400000US06","California","9.9","0.1","23.1","0.2","17.2","0.3","28.3","0.2","18.9","0.9","3.7","(X)","3.6","(X)","4.1","(X)",
"0500000US06001","Alameda County, California","10.1","0.3","24.2","1.2","12.7","1.1","29.4","0.9","20.8","4.3","3.3","(X)","3.2","(X)","3.7","(X)",
"0500000US06003","Alpine County, California","2.5","2.3","14.3","17.8","0.0","100.0","0.0","100.0","37.5","30.9","3.9","(X)","18.9","(X)","20.7","(X)",
"0500000US06005","Amador County, California","0.9","0.6","15.9","10.8","9.0","10.8","6.5","9.4","0.0","100.0","2.3","(X)","2.0","(X)","3.2","(X)",
"0500000US06007","Butte County, California","2.6","0.4","16.8","2.7","9.5","4.2","32.9","6.3","16.6","12.8","4.0","(X)","3.7","(X)","4.3","(X)",
"0500000US06009","Calaveras County, California","1.1","0.5","4.5","4.3","10.0","8.1","28.0","24.9","78.2","32.4","2.6","(X)","2.6","(X)","6.6","(X)",
"0500000US06011","Colusa County, California","10.7","2.2","27.5","5.7","26.3","25.1","16.7","18.5","0.0","56.2","2.1","(X)","1.6","(X)","1.8","(X)",
"0500000US06013","Contra Costa County, California","6.6","0.3","21.2","1.3","14.2","1.6","21.8","1.7","17.2","4.6","3.5","(X)","3.6","(X)","4.0","(X)",
"0500000US06015","Del Norte County, California","1.9","0.9","23.5","12.4","11.4","13.4","5.8","8.8","0.0","21.4","13.7","(X)","34.8","(X)","38.0","(X)",
"0500000US06017","El Dorado County, California","1.8","0.4","19.4","4.3","6.0","3.4","13.2","5.8","0.0","15.0","3.2","(X)","3.2","(X)","3.6","(X)",
"0500000US06019","Fresno County, California","10.1","0.4","24.7","1.0","17.2","2.5","23.0","2.2","17.6","6.2","4.0","(X)","3.8","(X)","4.2","(X)",
"0500000US06021","Glenn County, California","8.4","1.8","26.3","6.2","21.1","12.5","40.3","24.1","0.0","76.9","5.3","(X)","6.1","(X)","6.8","(X)",
"0500000US06023","Humboldt County, California","1.5","0.3","18.0","4.1","6.6","3.3","18.3","8.2","1.8","3.0","4.9","(X)","5.8","(X)","6.9","(X)",
"0500000US06025","Imperial County, California","20.8","1.3","27.5","1.7","0.7","1.1","22.2","12.6","8.1","9.5","2.5","(X)","2.1","(X)","2.2","(X)",
"0500000US06027","Inyo County, California","3.4","1.2","25.7","9.5","57.5","35.7","27.0","34.9","9.1","10.7","3.5","(X)","2.2","(X)","2.8","(X)",
"0500000US06029","Kern County, California","9.1","0.4","24.1","1.0","11.6","2.6","18.7","2.8","14.3","5.8","3.1","(X)","3.0","(X)","3.3","(X)",
"0500000US06031","Kings County, California","10.7","1.1","25.5","2.4","8.1","4.1","15.5","5.0","36.6","25.8","4.3","(X)","4.5","(X)","4.8","(X)",
"0500000US06033","Lake County, California","1.7","0.5","14.1","5.0","7.3","6.2","6.3","9.4","0.0","44.4","6.3","(X)","7.3","(X)","8.3","(X)",
"0500000US06035","Lassen County, California","0.5","0.4","6.2","5.7","2.9","4.9","9.0","11.4","0.0","35.8","6.1","(X)","11.8","(X)","13.7","(X)",
"0500000US06037","Los Angeles County, California","14.4","0.1","24.9","0.2","24.6","0.6","32.6","0.4","19.0","1.5","3.5","(X)","3.4","(X)","3.8","(X)",
"0500000US06039","Madera County, California","9.7","0.9","25.2","2.2","13.6","7.0","14.8","10.1","8.5","10.8","3.0","(X)","3.0","(X)","3.1","(X)",
"0500000US06041","Marin County, California","4.7","0.5","27.6","3.1","10.2","2.2","18.7","4.7","19.0","11.1","5.2","(X)","6.3","(X)","7.1","(X)",
"0500000US06043","Mariposa County, California","1.2","1.2","15.0","15.6","0.0","18.5","23.1","34.2","0.0","85.4","4.8","(X)","5.8","(X)","5.1","(X)",
"0500000US06045","Mendocino County, California","3.6","0.7","24.0","4.5","1.4","2.3","9.0","7.5","0.0","38.2","5.3","(X)","4.9","(X)","5.9","(X)",
"0500000US06047","Merced County, California","13.7","0.9","27.0","1.6","24.2","4.2","18.5","4.2","11.2","13.8","2.8","(X)","2.6","(X)","2.9","(X)",
"0500000US06049","Modoc County, California","2.9","1.3","37.7","16.1","0.0","35.2","0.0","79.5","0.0","82.3","4.3","(X)","2.6","(X)","3.1","(X)",
"0500000US06051","Mono County, California","5.4","2.6","35.2","14.8","25.7","32.4","0.0","56.2","0.0","100.0","2.2","(X)","1.8","(X)","1.8","(X)",
"0500000US06053","Monterey County, California","14.0","0.5","31.9","1.3","11.1","2.8","23.9","3.3","21.6","8.5","3.8","(X)","4.0","(X)","4.3","(X)",
"0500000US06055","Napa County, California","6.8","0.8","26.1","3.0","6.2","3.7","9.4","3.5","15.9","12.7","3.4","(X)","3.2","(X)","3.9","(X)",
"0500000US06057","Nevada County, California","1.4","0.4","19.7","6.6","11.7","8.0","12.0","11.9","0.0","25.2","2.8","(X)","1.6","(X)","2.9","(X)",
"0500000US06059","Orange County, California","9.6","0.2","20.6","0.6","12.0","0.9","29.8","0.8","17.7","2.9","3.7","(X)","3.7","(X)","4.5","(X)",
