"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"0400000US06","California","13434847","19805","3564315","8609","832597","7327","1559487","7729","181085","3734","(X)","(X)","26.5","0.1","6.2","0.1","11.6","0.1","1.3","0.1","1118772","9548","587361","7387","122778","3319","381000","4750","27633","1435","8.3","0.1","16.5","0.2","14.7","0.4","24.4","0.3","15.3","0.7",
"0500000US06001","Alameda County, California","593117","1676","90710","1660","58624","1839","126985","1755","11689","953","(X)","(X)","15.3","0.3","9.9","0.3","21.4","0.3","2.0","0.2","49063","1658","13443","953","4811","594","29077","1268","1732","360","8.3","0.3","14.8","1.0","8.2","1.0","22.9","0.9","14.8","2.9",
"0500000US06003","Alpine County, California","473","103","24","22","5","8","0","14","15","14","(X)","(X)","5.1","4.4","1.1","1.6","0.0","8.6","3.2","2.7","0","14","0","14","0","14","0","14","0","14","0.0","8.6","0.0","69.2","0.0","100.0","-","**","0.0","87.6",
"0500000US06005","Amador County, California","16066","341","865","245","385","169","258","117","168","96","(X)","(X)","5.4","1.5","2.4","1.1","1.6","0.7","1.0","0.6","284","167","161","138","123","100","0","29","0","29","1.8","1.0","18.6","14.1","31.9","21.1","0.0","15.1","0.0","22.1",
"0500000US06007","Butte County, California","82345","797","9899","606","2014","396","2955","305","562","200","(X)","(X)","12.0","0.7","2.4","0.5","3.6","0.4","0.7","0.2","2008","326","990","230","188","116","787","194","43","38","2.4","0.4","10.0","2.3","9.3","5.3","26.6","6.0","7.7","6.8",
"0500000US06009","Calaveras County, California","17897","567","1275","239","298","132","293","146","136","89","(X)","(X)","7.1","1.3","1.7","0.7","1.6","0.8","0.8","0.5","50","41","39","36","0","29","11","20","0","29","0.3","0.2","3.1","2.8","0.0","13.3","3.8","7.4","0.0","26.3",
"0500000US06011","Colusa County, California","7466","230","3461","244","95","72","14","15","11","16","(X)","(X)","46.4","3.1","1.3","1.0","0.2","0.2","0.1","0.2","663","166","653","162","9","9","1","4","0","25","8.9","2.2","18.9","4.3","9.5","11.8","7.1","24.2","0.0","100.0",
"0500000US06013","Contra Costa County, California","411662","1106","74633","1563","32109","1398","50977","1429","5999","641","(X)","(X)","18.1","0.4","7.8","0.3","12.4","0.3","1.5","0.2","25108","1385","10984","968","3652","444","9655","756","817","325","6.1","0.3","14.7","1.3","11.4","1.3","18.9","1.4","13.6","5.0",
"0500000US06015","Del Norte County, California","9621","256","873","210","141","65","225","68","52","35","(X)","(X)","9.1","2.2","1.5","0.7","2.3","0.7","0.5","0.4","141","97","104","87","0","25","37","37","0","25","1.5","1.0","11.9","9.5","0.0","25.6","16.4","15.8","0.0","47.0",
