"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C01_006E","S1602_C01_006M","S1602_C01_007E","S1602_C01_007M","S1602_C01_008E","S1602_C01_008M",
"Geography","Geographic Area Name","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!All households","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Spanish","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other Indo-European languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!Households speaking!!Other languages","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Language status (speak a language other than English)","No one age 14 and over speaks English only or speaks English "very well"!!Estimate!!PERCENT IMPUTED!!Ability to speak English","No one age 14 and over speaks English only or speaks English "very well"!!Margin of Error!!PERCENT IMPUTED!!Ability to speak English",
"0400000US06","California","9.6","0.1","22.1","0.1","16.9","0.3","27.9","0.3","19.2","0.8","4.6","(X)","4.4","(X)","4.8","(X)",
"0500000US06001","Alameda County, California","10.1","0.2","23.9","1.0","12.7","1.0","28.9","0.8","19.6","3.8","4.2","(X)","4.0","(X)","4.4","(X)",
"0500000US06003","Alpine County, California","2.1","2.2","23.5","32.1","0.0","97.3","0.0","100.0","16.7","18.6","7.1","(X)","19.9","(X)","22.0","(X)",
"0500000US06005","Amador County, California","1.1","0.7","17.2","12.2","10.0","11.6","4.5","8.5","0.0","100.0","2.5","(X)","2.1","(X)","2.6","(X)",
"0500000US06007","Butte County, California","2.7","0.3","17.1","2.8","8.7","4.5","34.5","6.7","19.3","12.6","5.1","(X)","5.2","(X)","6.3","(X)",
"0500000US06009","Calaveras County, California","1.0","0.6","2.1","2.4","9.6","7.8","31.5","21.3","88.2","26.7","3.6","(X)","6.5","(X)","10.3","(X)",
"0500000US06011","Colusa County, California","9.6","2.0","24.5","5.4","6.7","11.6","20.3","21.1","0.0","74.6","2.7","(X)","2.2","(X)","2.5","(X)",
"0500000US06013","Contra Costa County, California","6.5","0.2","20.2","1.3","14.2","1.7","21.2","1.4","19.7","4.7","4.6","(X)","4.5","(X)","4.9","(X)",
"0500000US06015","Del Norte County, California","1.8","0.8","17.7","10.3","15.8","17.6","19.8","24.6","0.0","21.4","15.5","(X)","41.8","(X)","47.0","(X)",
"0500000US06017","El Dorado County, California","1.9","0.3","18.4","4.0","8.1","3.9","13.1","6.7","0.0","18.2","4.2","(X)","3.1","(X)","3.7","(X)",
"0500000US06019","Fresno County, California","10.1","0.3","24.1","0.9","15.3","2.2","23.6","1.8","22.1","8.3","4.6","(X)","4.2","(X)","4.7","(X)",
"0500000US06021","Glenn County, California","8.3","1.7","26.6","6.1","19.2","15.8","22.4","16.8","26.1","38.7","4.9","(X)","6.0","(X)","6.3","(X)",
"0500000US06023","Humboldt County, California","1.5","0.3","15.5","3.6","5.6","3.3","19.4","7.4","2.6","2.9","5.9","(X)","7.8","(X)","8.5","(X)",
"0500000US06025","Imperial County, California","21.2","1.5","28.3","1.9","1.1","1.6","25.9","13.2","3.2","5.4","3.0","(X)","2.7","(X)","2.9","(X)",
"0500000US06027","Inyo County, California","3.2","1.4","26.2","11.6","62.5","32.9","22.2","23.7","11.1","11.9","4.8","(X)","2.6","(X)","3.6","(X)",
