"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0400000US06","California","12392852","22329","83483","187","82.1","0.1","83444","192","24.6","0.2","21055","260","24.0","0.1","15212","36","5.0","0.1","9235","50","3.4","0.1","5556","52","15.3","0.1","24894","148","8495322","22852","92942","286","11.8","0.1","48696","409","33.1","0.1","73904","421","30.8","0.2","124215","488","10.8","0.1","78523","515","9.2","0.1","127953","619","4.3","0.1","98639","798","36637290","-555555555","29188","91","61.1","0.1","33617","107","6.1","0.1","23194","170","0.8","0.1","21416","484","13.0","0.1","31195","214","0.4","0.1","22395","577","14.9","0.1","15349","92","3.8","0.1","17086","245","36.7","*****","15670","68","41.2","0.1","42052","139","27.5","-888888888.0","(X)","(X)","28.2","-888888888.0","(X)","(X)","20.5","-888888888.0","(X)","(X)",
"0500000US06001","Alameda County, California","532026","2366","91057","699","82.5","0.3","93012","751","28.7","0.5","16814","824","21.3","0.3","15053","146","4.8","0.2","9401","225","3.3","0.2","5650","238","15.4","0.3","25627","654","340190","2723","106366","1059","10.8","0.4","47108","1912","31.9","0.6","78799","1599","34.2","0.6","144529","2025","10.4","0.4","86866","2427","9.2","0.4","147195","2930","3.6","0.2","117931","5123","1477980","-555555555","33961","285","45.8","0.3","41861","459","12.6","0.1","25118","631","0.5","0.1","23018","2971","26.0","0.1","33159","557","0.8","0.1","22618","1671","9.6","0.3","18172","455","4.7","0.2","20462","1232","21.9","*****","19058","366","35.1","0.1","48381","555","23.9","-888888888.0","(X)","(X)","23.8","-888888888.0","(X)","(X)","18.3","-888888888.0","(X)","(X)",
"0500000US06003","Alpine County, California","410","84","83791","16232","84.9","6.9","79166","17297","27.3","7.9","11227","4368","23.9","7.9","16491","3058","2.0","2.3","18750","14940","2.9","3.2","8108","1191","22.4","7.1","27601","9585","260","60","105914","22951","13.5","7.3","N","N","25.0","9.4","N","N","36.2","10.7","N","N","9.2","4.5","N","N","13.5","11.6","N","N","2.7","3.9","N","N","1176","177","32159","6276","64.5","5.5","42224","8371","0.0","3.3","-","**","23.6","5.2","15625","6866","4.1","0.9","15919","12204","0.0","3.3","-","**","3.4","3.9","5230","1213","4.5","3.6","9658","6307","5.4","4.3","4554","1803","63.4","5.8","42799","8632","25.4","-888888888.0","(X)","(X)","18.5","-888888888.0","(X)","(X)","26.1","-888888888.0","(X)","(X)",
"0500000US06005","Amador County, California","14715","444","68010","3376","69.9","1.9","66539","4097","30.4","2.3","11369","2352","39.2","2.2","16355","791","3.2","0.8","10177","1393","2.8","0.9","5423","1774","33.3","2.9","26014","2606","10019","405","77544","4311","24.3","2.3","53432","5487","31.0","3.8","66916","7295","30.2","3.1","100026","8986","7.4","1.8","72020","13199","6.0","1.6","119941","16164","1.0","0.6","99250","18651","38327","-555555555","26329","1380","87.8","0.8","27874","1469","1.9","0.4","3739","3192","1.5","0.5","29229","16681","1.1","0.2","28969","11267","0.3","0.3","5649","2508","3.7","0.6","10573","4725","3.8","0.8","16627","7228","11.9","*****","11122","2397","80.3","0.1","29294","1573","22.9","-888888888.0","(X)","(X)","23.6","-888888888.0","(X)","(X)","15.4","-888888888.0","(X)","(X)",
"0500000US06007","Butte County, California","85465","936","57825","1006","72.8","0.8","55752","1085","25.6","0.8","15977","2175","33.8","0.8","15147","285","7.5","0.5","8791","416","4.3","0.5","4806","437","21.2","0.8","21808","1257","52377","997","68624","1684","19.9","0.9","46300","4475","34.4","1.6","55524","2443","30.3","1.2","92399","3595","7.1","0.8","58151","4981","6.4","0.7","103584","6288","2.0","0.4","82866","11799","218635","-555555555","23404","446","83.3","0.5","25077","538","1.5","0.1","14174","2135","1.3","0.2","19805","3431","4.0","0.2","17246","2120","0.2","0.1","15784","3677","4.5","0.5","14676","1488","5.3","0.4","12857","1773","13.5","*****","13804","857","76.1","0.1","26082","573","23.5","-888888888.0","(X)","(X)","23.3","-888888888.0","(X)","(X)","18.3","-888888888.0","(X)","(X)",
"0500000US06009","Calaveras County, California","18794","611","68564","2569","70.5","2.4","67810","3574","25.3","2.4","17948","3431","40.3","2.1","16273","709","6.2","1.3","10964","1488","3.3","0.9","4118","1938","27.1","2.6","25520","3626","13368","632","77527","3539","23.6","2.9","49346","6292","33.6","3.8","68664","6489","31.5","3.2","99722","6357","4.6","1.5","81894","15923","6.2","1.6","113940","9234","0.4","0.4","119080","54161","45994","-555555555","28408","1218","91.5","0.6","28811","1318","1.0","0.1","32381","11278","1.7","0.4","18065","6909","1.4","0.2","26871","11922","0.0","0.1","N","N","1.7","0.5","28078","10774","2.6","0.6","20709","6292","10.0","*****","17639","3011","84.0","0.3","29887","1409","33.0","-888888888.0","(X)","(X)","30.9","-888888888.0","(X)","(X)","23.7","-888888888.0","(X)","(X)",
"0500000US06011","Colusa County, California","6972","607","62138","3117","78.9","3.0","60402","4290","21.5","2.7","18279","4514","31.8","2.7","14971","1000","4.4","1.6","5624","1388","5.1","1.7","3997","1052","16.3","2.6","21227","2934","5080","480","69226","4381","13.7","2.9","36143","8624","35.4","4.6","53654","5890","28.1","4.3","99915","11847","9.1","2.5","56690","13482","10.9","2.5","92132","13025","2.8","1.4","71606","14475","21165","-555555555","21317","1235","66.9","3.2","25170","1763","0.9","0.3","17506","6900","1.8","1.4","16787","10768","1.0","0.6","33795","13877","0.2","0.1","42106","28952","24.2","3.0","11772","1643","4.8","1.3","14626","4649","52.6","*****","11866","1047","42.0","0.1","32844","2323","22.2","-888888888.0","(X)","(X)","23.9","-888888888.0","(X)","(X)","18.2","-888888888.0","(X)","(X)",
"0500000US06013","Contra Costa County, California","368087","1516","103224","1140","82.3","0.4","102639","1198","33.3","0.5","21536","1161","25.0","0.4","16401","168","3.7","0.2","9654","310","2.3","0.2","5956","365","18.6","0.4","27890","869","259502","2066","117936","1523","11.2","0.4","65706","3756","32.6","0.7","99623","2737","34.1","0.7","150323","3082","9.6","0.4","91780","3757","9.5","0.4","155290","4444","3.1","0.2","109799","6279","1024809","-555555555","37818","439","62.4","0.4","43681","569","9.1","0.1","26555","952","0.4","0.1","25464","3786","14.1","0.1","37650","1198","0.5","0.1","26979","3266","9.0","0.4","18885","684","4.6","0.2","20105","1485","23.4","*****","19291","466","49.3","0.1","49873","680","26.6","-888888888.0","(X)","(X)","26.7","-888888888.0","(X)","(X)","19.7","-888888888.0","(X)","(X)",
"0500000US06015","Del Norte County, California","9906","269","50175","3677","65.9","3.3","53033","4587","22.7","2.9","9699","3607","35.4","2.4","13607","727","11.0","2.1","8724","1026","7.8","1.8","5854","932","22.8","2.3","18938","2355","6062","384","61058","5443","24.1","3.8","31154","3672","32.4","4.3","52567","5517","26.4","3.5","84098","16347","8.2","2.5","57944","14576","5.5","2.3","131553","26082","3.4","1.6","68715","15336","28471","-555555555","18974","1434","73.8","1.5","20832","1187","3.5","0.6","6467","5551","5.3","1.1","29381","17864","3.1","0.3","10221","4077","0.2","0.1","15311","9610","7.4","1.0","9389","2916","6.6","1.4","11388","4902","17.2","*****","10650","2004","65.9","0.2","21860","1214","21.8","-888888888.0","(X)","(X)","22.6","-888888888.0","(X)","(X)","23.6","-888888888.0","(X)","(X)",
