"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M",
"Geography","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages",
"0400000US06","California","13797638","19379","3832934","22260","910328","17095","1639258","15815","204258","9093","(X)","(X)","27.8","0.2","6.6","0.1","11.9","0.1","1.5","0.1","1186563","22033","625712","15497","134455","7448","396098","11788","30298","3085","8.6","0.2","16.3","0.4","14.8","0.7","24.2","0.7","14.8","1.4",
"0500000US06001","Alameda County, California","612675","4169","96839","4270","61856","3611","133402","4539","12563","2582","(X)","(X)","15.8","0.7","10.1","0.6","21.8","0.7","2.1","0.4","57139","3911","16301","2389","3926","1028","33807","2887","3105","1344","9.3","0.6","16.8","2.3","6.3","1.6","25.3","1.9","24.7","8.4",
"0500000US06007","Butte County, California","85034","1914","8575","1464","2043","759","2737","806","325","325","(X)","(X)","10.1","1.7","2.4","0.9","3.2","1.0","0.4","0.4","2688","990","1857","940","365","366","466","350","0","225","3.2","1.2","21.7","10.2","17.9","16.8","17.0","12.0","0.0","41.8",
"0500000US06013","Contra Costa County, California","417686","2837","73958","2778","36306","3003","52809","2878","6727","1669","(X)","(X)","17.7","0.7","8.7","0.7","12.6","0.7","1.6","0.4","27777","3234","13599","2347","5239","1495","7803","1344","1136","812","6.7","0.8","18.4","3.1","14.4","3.5","14.8","2.4","16.9","11.0",
"0500000US06017","El Dorado County, California","N","N","N","N","N","N","N","N","N","N","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",
"0500000US06019","Fresno County, California","331460","2670","126032","4210","12999","2012","21566","2172","5243","1618","(X)","(X)","38.0","1.2","3.9","0.6","6.5","0.7","1.6","0.5","30607","3158","22070","2614","2837","986","4726","1423","974","640","9.2","1.0","17.5","2.1","21.8","7.0","21.9","5.8","18.6","10.4",
"0500000US06023","Humboldt County, California","55558","1554","3874","884","1580","657","1312","387","476","329","(X)","(X)","7.0","1.6","2.8","1.2","2.4","0.7","0.9","0.6","1256","739","596","545","313","309","280","307","67","124","2.3","1.3","15.4","12.8","19.8","17.3","21.3","22.1","14.1","25.1",
"0500000US06025","Imperial County, California","51165","1316","41599","1606","864","727","768","336","37","69","(X)","(X)","81.3","2.3","1.7","1.4","1.5","0.7","0.1","0.1","12760","1879","12409","1916","141","229","210","284","0","225","24.9","3.5","29.8","4.3","16.3","27.7","27.3","31.3","0.0","100.0",
"0500000US06029","Kern County, California","292654","2694","123487","3622","9276","1514","9054","1250","2935","996","(X)","(X)","42.2","1.1","3.2","0.5","3.1","0.4","1.0","0.3","22275","2403","19274","2365","1036","550","1292","630","673","483","7.6","0.8","15.6","1.8","11.2","5.9","14.3","6.3","22.9","14.9",
