fips5,year,county_name,county_type,ed_visits,ed_visits_resident,ed_rate_facility,ed_rate_residence
06015,2019,DEL NORTE,High MC but OK Access,17476.0,14457.0,629.9246656814331,521.1044227372671
06017,2019,EL DORADO,Underserved,43560.0,59359.0,227.8421424274917,310.4793786123388
06019,2019,FRESNO,Well-Served,295029.0,373879.0,292.4977246905282,370.67121133708883
06021,2019,GLENN,TRUE DESERT,5703.0,12172.0,197.21962859217763,420.9288653733098
06023,2019,HUMBOLDT,Well-Served,54493.0,49826.0,399.3243589837538,365.12461253233477
06025,2019,IMPERIAL,TRUE DESERT,82847.0,81024.0,461.0243625557868,450.8797898743475
06027,2019,INYO,Underserved,9765.0,8380.0,513.5149347917544,440.68153134202777
06029,2019,KERN,Underserved,340452.0,343042.0,374.43785160052136,377.2864001055833
06031,2019,KINGS,Underserved,103066.0,58117.0,675.9046732159018,381.1300709573338
06033,2019,LAKE,TRUE DESERT,41105.0,43103.0,603.039772310491,632.3518624473688
06035,2019,LASSEN,Underserved,10562.0,11291.0,322.70088603727464,344.97402994194925
06037,2019,LOS ANGELES,Adequate,3283944.0,3160737.0,327.9349958642937,315.63153178711946
06039,2019,MADERA,High MC but OK Access,131458.0,58300.0,841.3042782630956,373.1080605420626
06041,2019,MARIN,Well-Served,71477.0,67034.0,272.4791381551611,255.54187426854884
06043,2019,MARIPOSA,Underserved,6518.0,6877.0,380.4798318837196,401.4359932286498
06045,2019,MENDOCINO,Well-Served,53103.0,50859.0,579.7207454067095,555.223196253316
06047,2019,MERCED,TRUE DESERT,86558.0,111521.0,307.81431142026014,396.58679525750176
06049,2019,MODOC,Well-Served,5007.0,4972.0,575.5172413793103,571.4942528735633
06051,2019,MONO,Underserved,10250.0,4077.0,776.8093974990527,308.9806744979159
06053,2019,MONTEREY,TRUE DESERT,148870.0,145844.0,339.08458323368296,332.19219424419464
06055,2019,NAPA,Adequate,32471.0,42726.0,235.26470993124136,309.5660742361559
06057,2019,NEVADA,Adequate,35905.0,30271.0,351.18005496816346,296.07496014319105
06059,2019,ORANGE,Adequate,860396.0,767549.0,269.97143698958484,240.8382959589757
06061,2019,PLACER,Well-Served,210491.0,110884.0,520.0660178534808,273.9642090334759
06063,2019,PLUMAS,Adequate,11105.0,9072.0,561.1419909044972,458.4133400707428
06065,2019,RIVERSIDE,Underserved,817173.0,819564.0,337.9282395681058,338.9169976656046
06067,2019,SACRAMENTO,Well-Served,559276.0,593373.0,352.8432767317222,374.3548331130466
06069,2019,SAN BENITO,Underserved,19320.0,23181.0,300.89239826192585,361.0241554922207
06071,2019,SAN BERNARDINO,Underserved,803798.0,770436.0,368.4351414110579,353.1430740163197
06073,2019,SAN DIEGO,Well-Served,885977.0,825212.0,268.5890583799233,250.16779673040418
06075,2019,SAN FRANCISCO,Well-Served,244544.0,204372.0,279.8098322015184,233.84460476106022
06077,2019,SAN JOAQUIN,Underserved,343020.0,292302.0,440.20209616379185,375.1150169461509
06079,2019,SAN LUIS OBISPO,Underserved,92132.0,84332.0,326.2187349517038,298.60068549415064
06081,2019,SAN MATEO,Underserved,187974.0,185417.0,245.89700722880218,242.55208374212825
06083,2019,SANTA BARBARA,TRUE DESERT,149192.0,139105.0,332.847718465338,310.34359668829995
06085,2019,SANTA CLARA,Well-Served,496423.0,455447.0,256.3825397325461,235.22008161098282
06087,2019,SANTA CRUZ,Well-Served,72962.0,69875.0,269.37063659958426,257.9736469997526
06089,2019,SHASTA,Well-Served,81868.0,75835.0,449.441409788367,416.3212648568527
06093,2019,SISKIYOU,Well-Served,20344.0,18822.0,461.56638533442236,427.0351211543697
06095,2019,SOLANO,Underserved,196819.0,181860.0,434.0086131808569,401.02229151184923
06097,2019,SONOMA,Well-Served,157137.0,150963.0,321.433612279923,308.8043071371734
06099,2019,STANISLAUS,Underserved,229979.0,249793.0,415.96699452682145,451.8049189875524
06103,2019,TEHAMA,Adequate,29781.0,30579.0,452.3993984414164,464.5217153534157
06105,2019,TRINITY,Underserved,3969.0,4756.0,246.33813306852036,295.1837140019861
06107,2019,TULARE,TRUE DESERT,122281.0,147754.0,258.45826719394995,312.2990718997626
06109,2019,TUOLUMNE,Adequate,30934.0,25733.0,556.1668464581086,462.6573175116864
06111,2019,VENTURA,Underserved,236920.0,239040.0,280.7631277382167,283.27544341779213
06113,2019,YOLO,Adequate,49101.0,59946.0,226.89611511855196,277.0109471680152
06115,2019,YUBA,Underserved,61386.0,35422.0,752.5099601593625,434.22617223414034
06001,2020,ALAMEDA,Adequate,433225.0,362474.0,257.5113546324701,215.45656589312705
06005,2020,AMADOR,Adequate,19628.0,17149.0,484.9533033552404,423.7041063398725
06007,2020,BUTTE,Adequate,66698.0,53099.0,315.1602782187949,250.90251001738866
06009,2020,CALAVERAS,Underserved,9347.0,16838.0,206.3719862227325,371.76543318908415
06011,2020,COLUSA,TRUE DESERT,4397.0,6847.0,201.33705755758047,313.5216813956683
06013,2020,CONTRA COSTA,Adequate,245420.0,292371.0,210.49345284910635,250.76269783614242
06015,2020,DEL NORTE,High MC but OK Access,13317.0,11742.0,480.01297624626034,423.2418988573694
06017,2020,EL DORADO,Underserved,35169.0,47945.0,183.95271595574965,250.77804221042445
06019,2020,FRESNO,Well-Served,247174.0,295840.0,245.05330866679753,293.30176651259995
06021,2020,GLENN,TRUE DESERT,4539.0,9719.0,156.96649029982362,336.0998720475845
06023,2020,HUMBOLDT,Well-Served,44958.0,40326.0,329.4519393535244,295.5086726805068
06025,2020,IMPERIAL,TRUE DESERT,66257.0,64280.0,368.7048558168524,357.70330881125415
06027,2020,INYO,Underserved,7594.0,6865.0,399.3479175431216,361.01177955405973
06029,2020,KERN,Underserved,272825.0,274215.0,300.05994049943087,301.5886981913367
06031,2020,KINGS,Underserved,81997.0,47330.0,537.7346117020579,310.38915047938826
06033,2020,LAKE,TRUE DESERT,32551.0,33702.0,477.54646949224656,494.4324633598873
06035,2020,LASSEN,Underserved,9100.0,9682.0,278.03238619003974,295.81423770241366
06037,2020,LOS ANGELES,Adequate,2418500.0,2315682.0,241.51166630667097,231.24424993027267
06039,2020,MADERA,High MC but OK Access,91305.0,45133.0,584.3333013343573,288.84195705737415
06041,2020,MARIN,Well-Served,55431.0,51683.0,211.3098074496514,197.02196926666184
06043,2020,MARIPOSA,Underserved,5385.0,6017.0,314.34242017395366,351.23460393438796
06045,2020,MENDOCINO,Well-Served,42718.0,40093.0,466.3486206482462,437.69172825624173
06047,2020,MERCED,TRUE DESERT,68792.0,87244.0,244.63552890804473,310.2538388773906
06049,2020,MODOC,Well-Served,4389.0,4332.0,504.4827586206897,497.9310344827586
06051,2020,MONO,Underserved,8087.0,3758.0,612.8836680560819,284.8048503220917
06053,2020,MONTEREY,TRUE DESERT,119823.0,117648.0,272.9235710137005,267.96952406983496
06055,2020,NAPA,Adequate,24807.0,33861.0,179.7361232873735,245.33578710177585
06057,2020,NEVADA,Adequate,31533.0,26322.0,308.41834489099284,257.4505335432948
06059,2020,ORANGE,Adequate,670188.0,598106.0,210.28877099983714,187.67118430593894
06061,2020,PLACER,Well-Served,172364.0,89849.0,425.8645695126983,221.99244451362483
06063,2020,PLUMAS,Adequate,8956.0,7275.0,452.55179383527036,367.60990399191513
06065,2020,RIVERSIDE,Underserved,634860.0,639500.0,262.5357447837944,264.4545392515461
06067,2020,SACRAMENTO,Well-Served,444967.0,466443.0,280.7265363031567,294.2755929604967
06069,2020,SAN BENITO,Underserved,19823.0,22627.0,308.72619103240976,352.39608154620066
06071,2020,SAN BERNARDINO,Underserved,654004.0,618378.0,299.77439135628293,283.4445792045852
06073,2020,SAN DIEGO,Well-Served,725342.0,672225.0,219.891627867778,203.78890170901045
06075,2020,SAN FRANCISCO,Well-Served,178541.0,148173.0,204.2885012557711,169.54111434668437
06077,2020,SAN JOAQUIN,Underserved,291980.0,248408.0,374.7017900935921,318.78526705106174
06079,2020,SAN LUIS OBISPO,Underserved,73533.0,66994.0,260.3638500977254,237.21071863580997
06081,2020,SAN MATEO,Underserved,139887.0,143740.0,182.99230026607643,188.0325780111506
06083,2020,SANTA BARBARA,TRUE DESERT,114490.0,107224.0,255.4274712256458,239.2170073779251
06085,2020,SANTA CLARA,Well-Served,395171.0,356863.0,204.089948710374,184.3054054235513
06087,2020,SANTA CRUZ,Well-Served,54840.0,54375.0,202.4654712195554,200.74872351501324
06089,2020,SHASTA,Well-Served,66521.0,60665.0,365.18898740083995,333.04054239521287
06093,2020,SISKIYOU,Well-Served,17573.0,15993.0,398.6977039658771,362.8505309011707
06095,2020,SOLANO,Underserved,155649.0,142312.0,343.22401106085897,313.8143866140673
06097,2020,SONOMA,Well-Served,125991.0,119692.0,257.72251121479843,244.8375107136355
06099,2020,STANISLAUS,Underserved,187239.0,202318.0,338.6624173868376,365.9360654610963
06103,2020,TEHAMA,Adequate,24230.0,24200.0,368.0748606237372,367.61913442403807
06105,2020,TRINITY,Underserved,3535.0,3992.0,219.40168818272096,247.7656405163853
06107,2020,TULARE,TRUE DESERT,100035.0,117259.0,211.4381854805471,247.843556667801
06109,2020,TUOLUMNE,Adequate,27886.0,22869.0,501.36641495864797,411.1650485436893
06111,2020,VENTURA,Underserved,178757.0,179402.0,211.83679902541112,212.6011592203763
06113,2020,YOLO,Adequate,40055.0,49417.0,185.0944765091057,228.3563536549863
06115,2020,YUBA,Underserved,52468.0,29291.0,643.1872509960159,359.0683420165492
06001,2021,ALAMEDA,Adequate,458875.0,387744.0,272.7578575958791,230.47719473855963
06005,2021,AMADOR,Adequate,22161.0,19069.0,547.5366902208826,471.141967682957
06007,2021,BUTTE,Adequate,68866.0,54377.0,325.40447569365693,256.9412943222197
06009,2021,CALAVERAS,Underserved,9930.0,18569.0,219.24401660337367,409.9841031528747
06011,2021,COLUSA,TRUE DESERT,4359.0,7704.0,199.59705114703056,352.76340491780763
06013,2021,CONTRA COSTA,Adequate,285033.0,337061.0,244.46899334177868,289.0927133516936
06015,2021,DEL NORTE,High MC but OK Access,13440.0,11892.0,484.44652705186894,428.6486681325019
06017,2021,EL DORADO,Underserved,39064.0,54351.0,204.32565316316655,284.2848549833931
06019,2021,FRESNO,Well-Served,257450.0,306434.0,255.2411431472041,303.8048726322406
06021,2021,GLENN,TRUE DESERT,5165.0,10739.0,178.61465573883876,371.3732406542864
06023,2021,HUMBOLDT,Well-Served,47236.0,42666.0,346.1451089306259,312.6561778650623
06025,2021,IMPERIAL,TRUE DESERT,67136.0,65376.0,373.5962871865644,363.8022949104629
06027,2021,INYO,Underserved,8416.0,7340.0,442.57467395877154,385.9907446360959
06029,2021,KERN,Underserved,297047.0,297919.0,326.699918062987,327.6589660538805
06031,2021,KINGS,Underserved,80442.0,49627.0,527.5369542121899,325.4528284563829
06033,2021,LAKE,TRUE DESERT,34622.0,36756.0,507.92952188137264,539.2368293649047
06035,2021,LASSEN,Underserved,9633.0,10149.0,294.31714023831347,310.08249312557285
06037,2021,LOS ANGELES,Adequate,2590102.0,2486248.0,258.64786021262813,248.27698876643709
