treated_fips,treated_ps,treated_pqi,control_fips,control_ps,control_pqi,ps_diff
06009,0.2610537823895597,200.70714285714288,06057,0.25892223393559466,168.72142857142856,0.0021315484539650154
06011,0.5543644321235862,394.6,06073,0.5571377108690386,204.03571428571428,0.002773278745452412
06017,0.37464541272173735,206.44285714285715,06093,0.35705535655284626,153.27142857142854,0.01759005616889109
06021,0.5417420290945247,325.40000000000003,06085,0.5387531473086364,216.79285714285712,0.0029888817858882977
06025,0.6786733574234107,149.80714285714288,06019,0.6798064836710533,279.2642857142857,0.001133126247642613
06027,0.3420342245874553,188.30714285714288,06041,0.33841435477659637,117.45,0.0036198698108589333
06029,0.700568906254654,216.40714285714284,06113,0.6565391176183222,136.57857142857145,0.04402978863633178
06031,0.6814587473224845,244.5,06039,0.6278474722140933,210.92142857142855,0.05361127510839114
06033,0.4146441467617826,200.42857142857144,06097,0.41250934192003086,177.82857142857142,0.002134804841751714
06035,0.571007832033143,134.9,06067,0.582927847329194,211.9,0.011920015296051023
06043,0.2866573281213623,249.93571428571428,06109,0.29348248291702184,167.57857142857142,0.006825154795659538
06047,0.6846766844730175,286.0642857142857,06037,0.5966787751823406,212.62857142857143,0.08799790929067697
06051,0.5400377505149901,121.09285714285714,06059,0.5341079189465836,167.41428571428574,0.005929831568406541
06053,0.5779739613062741,225.87857142857143,06023,0.5487317646112567,166.42857142857142,0.029242196695017375
06065,0.5618402952732728,234.34285714285716,06001,0.5478398242428976,191.27857142857144,0.014000471030375272
06069,0.5752015457133123,218.75714285714284,06007,0.526442668426549,347.5,0.048758877286763314
06071,0.6467943052855463,233.47857142857143,06015,0.5260590238035403,120.96428571428572,0.12073528148200596
06077,0.6102135471201491,227.95,06087,0.5128926384237862,140.82142857142858,0.0973209086963629
06079,0.42086446253223236,149.60714285714286,06045,0.42017460653263844,176.60714285714286,0.0006898559995939246
06081,0.46757865009639404,164.84285714285716,06089,0.4439347873980375,226.53571428571428,0.023643862698356555
06083,0.5470011832218505,156.7642857142857,06075,0.511001031172755,189.57142857142856,0.03600015204909557
06095,0.504547614848191,223.72142857142856,06103,0.49467702708123273,246.92142857142855,0.009870587766958261
06099,0.6041211916019747,306.85,06013,0.4943383707147055,221.0142857142857,0.10978282088726926
06101,0.5464444475919708,318.92857142857144,06055,0.410437512948018,158.32857142857142,0.13600693464395275
06105,0.34830162342908083,51.364285714285714,06049,0.31932487624460404,157.04285714285714,0.028976747184476792
06107,0.7030934328202926,230.97142857142856,06061,0.39813464675387744,185.15714285714284,0.30495878606641513
06111,0.5051092023923833,210.99285714285716,06063,0.27406065649612305,167.06428571428572,0.23104854589626028
06115,0.6305040857526064,317.45714285714286,06005,0.2566141391013874,183.96428571428572,0.373889946651219
