event_time,coef,se,ci_low,ci_high
-5,-0.8339907087460006,19.760619282545683,-39.56480450253554,37.896823085043536
-4,-5.799083895485651,17.303952822232304,-39.714831427060965,28.116663636089662
-3,-8.933808178032791,14.350492211756315,-37.06077291307517,19.193156557009583
-2,-3.583136086063817,14.678403062543113,-32.35280608864832,25.186533916520684
-1,0.0,0.0,0.0,0.0
0,21.206551548102,10.1473517102034,1.3177421961033353,41.09536090010066
1,27.944965685225128,12.716502241075506,3.0206212927171343,52.86931007773312
2,17.87941978394906,10.532885761116322,-2.7650363078389297,38.52387587573705
3,11.68078397343399,11.65622560305461,-11.165418208553046,34.52698615542103
4,18.21515501178589,9.310702579269835,-0.033822043582986794,36.464132067154765
5,13.980743375204412,6.904613660921505,0.44770059979826193,27.513786150610564
