year,county_clean,ed_admissions,ed_visits,ed_total,ed_admit_share,county_name_clean,fips5,population,ed_visits_per_1k,ed_admits_per_1k,log_ed_visits_per_1k
2013,AMADOR,1834.0,17696.0,19530.0,0.0939068100358423,AMADOR,06005,,,,
2013,BUTTE,22993.0,87632.0,110625.0,0.20784632768361583,BUTTE,06007,,,,
2013,CALAVERAS,1106.0,8584.0,9690.0,0.11413828689370485,CALAVERAS,06009,,,,
2013,COLUSA,536.0,5623.0,6159.0,0.08702711479136223,COLUSA,06011,,,,
2013,CONTRA COSTA,48907.0,312112.0,361019.0,0.13546932432919043,CONTRA COSTA,06013,,,,
2013,DEL NORTE,1852.0,18660.0,20512.0,0.09028861154446177,DEL NORTE,06015,,,,
2013,EL DORADO,5363.0,39427.0,44790.0,0.11973654833668229,EL DORADO,06017,,,,
2013,FRESNO,46413.0,234516.0,280929.0,0.16521256260478626,FRESNO,06019,,,,
2013,GLENN,166.0,5130.0,5296.0,0.03134441087613293,GLENN,06021,,,,
2013,HUMBOLDT,6254.0,56312.0,62566.0,0.09995844388325928,HUMBOLDT,06023,,,,
2013,IMPERIAL,6438.0,84254.0,90692.0,0.07098751819344595,IMPERIAL,06025,,,,
2013,INYO,488.0,8420.0,8908.0,0.05478221823080377,INYO,06027,,,,
2013,KERN,39535.0,286768.0,326303.0,0.12116039386704995,KERN,06029,,,,
2013,KINGS,7624.0,101427.0,109051.0,0.06991224289552594,KINGS,06031,,,,
2013,LAKE,2479.0,34458.0,36937.0,0.06711427565855375,LAKE,06033,,,,
2013,LASSEN,815.0,9416.0,10231.0,0.07965985729645196,LASSEN,06035,,,,
2013,LOS ANGELES,524728.0,2688195.0,3212923.0,0.1633179506636169,LOS ANGELES,06037,,,,
2013,MADERA,9715.0,121704.0,131419.0,0.07392386184646056,MADERA,06039,,,,
2013,MARIN,10315.0,67042.0,77357.0,0.13334281319079075,MARIN,06041,,,,
2013,MARIPOSA,128.0,4919.0,5047.0,0.025361600951060034,MARIPOSA,06043,,,,
2013,MENDOCINO,3891.0,39025.0,42916.0,0.09066548606580296,MENDOCINO,06045,,,,
2013,MERCED,6636.0,82662.0,89298.0,0.07431297453470402,MERCED,06047,,,,
2013,MODOC,188.0,4146.0,4334.0,0.04337794185509922,MODOC,06049,,,,
2013,MONO,407.0,7809.0,8216.0,0.04953748782862707,MONO,06051,,,,
2013,MONTEREY,17638.0,133477.0,151115.0,0.11671905502431923,MONTEREY,06053,,,,
2013,NAPA,5656.0,31783.0,37439.0,0.15107241112209194,NAPA,06055,,,,
2013,NEVADA,4781.0,36578.0,41359.0,0.11559757247515656,NEVADA,06057,,,,
2013,ORANGE,141828.0,719430.0,861258.0,0.16467539343611323,ORANGE,06059,,,,
2013,PLACER,23106.0,156932.0,180038.0,0.12833957275686245,PLACER,06061,,,,
2013,PLUMAS,628.0,8819.0,9447.0,0.06647612998835609,PLUMAS,06063,,,,
2013,RIVERSIDE,102554.0,629511.0,732065.0,0.14008865332996387,RIVERSIDE,06065,,,,
2013,SACRAMENTO,74245.0,444491.0,518736.0,0.14312675426421148,SACRAMENTO,06067,,,,
2013,SAN BENITO,1470.0,14575.0,16045.0,0.091617326269866,SAN BENITO,06069,,,,
2013,SAN BERNARDINO,114398.0,702340.0,816738.0,0.1400669492542284,SAN BERNARDINO,06071,,,,
2013,SAN DIEGO,151838.0,757919.0,909757.0,0.1668995127270249,SAN DIEGO,06073,,,,
2013,SAN FRANCISCO,43954.0,215399.0,259353.0,0.1694755796154276,SAN FRANCISCO,06075,,,,
2013,SAN JOAQUIN,31880.0,256605.0,288485.0,0.1105083453212472,SAN JOAQUIN,06077,,,,
2013,SAN LUIS OBISPO,9711.0,71728.0,81439.0,0.11924262331315463,SAN LUIS OBISPO,06079,,,,
2013,SAN MATEO,25671.0,171524.0,197195.0,0.13018078551687415,SAN MATEO,06081,,,,
2013,SANTA BARBARA,16387.0,130600.0,146987.0,0.11148604978671584,SANTA BARBARA,06083,,,,
2013,SANTA CLARA,73857.0,442205.0,516062.0,0.14311652475865302,SANTA CLARA,06085,,,,
2013,SANTA CRUZ,9903.0,60815.0,70718.0,0.14003506886506972,SANTA CRUZ,06087,,,,
2013,SHASTA,13093.0,79399.0,92492.0,0.14155818881633006,SHASTA,06089,,,,
2013,SISKIYOU,1887.0,19092.0,20979.0,0.08994708994708994,SISKIYOU,06093,,,,
2013,SOLANO,17458.0,163991.0,181449.0,0.09621436326460879,SOLANO,06095,,,,
2013,SONOMA,17992.0,131815.0,149807.0,0.12010119687331032,SONOMA,06097,,,,
2013,STANISLAUS,31440.0,205287.0,236727.0,0.13281121291614392,STANISLAUS,06099,,,,
2013,TEHAMA,1763.0,27384.0,29147.0,0.06048649946821285,TEHAMA,06103,,,,
2013,TRINITY,359.0,4056.0,4415.0,0.08131370328425822,TRINITY,06105,,,,
2013,TULARE,17948.0,133446.0,151394.0,0.11855159385444601,TULARE,06107,,,,
2013,TUOLUMNE,3469.0,23653.0,27122.0,0.12790354693606668,TUOLUMNE,06109,,,,
2013,VENTURA,32350.0,207955.0,240305.0,0.1346205863381952,VENTURA,06111,,,,
2013,YOLO,3385.0,41134.0,44519.0,0.07603495136907837,YOLO,06113,,,,
2013,YUBA,8576.0,45093.0,53669.0,0.15979429465799624,YUBA,06115,,,,
2014,ALAMEDA,70674.0,525820.0,596494.0,0.11848233175857595,ALAMEDA,06001,,,,
2014,AMADOR,1826.0,18813.0,20639.0,0.0884732787441252,AMADOR,06005,,,,
2014,BUTTE,23846.0,88953.0,112799.0,0.21140258335623544,BUTTE,06007,,,,
2014,CALAVERAS,1019.0,9744.0,10763.0,0.09467620551890736,CALAVERAS,06009,,,,
2014,COLUSA,497.0,6489.0,6986.0,0.07114228456913828,COLUSA,06011,,,,
2014,CONTRA COSTA,46861.0,317168.0,364029.0,0.128728755126652,CONTRA COSTA,06013,,,,
2014,DEL NORTE,1719.0,17871.0,19590.0,0.08774885145482389,DEL NORTE,06015,,,,
2014,EL DORADO,5036.0,41326.0,46362.0,0.10862344161166472,EL DORADO,06017,,,,
2014,FRESNO,45465.0,253959.0,299424.0,0.15184153574863737,FRESNO,06019,,,,
2014,GLENN,228.0,4895.0,5123.0,0.0445051727503416,GLENN,06021,,,,
2014,HUMBOLDT,6870.0,55033.0,61903.0,0.11098008174078801,HUMBOLDT,06023,,,,
2014,IMPERIAL,5655.0,87515.0,93170.0,0.06069550284426317,IMPERIAL,06025,,,,
2014,INYO,549.0,8869.0,9418.0,0.05829263113187513,INYO,06027,,,,
2014,KERN,39600.0,304854.0,344454.0,0.11496455259628281,KERN,06029,,,,
2014,KINGS,7172.0,106237.0,113409.0,0.0632401308538123,KINGS,06031,,,,
2014,LAKE,2048.0,36077.0,38125.0,0.05371803278688524,LAKE,06033,,,,
2014,LASSEN,863.0,9770.0,10633.0,0.08116241888460453,LASSEN,06035,,,,
2014,LOS ANGELES,524807.0,2827486.0,3352293.0,0.15655164987070044,LOS ANGELES,06037,,,,
2014,MADERA,10294.0,130627.0,140921.0,0.07304801981251907,MADERA,06039,,,,
2014,MARIN,9094.0,66027.0,75121.0,0.12105802638410032,MARIN,06041,,,,
2014,MARIPOSA,153.0,5412.0,5565.0,0.027493261455525605,MARIPOSA,06043,,,,
