year,county_name,ed_admissions,ed_visits,ed_facility_count,ed_admit_rate,ed_visits_per_facility
2013,MARIPOSA,128.0,4919.0,1,0.02602154909534458,4919.0
2013,MENDOCINO,3891.0,39025.0,3,0.09970531710442024,13008.333333333334
2013,MERCED,6636.0,82662.0,2,0.08027872541191841,41331.0
2013,MODOC,188.0,4146.0,2,0.045344910757356485,2073.0
2013,MONO,407.0,7809.0,1,0.052119349468561914,7809.0
2013,MONTEREY,17638.0,133477.0,4,0.13214261633090346,33369.25
2013,NAPA,5656.0,31783.0,2,0.1779567693421011,15891.5
2013,NEVADA,4781.0,36578.0,2,0.13070698233911093,18289.0
2013,ORANGE,141828.0,719430.0,25,0.1971394020266044,28777.2
2013,PLACER,23106.0,156932.0,3,0.1472357454183978,52310.666666666664
2013,PLUMAS,628.0,8819.0,3,0.07120988774237443,2939.6666666666665
2013,RIVERSIDE,102554.0,629511.0,16,0.16291057662217182,39344.4375
2013,SACRAMENTO,74245.0,444491.0,10,0.1670337532143508,44449.1
2013,SAN BENITO,1470.0,14575.0,1,0.10085763293310464,14575.0
2013,SAN BERNARDINO,114398.0,702340.0,17,0.16288122561722243,41314.117647058825
2013,SAN DIEGO,151838.0,757919.0,18,0.20033539204057427,42106.61111111111
2013,SAN FRANCISCO,43954.0,215399.0,9,0.20405851466348499,23933.222222222223
2013,SAN JOAQUIN,31880.0,256605.0,7,0.12423764151127219,36657.857142857145
2013,SAN LUIS OBISPO,9711.0,71728.0,4,0.13538645995984833,17932.0
2013,SAN MATEO,25671.0,171524.0,7,0.149664186935939,24503.428571428572
2013,SANTA BARBARA,16387.0,130600.0,5,0.12547473200612558,26120.0
2013,SANTA CLARA,73857.0,442205.0,9,0.167019821123687,49133.88888888889
2013,SANTA CRUZ,9903.0,60815.0,3,0.16283811559648112,20271.666666666668
2013,SHASTA,13093.0,79399.0,3,0.16490132117532966,26466.333333333332
2013,SISKIYOU,1887.0,19092.0,2,0.09883720930232558,9546.0
2013,SOLANO,17458.0,163991.0,4,0.10645706166801837,40997.75
2013,SONOMA,17992.0,131815.0,7,0.1364943291734628,18830.714285714286
2013,STANISLAUS,31440.0,205287.0,4,0.15315144164024025,51321.75
2013,TEHAMA,1763.0,27384.0,1,0.06438066023955595,27384.0
2013,TRINITY,359.0,4056.0,1,0.08851084812623274,4056.0
2013,TULARE,17948.0,133446.0,3,0.13449635058375672,44482.0
2013,TUOLUMNE,3469.0,23653.0,1,0.14666215702025112,23653.0
2013,VENTURA,32350.0,207955.0,7,0.15556250150272896,29707.85714285714
2013,YOLO,3385.0,41134.0,2,0.08229202119900812,20567.0
2013,YUBA,8576.0,45093.0,1,0.19018472933714767,45093.0
2014,ALAMEDA,70674.0,525820.0,16,0.13440721159332092,32863.75
2014,AMADOR,1826.0,18813.0,1,0.09706054324137564,18813.0
2014,BUTTE,23846.0,88953.0,4,0.2680741515182175,22238.25
2014,CALAVERAS,1019.0,9744.0,1,0.10457717569786536,9744.0
2014,COLUSA,497.0,6489.0,1,0.07659115426105717,6489.0
2014,CONTRA COSTA,46861.0,317168.0,8,0.14774819653937346,39646.0
2014,DEL NORTE,1719.0,17871.0,1,0.09618935705892227,17871.0
2014,EL DORADO,5036.0,41326.0,2,0.12186033005855877,20663.0
2014,FRESNO,45465.0,253959.0,6,0.1790249607220063,42326.5
2014,GLENN,228.0,4895.0,1,0.04657814096016343,4895.0
2014,HUMBOLDT,6870.0,55033.0,4,0.124834190394854,13758.25
2014,IMPERIAL,5655.0,87515.0,2,0.06461749414386105,43757.5
2014,INYO,549.0,8869.0,2,0.06190100349532078,4434.5
2014,KERN,39600.0,304854.0,9,0.12989824637367395,33872.666666666664
2014,KINGS,7172.0,106237.0,1,0.06750943644869489,106237.0
2014,LAKE,2048.0,36077.0,2,0.05676746957895612,18038.5
2014,LASSEN,863.0,9770.0,1,0.08833162743091096,9770.0
2014,LOS ANGELES,524807.0,2827486.0,75,0.18560905341352707,37699.81333333333
2014,MADERA,10294.0,130627.0,2,0.07880453505018105,65313.5
2014,MARIN,9094.0,66027.0,3,0.13773153406939587,22009.0
2014,MARIPOSA,153.0,5412.0,1,0.02827050997782705,5412.0
2014,MENDOCINO,3752.0,39099.0,3,0.09596153354305736,13033.0
2014,MERCED,6519.0,89719.0,2,0.0726601946076082,44859.5
2014,MODOC,144.0,4169.0,2,0.03454065723195011,2084.5
2014,MONO,287.0,7457.0,1,0.0384873273434357,7457.0
2014,MONTEREY,16716.0,143595.0,4,0.11641073853546433,35898.75
2014,NAPA,5119.0,32154.0,2,0.159202587547428,16077.0
2014,NEVADA,4785.0,38509.0,2,0.12425666727258564,19254.5
2014,ORANGE,140815.0,771714.0,24,0.1824704488968711,32154.75
2014,PLACER,21738.0,168392.0,3,0.1290916433084707,56130.666666666664
2014,PLUMAS,625.0,9547.0,3,0.06546559128522049,3182.3333333333335
2014,RIVERSIDE,105349.0,678504.0,16,0.1552665864902786,42406.5
2014,SACRAMENTO,77601.0,490194.0,9,0.1583067112204556,54466.0
2014,SAN BENITO,1415.0,15386.0,1,0.09196672299493046,15386.0
2014,SAN BERNARDINO,113815.0,729269.0,18,0.156067239934784,40514.944444444445
2014,SAN DIEGO,151471.0,813785.0,17,0.18613147207186173,47869.705882352944
2014,SAN FRANCISCO,43280.0,224842.0,9,0.1924907268215013,24982.444444444445
2014,SAN JOAQUIN,34269.0,277254.0,7,0.12360146291847908,39607.71428571428
2014,SAN LUIS OBISPO,9454.0,85936.0,4,0.11001210202941725,21484.0
2014,SAN MATEO,24178.0,177233.0,8,0.13641928986136892,22154.125
2014,SANTA BARBARA,16912.0,145899.0,5,0.11591580476905257,29179.8
2014,SANTA CLARA,74643.0,470798.0,10,0.1585457032527751,47079.8
2014,SANTA CRUZ,10032.0,65733.0,3,0.15261740678198166,21911.0
2014,SHASTA,13133.0,88676.0,3,0.14810095177951194,29558.666666666668
2014,SISKIYOU,1524.0,20401.0,2,0.07470222047938826,10200.5
2014,SOLANO,17424.0,177342.0,4,0.09825083736509117,44335.5
2014,SONOMA,18236.0,140350.0,8,0.12993231207695047,17543.75
2014,STANISLAUS,31832.0,224973.0,4,0.14149253465971473,56243.25
2014,TEHAMA,1907.0,28433.0,1,0.06706995392677523,28433.0
2014,TRINITY,334.0,4371.0,1,0.07641272020132693,4371.0
