fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population
06001,2005,317.36875,46118.0,964377.0
06001,2006,298.125,43862.0,968546.625
06001,2007,292.01875,43736.0,978301.8125
06001,2008,278.15,42289.0,994433.9375
06001,2009,260.96875,40704.0,1010945.0
06001,2010,260.35,41475.0,1023742.75
06001,2011,243.68125,39906.0,1038532.3125
06001,2012,220.51875,36804.0,1027303.0625
06001,2013,201.01875,34502.0,1048104.3125
06001,2014,191.29375,32443.0,1043078.1875
06001,2015,190.5875,25747.0,808193.4375
06001,2016,270.9214285714286,31744.0,1211637.142857143
06001,2017,260.15000000000003,30934.0,1220780.7857142857
06001,2018,239.93571428571428,29381.0,1229366.357142857
06001,2019,238.97857142857143,29707.0,1234244.142857143
06001,2020,191.27857142857144,24615.0,1248021.357142857
06001,2021,196.52857142857144,25548.0,1223847.857142857
06001,2022,211.12857142857143,27632.0,1217592.0714285714
06001,2023,225.05,31091.0,1212951.0714285714
06001,2024,202.07857142857142,30685.0,1237249.9285714286
06003,2005,66.29375,8.0,867.2666666666667
06003,2006,61.03333333333333,5.0,979.9285714285714
06003,2007,90.6,14.0,883.0
06003,2008,22.8,4.0,837.5
06003,2009,39.2875,6.0,828.6875
06003,2010,99.37333333333332,12.0,835.3333333333334
06003,2011,20.853333333333335,3.0,828.8
06003,2012,32.1,6.0,2776.6666666666665
06003,2013,33.2,5.0,2917.3571428571427
06003,2014,0.0,0.0,1883.4666666666667
06003,2015,15.433333333333334,3.0,2800.0
06003,2016,69.94285714285715,4.0,800.5454545454545
06003,2017,49.107142857142854,2.0,848.7272727272727
06003,2018,63.07857142857143,5.0,812.1666666666666
06003,2019,28.55,3.0,833.25
06003,2020,41.357142857142854,4.0,899.25
06003,2021,45.15,4.0,934.0833333333334
06003,2022,0.0,0.0,926.7142857142857
06003,2023,29.928571428571427,3.0,875.4166666666666
06003,2024,0.0,0.0,861.7142857142857
06005,2005,253.03125,1406.0,28446.8
06005,2006,229.3875,1298.0,28783.733333333334
06005,2007,234.56875000000002,1336.0,29177.533333333333
06005,2008,238.4125,1379.0,28950.4
06005,2009,200.49375,1210.0,29097.133333333335
06005,2010,209.3375,1260.0,29058.8
06005,2011,196.79375,1209.0,29095.0
06005,2012,197.51875,1222.0,29818.466666666667
06005,2013,213.45625,1334.0,29491.0
06005,2014,189.0875,1216.0,30427.466666666667
06005,2015,207.675,1027.0,21557.375
