fips5,year,medi_cal_enrollment,population,medi_cal_share
06065,2020,856624.0833333334,2418185.0,0.3542425758712974
06065,2021,932910.3333333334,2423069.0,0.38501187268432446
06065,2022,974827.8333333334,2435510.0,0.40025614073985877
06067,2019,531934.4285714285,,
06067,2020,544086.8333333334,1585055.0,0.3432605388035957
06067,2021,590290.0,1581162.0,0.3733267052964845
06067,2022,616516.8333333334,1577672.0,0.39077630415785625
06069,2019,10579.42857142857,,
06069,2020,10642.666666666666,64209.0,0.16575038805567235
06069,2021,11648.583333333334,64712.0,0.18000654180574444
06069,2022,12405.666666666666,65751.0,0.1886764713337693
06071,2019,851476.5714285715,,
06071,2020,860833.9166666666,2181654.0,0.39457857050965306
06071,2021,923885.25,2179941.0,0.4238120435369581
06071,2022,959940.0,2183077.0,0.4397188005736857
06073,2019,826819.2857142857,,
06073,2020,848916.25,3298634.0,0.25735387739288446
06073,2021,951156.4166666666,3289937.0,0.289110829984485
06073,2022,999552.3333333334,3283556.0,0.30441153838501106
06075,2019,203504.14285714287,,
06075,2020,209027.5,873965.0,0.23917147711864892
06075,2021,228555.83333333334,857605.0,0.26650478172740755
06075,2022,237408.83333333334,840348.0,0.2825125225898477
06077,2019,282091.28571428574,,
06077,2020,285013.3333333333,779233.0,0.36576137475355036
06077,2021,308459.4166666667,781220.0,0.39484321531280137
06077,2022,320918.8333333333,784289.0,0.4091844120385895
06079,2019,54468.0,,
06079,2020,55731.666666666664,282424.0,0.19733332389126512
06079,2021,63273.0,279100.0,0.22670369043353636
06079,2022,67550.16666666667,280111.0,0.24115499450812952
06081,2019,136615.2857142857,,
06081,2020,140027.75,764442.0,0.18317642149437105
06081,2021,153578.08333333334,757341.0,0.20278590929757315
06081,2022,160628.33333333334,744660.0,0.21570694455635236
06083,2019,144289.14285714287,,
06083,2020,148561.33333333334,448229.0,0.3314406995828769
06083,2021,161936.83333333334,441980.0,0.36638950480413895
06083,2022,168188.33333333334,442182.0,0.3803599724397043
06085,2019,384324.71428571426,,
06085,2020,393855.8333333333,1936259.0,0.20341071795319393
06085,2021,430564.0,1913594.0,0.225002795786358
06085,2022,449674.3333333333,1894827.0,0.2373168280446359
06087,2019,72324.57142857143,,
06087,2020,74121.58333333333,270861.0,0.2736517377301765
06087,2021,81012.91666666667,266168.0,0.3043676049212027
06087,2022,83130.0,264581.0,0.3141948968368855
06089,2019,59957.142857142855,,
06089,2020,60972.75,182155.0,0.3347300376053361
06089,2021,66415.25,181768.0,0.36538472118304655
06089,2022,68555.33333333333,180547.0,0.37970906929128334
06091,2019,253.57142857142858,,
06091,2020,442.3333333333333,3236.0,0.13669138854552945
06091,2021,514.6666666666666,3225.0,0.15958656330749352
06091,2022,488.8333333333333,3212.0,0.15218970527189704
06093,2019,15146.714285714286,,
06093,2020,15454.583333333334,44076.0,0.35063488822337174
06093,2021,16840.5,43912.0,0.3835056476589543
06093,2022,17118.666666666668,43621.0,0.3924409496954831
06095,2019,114123.57142857143,,
06095,2020,117537.33333333333,453491.0,0.25918338695439014
06095,2021,130383.08333333333,450518.0,0.2894070455194539
06095,2022,137198.0,447671.0,0.3064706000612057
06097,2019,111816.14285714286,,
06097,2020,114064.33333333333,488863.0,0.23332576475072428
06097,2021,124487.16666666667,485182.0,0.2565782874605131
06097,2022,129569.33333333333,481223.0,0.26925008433373576
06099,2019,231650.14285714287,,
06099,2020,236740.83333333334,552878.0,0.428197239415085
06099,2021,251183.83333333334,551722.0,0.4552724620974573
06099,2022,258969.66666666666,549272.0,0.4714780048257815
06101,2019,37536.28571428572,,
06101,2020,39168.916666666664,99633.0,0.3931319609634023
06101,2021,41604.333333333336,99144.0,0.4196354124640254
06101,2022,42867.166666666664,99435.0,0.4311074236100635
06103,2019,23757.714285714286,,
06103,2020,25299.083333333332,65829.0,0.3843151701124631
06103,2021,27487.833333333332,65492.0,0.41971284024511896
06103,2022,27811.666666666668,65289.0,0.42597783189613364
06105,2019,3649.714285714286,,
06105,2020,3767.75,16112.0,0.23384744289970208
06105,2021,3919.5833333333335,16050.0,0.24421079958463138
06105,2022,4267.166666666667,15967.0,0.26724911797248496
06107,2019,247621.85714285713,,
06107,2020,251401.16666666666,473117.0,0.5313720848472294
06107,2021,267114.3333333333,474381.0,0.5630797467295977
06107,2022,276456.8333333333,475419.0,0.5815014404837276
06109,2019,11545.0,,
06109,2020,11761.0,55620.0,0.2114527148507731
06109,2021,13593.416666666666,54810.0,0.24800979140059598
06109,2022,13995.0,54484.0,0.25686440055796195
06111,2019,219259.7142857143,,
06111,2020,224744.08333333334,843843.0,0.26633400209912667
06111,2021,245489.83333333334,840730.0,0.29199604312125577
06111,2022,255280.66666666666,832883.0,0.3065024339152878
06113,2019,53464.57142857143,,
06113,2020,53941.25,216403.0,0.2492629492197428
06113,2021,57775.416666666664,215702.0,0.26784831233213724
06113,2022,58472.333333333336,219340.0,0.26658308258107655
06115,2019,27124.714285714286,,
06115,2020,28603.083333333332,81575.0,0.35063540708959035
06115,2021,32256.083333333332,81973.0,0.3934964358182979
06115,2022,34860.0,82281.0,0.42367010609982864
