fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,cost_per_discharge,cost_per_patient_day,operating_margin,medi_cal_rev_share,ed_per_discharge,n_hospitals,log_pqi,log_cost_per_discharge
6077,2019,283.3857142857143,19894.0,517277.4285714286,190452.41493268055,5484.7261111135585,0.0350152084041454,0.263490047026653,48.98883108935129,8,5.650331465604575,12.15716290260806
6077,2020,227.95,16720.0,531616.4285714285,199823.56571879936,5703.452467591027,0.0472496953186538,0.2521356566198059,43.166666666666664,8,5.433503639103105,12.20519508918421
6077,2021,226.6214285714286,17014.0,538780.3571428572,344184.89209827356,8629.727876999405,0.0256869663797694,0.1917012860172335,46.33366533864542,8,5.427683847958416,12.748937174407287
6077,2022,242.9,18448.0,544171.6428571428,359152.4333105335,8825.555840357674,0.0632877841141824,0.1453306337556598,56.15441176470589,8,5.496758305221874,12.791504967002107
6077,2023,270.64285714285717,19941.0,551098.7857142857,396592.84510332433,9036.76133055452,0.0783540036667012,0.1663520945785823,62.07205750224618,9,5.604488178313001,12.890667975792907
6079,2014,124.4125,4636.0,193242.875,,1094.1634149583506,0.0535418666965636,0.0383228417138001,,4,4.8316083042517315,
6079,2015,137.1125,3905.0,147361.26666666666,,1138.8613814153184,0.0740244656520934,0.0818820058687122,,4,4.928068570439294,
6079,2016,193.53571428571428,5187.0,214657.85714285713,,1159.539319647473,0.0697935169445792,0.0802879266132782,,4,5.27061576720847,
6079,2017,189.3642857142857,5092.0,215627.64285714287,,1188.9907686585998,0.0833544119510751,0.0782499677532809,,4,5.248939529732857,
6079,2018,180.9714285714286,5012.0,216721.5,,1269.1556136573363,0.0796076602923439,0.0804155594726898,,4,5.203849688881952,
6079,2019,170.65,4847.0,226187.15384615384,,1319.3330231506443,0.0717231660365119,0.0643757002316685,,4,5.145457519903701,
6079,2020,149.60714285714286,4280.0,225631.6923076923,,1382.420062012019,0.0781537837357247,0.0660552246122831,,4,5.014674743571356,
6079,2021,136.15714285714287,3974.0,223784.7692307692,,1579.682544245978,0.0751015210859916,0.074395241047645,,4,4.921127296648265,
6079,2022,155.93571428571428,4597.0,227078.7692307692,,1585.784384069655,0.0929542977812489,0.0627430777925257,,4,5.055836258347066,
6079,2023,145.55,5274.0,226295.15384615384,2328188.7166123777,1868.6084296716915,0.0850109805182506,0.0620090298972487,142.14983713355048,4,4.987366667156902,14.660601577903256
6081,2014,133.45,12251.0,496182.375,87409.42981848413,3738.241467483252,-0.0079068670539374,0.1701175863122689,12.753498683663572,7,4.901192382714874,11.378369888831454
6081,2015,137.49375,9872.0,383911.125,217219.07974306753,3999.242517154947,-0.0108018305661262,0.2540141210653835,30.307692307692307,7,4.930825198255378,12.28866631094135
6081,2016,222.68571428571428,10926.0,563057.8571428572,244477.4228668942,4257.821447252669,-0.0779114762558824,0.2488288493060171,33.10529010238908,7,5.4102420054185005,12.406882333969648
6081,2017,218.15,10809.0,565616.0714285715,318698.22771033907,4475.185759250932,0.0089013310781875,0.2805057049158523,41.735454164922565,7,5.389756426864818,12.67200307715285
6081,2018,204.77857142857144,10378.0,567456.5,257411.17778860204,4626.89244939413,-0.0413664318064421,0.2613873370563781,31.561617145640525,7,5.326800694696778,12.458433883781074
6081,2019,207.5,10662.0,566859.4285714285,260243.69674433977,4559.610989500993,-0.030079495709072,0.2427043869134263,32.52933399438109,7,5.339939041238856,12.469377608726226
6081,2020,164.84285714285716,8510.0,592843.0769230769,259762.8331378299,4759.977005935252,-0.1245699973822956,0.2651471440495163,24.68856304985337,6,5.1110406962886765,12.467528163127007
6081,2021,176.68571428571428,9202.0,577566.5384615385,238505.2957255937,7407.773728705219,-0.0488501518188763,0.1841973171232254,15.645699208443272,6,5.180016339614475,12.382150986134434
6081,2022,190.34285714285716,10004.0,546634.2142857143,235453.261399411,7661.40024519037,0.0143168971867677,0.2194674637330604,18.08987508885955,6,5.254066882420637,12.369271954464855
6081,2023,180.67142857142855,11323.0,545196.7857142857,256414.26201973547,8018.548613185651,-0.003197202049532,0.201269631994249,20.558681503254252,6,5.2021997179713875,12.454553526515092
6083,2014,143.9625,7325.0,283920.375,45528.32907230055,4824.465652113314,0.0457593411094586,0.1505875126477849,6.891610834806198,5,4.976475088282822,10.726111992272537
6083,2015,136.0375,5321.0,210952.25,50600.436854776184,5310.565785472937,0.0443113707921333,0.2196048537802283,7.1473864610111395,7,4.920254611000658,10.831735251211839
6083,2016,188.1071428571429,6496.0,319739.64285714284,60250.30005977286,5573.20784954194,0.0138746291476636,0.2071847833293995,8.690284610786703,7,5.242313747860303,11.006279428875672
6083,2017,187.93571428571428,6512.0,333556.0,175458.46693942192,5615.340899587333,0.0474562290517966,0.1647172942777947,24.672561699881214,7,5.241406821145833,12.07516333760311
6083,2018,171.59285714285713,6098.0,321408.5714285714,207281.6390541129,6087.453668554094,0.0784252899599154,0.1815467275960735,26.41796024952851,6,5.15093539391615,12.241838546986827
6083,2019,181.21428571428572,6544.0,322036.0,151570.75951184495,6329.837750329776,0.0729420444018884,0.1587692247131533,18.288585786073224,6,5.205183388526553,11.928814451934196
6083,2020,156.7642857142857,5725.0,324359.28571428574,185502.4685405151,7003.931911227943,0.0270761817783473,0.2265723915345681,18.02293308244149,6,5.061102056524164,12.130828859186433
6083,2021,159.97142857142856,5874.0,315229.5714285714,447871.49584338965,7215.432240002765,0.0418461931992108,0.2123183337351987,38.041566103513006,6,5.081226886946904,13.01226386339629
6083,2022,158.54999999999998,5922.0,321686.85714285716,495900.7822626492,7305.209314400808,0.0187040405074679,0.2038900938994258,48.70835702103468,6,5.072357352724253,13.114133166466832
6083,2023,118.77142857142856,6545.0,331627.3076923077,1355704.0340826686,7695.66610683692,0.0313707698806888,0.2290224799480044,131.4379985496737,6,4.785585164511464,14.119832197332453
6085,2014,157.34375,31451.0,1212230.4375,131413.18170131376,6695.091259654476,-0.0144021061307824,0.2143400528991608,13.104944658702536,12,5.064768302676184,11.786109306920544
6085,2015,165.38125,26095.0,930497.8125,88378.10868797111,6906.744957238734,0.0342586181037088,0.2733647225778607,8.858825376884422,12,5.114281841749746,11.389390893636945
6085,2016,303.9642857142857,33384.0,1386632.0,90565.90176685053,7410.975370784591,0.0116610989848543,0.2871500244500831,8.466168084509675,13,5.7201946737324025,11.413844102622797
6085,2017,304.0142857142857,33968.0,1394662.2857142857,84489.92480370279,7611.869305117055,0.0067534763947015,0.2983823098565729,7.531035622778742,13,5.720358613918021,11.344399408804856
6085,2018,266.84999999999997,30508.0,1400484.4285714286,115303.51457769764,8106.673018104769,-0.0062556091362604,0.3057004290992831,10.085302073940486,13,5.590427122326969,11.655331860544363
6085,2019,270.7,31399.0,1399936.5714285714,103909.705330757,8352.637692039452,0.0556531665348211,0.3007612970690105,7.817932105781617,11,5.604698516432302,11.551287206724309
6085,2020,216.79285714285712,25609.0,1412090.642857143,113249.42381337902,9066.2013957239,0.0445004666911294,0.3344610209776081,7.054487601905372,11,5.383544414473735,11.63735678561977
6085,2021,226.09285714285716,26930.0,1386826.0714285714,158644.7778348945,12315.01348012048,-0.0225970698320122,0.2361277318954563,7.540743279262813,11,5.425358996141563,11.974429183577438
6085,2022,252.6357142857143,30302.0,1384300.357142857,163861.21438575798,12205.2640454528,0.0356319282187152,0.2640219700718961,9.35582912535476,11,5.535899041849913,12.006781197492923
6085,2023,232.93571428571428,33666.0,1395844.357142857,150436.2345562533,12633.483670895448,0.0110461166401881,0.2756246326736419,8.470055990348625,11,5.455046352339075,11.92130123004529
6087,2014,167.45624999999998,5079.0,179225.6875,507635.63477366255,6976.230923666389,0.1278655086588296,0.1802387934476096,64.47427983539094,4,5.1266760721621845,13.137521184743004
6087,2015,178.25625,4245.0,139463.33333333334,,7221.824520680882,0.1282243146740177,0.2508181516406257,,4,5.18881634637536,
6087,2016,212.3857142857143,4881.0,204780.64285714287,2931653.5808080807,7423.711283907355,0.1155811836242025,0.2308197111379976,405.8080808080808,4,5.3631013932609335,14.891077524955783
6087,2017,222.74285714285716,5228.0,205647.92857142855,1630141.971671388,7593.962679476352,0.1012260259150483,0.2007502787752596,209.628895184136,4,5.410497433261524,14.304178281618245
6087,2018,191.31428571428572,4571.0,205391.64285714287,1210825.166007905,8229.49312952491,0.0644628363275404,0.2248106590970126,143.48814229249012,4,5.2591309385213,14.006813466408177
6087,2019,191.79285714285712,4684.0,205378.64285714287,1619967.5091863517,8341.883536741949,0.0436578364898092,0.1965365188465192,192.0,4,5.261616333475924,14.297917268245774
6087,2020,140.82142857142858,3470.0,212978.15384615384,2708387.965811966,9171.808332971534,0.0569017965169534,0.2323852118338622,259.1666666666667,4,4.954568720956048,14.811864538523878
6087,2021,149.28571428571428,3733.0,205240.15384615384,1878259.7295774648,9394.738974835856,0.015029139090304,0.2214600646919354,165.4112676056338,4,5.012538244242342,14.44585676275467
6087,2022,151.82857142857142,3863.0,210067.0,1896328.9376770535,8985.77259181701,0.0330093937605082,0.1904818691189372,196.10198300283287,4,5.029316845041836,14.455430964419929
