fips5,year,pqi_mean_rate,pqi_count,population_pqi,population,medi_cal_enrollment,ffs_share,dual_share,medi_cal_share,ed_visits_resident,ed_admit_rate_resident,poverty_pct,age65_pct,disability_pct,county_name_clean
06009,2016,222.15714285714284,1213.0,37568.0,37568.0,3068.8958333333335,0.8299945012796404,0.4624084395174703,0.08168909266751846,19610.0,0.0323814380418154,12.7,50.6,20.2,CALAVERAS
06009,2017,263.1142857142857,1463.0,37872.0,37872.0,3043.0208333333335,0.8396809639544037,0.4736247561017355,0.0803501487466554,20329.0,0.0340400413202813,12.8,25.7,20.2,CALAVERAS
06009,2018,231.75714285714284,1319.0,37987.0,37987.0,2984.7916666666665,0.8251832204927759,0.4673693027151532,0.07857402971191899,19517.0,0.0338166726443613,11.7,27.0,21.4,CALAVERAS
06009,2019,236.32857142857145,1357.0,38289.0,38289.0,2974.5416666666665,0.839737214416787,0.4774685175587275,0.07768658535523693,19142.0,0.0428899801483648,11.4,27.5,21.1,CALAVERAS
06009,2020,200.70714285714288,1125.0,37673.0,45292.0,3041.375,0.819338840710753,0.4879645993451426,0.06715037975801466,16838.0,0.0412162964722651,11.4,28.0,20.1,CALAVERAS
06009,2021,184.1357142857143,1068.0,38312.0,45250.0,3348.75,0.7465969889262162,0.5018290406868234,0.07400552486187845,18569.0,0.0373202649577252,14.1,28.0,20.1,CALAVERAS
06009,2022,204.42142857142855,1202.0,38508.0,45012.0,3573.3125,0.7170284341676432,0.514228744337362,0.07938577490446992,19795.0,0.033947966658247,13.1,28.8,21.3,CALAVERAS
06009,2023,172.10714285714286,1232.0,38409.0,44890.0,3733.125,0.4113175958479826,0.532842234499693,0.08316161728670082,20099.0,0.0399522364296731,13.4,28.7,21.1,CALAVERAS
06009,2024,210.82142857142856,1432.0,38377.0,44824.0,3561.4166666666665,0.3915810655871961,0.582352528254206,0.07945334344696293,20805.0,0.0346551309781302,,,,CALAVERAS
06011,2005,375.24375,791.0,14456.0,14456.0,,,,,,,,,,COLUSA
06011,2006,343.9375,725.0,14677.0,14677.0,,,,,,,,,,COLUSA
06011,2007,314.9125,683.0,14837.0,14837.0,,,,,,,,,,COLUSA
06011,2008,382.93125,847.0,14891.0,14891.0,,,,,5835.0,0.0349614395886889,,,,COLUSA
06011,2009,360.39375,777.0,14960.0,14960.0,,,,,6011.0,0.0319414406920645,,,,COLUSA
06011,2010,325.15625,724.0,15117.0,15117.0,2322.5,1.9952996053103695,0.3078579117330463,0.15363498048554608,5846.0,0.031987683886418,,32.6,,COLUSA
06011,2011,308.85,701.0,15206.0,15206.0,2355.8333333333335,1.9937035726918992,0.3017686593562079,0.15492787934587227,5762.0,0.02915654286706,,32.1,,COLUSA
06011,2012,301.39375,702.0,16676.0,16676.0,2336.4583333333335,1.993508693713776,0.3044850646455639,0.14010903893819462,6108.0,0.0378192534381139,15.2,32.1,12.4,COLUSA
06011,2013,260.1,614.0,16775.0,16775.0,2209.714285714286,2.0237156279631066,0.3240615033186794,0.131726634021716,6393.0,0.0384795870483341,12.5,32.7,12.5,COLUSA
06011,2014,253.80625,609.0,16640.0,16640.0,1917.5833333333333,1.4515666420407631,0.3928990482812567,0.11523938301282051,7312.0,0.036925601750547,14.5,33.1,12.4,COLUSA
06011,2015,261.1125,479.0,13258.0,13258.0,2143.6875,1.0137127418680818,0.3647142287918987,0.16169011163071353,7849.0,0.0365651675372658,15.0,33.1,12.6,COLUSA
06011,2016,304.4785714285714,482.0,15519.0,15519.0,2274.8958333333335,0.8815055634415494,0.3552909931773432,0.14658778486586335,6902.0,0.0302810779484207,13.5,33.8,12.6,COLUSA
06011,2017,327.64285714285717,518.0,15549.0,15549.0,2289.9791666666665,0.7946942748751353,0.3698359701234545,0.14727501232662335,6576.0,0.0235705596107055,14.0,13.4,12.1,COLUSA
06011,2018,486.06428571428575,773.0,15514.0,15514.0,2395.25,0.7772675086107922,0.3743520161430609,0.15439280649735723,9188.0,0.0267740531127557,13.8,13.8,12.3,COLUSA
06011,2019,445.5357142857143,719.0,15645.0,15645.0,2436.9791666666665,0.7592733490061979,0.3873306262021799,0.1557672845424523,9060.0,0.0275938189845474,13.0,14.4,12.2,COLUSA
06011,2020,394.6,658.0,15973.0,21839.0,2512.2916666666665,0.7634463885894354,0.3960859109378887,0.11503693697818886,6847.0,0.0388491310062801,11.9,14.6,13.4,COLUSA
06011,2021,371.12857142857143,638.0,16109.0,21841.0,2706.5208333333335,0.7110604789359032,0.4103361480375327,0.12391927262182746,7704.0,0.0325804776739356,13.0,14.6,13.2,COLUSA
06011,2022,302.37857142857143,524.0,16137.0,21923.0,2849.0833333333335,0.6610313258650442,0.415864751820761,0.12995864312974198,9068.0,0.0279003087781208,10.9,15.1,13.1,COLUSA
06011,2023,343.2,742.0,16122.0,21797.0,2959.7083333333335,0.3776554559148564,0.4227894077400644,0.13578512333501552,9155.0,0.0293828509011469,10.8,15.3,13.1,COLUSA
06011,2024,316.0428571428571,632.0,16228.0,22093.0,4575.523809523809,0.09926003788273,0.4197515767125284,0.20710287464462993,9546.0,0.0252461764089671,,,,COLUSA
06013,2005,264.03125,28403.0,744835.0,744835.0,,,,,,,,,,CONTRA COSTA
06013,2006,255.3625,27806.0,747747.0,747747.0,,,,,,,,,,CONTRA COSTA
06013,2007,256.31875,28494.0,755752.0,755752.0,,,,,,,,,,CONTRA COSTA
06013,2008,261.0625,29515.0,767612.0,767612.0,,,,,286205.0,0.0123233346726996,,,,CONTRA COSTA
06013,2009,258.73125,29897.0,780970.0,780970.0,,,,,316964.0,0.0119067149581655,,,,CONTRA COSTA
06013,2010,259.325,30723.0,793960.0,793960.0,27307.6,2.4121001723573903,0.8070555449764901,0.03439417602901909,324362.0,0.011909533175896,,36.8,,CONTRA COSTA
06013,2011,238.4375,28946.0,808054.0,808054.0,28267.7,2.1946072726114965,0.8157131048275357,0.03498243929242353,332452.0,0.0110331717059906,,37.0,,CONTRA COSTA
06013,2012,231.99375,28783.0,793369.0,793369.0,28837.166666666668,1.8803251590828964,0.8254914086566525,0.036347735627011726,361247.0,0.0105135821197131,10.2,37.1,9.8,CONTRA COSTA
06013,2013,208.63125,26561.0,808882.0,808882.0,31797.116666666665,1.7228973067264486,0.7783646001445624,0.03930995703534838,351142.0,0.0093865159963775,10.5,37.2,10.2,CONTRA COSTA
06013,2014,197.38125,25248.0,818959.0,818959.0,45392.816666666666,1.764021767027015,0.5895793350563177,0.05542745933150092,364875.0,0.0077177115450496,10.7,37.4,10.4,CONTRA COSTA
