fips5,age65_pct,median_age,no_vehicle_workers,total_workers,bachelors_pct,unemp_rate,year,poverty_pct,disability_pct,limited_english_pct,no_vehicle_pct
06015,37.4,56.9,2.3,8929,12.1,10.2,2011,,,,0.025758763579348188
06017,42.1,59.4,1.6,80112,32.5,9.7,2011,,,,0.0019972039145196726
06019,29.7,66.6,3.5,349704,19.2,12.7,2011,,,,0.0010008464301237618
06021,34.6,70.0,2.6,10743,14.1,10.0,2011,,,,0.02420180582705017
06023,35.7,49.7,2.9,57761,25.9,9.7,2011,,,,0.005020688699987881
06025,30.8,66.0,2.7,56338,12.1,16.4,2011,,,,0.004792502396251199
06027,44.2,67.8,3.7,8523,23.8,7.1,2011,,,,0.0434119441511205
06029,30.1,64.9,2.9,305547,14.3,12.5,2011,,,,0.0009491174843804717
06031,31.8,55.1,2.9,56019,10.8,13.1,2011,,,,0.00517681500919331
06033,43.1,63.5,2.5,23533,16.5,13.4,2011,,,,0.01062337993455998
06035,34.8,37.0,3.6,10149,10.1,10.0,2011,,,,0.03547147502216967
06037,33.4,55.1,4.8,4382882,30.0,9.8,2011,,,,0.00010951697992325598
06039,31.4,66.0,3.2,44969,14.6,11.3,2011,,,,0.007116013253574686
06041,42.9,58.8,1.9,121068,53.0,6.3,2011,,,,0.001569365976145637
06043,48.4,63.9,0.5,7115,19.9,13.2,2011,,,,0.0070274068868587496
06045,40.0,60.4,1.9,37509,21.3,11.0,2011,,,,0.005065450958436642
06047,28.6,69.6,3.2,91197,12.2,15.2,2011,,,,0.003508887353750672
06049,45.7,70.8,3.6,3441,14.8,9.4,2011,,,,0.10462074978204011
06051,35.2,43.2,4.2,7952,27.5,7.5,2011,,,,0.05281690140845071
06053,32.1,59.7,3.1,175968,22.3,10.8,2011,,,,0.0017616839425350064
06055,38.4,61.7,1.7,63450,30.9,8.0,2011,,,,0.0026792750197005516
06057,45.8,63.1,2.0,42953,34.8,9.2,2011,,,,0.00465625218261821
06059,34.8,56.6,2.1,1411620,38.5,8.3,2011,,,,0.0001487652484379649
06061,38.9,65.8,1.4,155159,37.7,8.2,2011,,,,0.000902300221063554
06063,47.0,63.0,2.2,7773,21.1,14.2,2011,,,,0.02830310047600669
06065,32.5,67.6,1.8,845421,21.5,12.9,2011,,,,0.00021291167359221028
06067,33.4,58.3,2.6,603551,28.0,11.7,2011,,,,0.0004307838111443772
06069,33.2,64.3,0.9,24268,18.1,11.0,2011,,,,0.003708587440250536
06071,30.3,62.1,2.0,801451,18.4,12.9,2011,,,,0.00024954738343329784
06073,33.1,53.5,2.6,1423322,35.3,8.9,2011,,,,0.0001826712437522922
06075,38.4,37.2,20.2,436236,51.9,7.5,2011,,,,0.004630521094086687
06077,31.3,66.1,2.2,260063,17.1,14.4,2011,,,,0.0008459488662362582
06079,37.0,51.4,2.4,119136,30.6,8.1,2011,,,,0.0020145044319097504
06081,38.0,55.2,2.8,353172,44.0,7.3,2011,,,,0.0007928148324329222
06083,32.1,55.9,3.3,191238,32.3,8.3,2011,,,,0.0017255984689235403
06085,35.2,54.0,2.0,828082,47.8,8.6,2011,,,,0.00024152197487688418
06087,35.5,47.5,1.9,123591,37.5,8.4,2011,,,,0.0015373287698942479
06089,40.1,64.6,2.5,67571,20.6,12.4,2011,,,,0.003699812049547883
06091,54.2,61.3,2.1,1260,14.5,11.3,2011,,,,0.16666666666666669
06093,45.3,67.3,3.7,16286,23.6,13.4,2011,,,,0.022718899668426874
06095,35.4,56.1,1.7,184729,23.1,10.0,2011,,,,0.0009202669856925549
06097,38.0,56.0,2.1,226280,31.6,8.7,2011,,,,0.0009280537387307762
06099,31.3,65.0,2.0,199567,16.6,14.2,2011,,,,0.0010021696973948598
06101,33.2,67.1,3.2,37230,19.1,14.2,2011,,,,0.008595218909481601
06103,38.6,71.2,2.4,22329,13.1,13.6,2011,,,,0.010748354158269514
06105,49.5,60.2,0.4,4723,22.1,14.7,2011,,,,0.008469193309337287
06107,28.7,72.5,3.0,162738,12.4,13.5,2011,,,,0.0018434538952180808
06109,44.2,60.7,1.3,19728,17.7,13.1,2011,,,,0.0065896188158961885
06111,34.8,60.1,1.6,377749,32.7,8.3,2011,,,,0.00042356167719835136
06113,29.5,47.7,2.6,88195,38.7,9.7,2011,,,,0.002948012925902829
06115,31.0,64.1,2.1,25762,12.4,17.0,2011,,,,0.008151541029423181
06001,35.6,50.9,4.6,693960,41.1,9.9,2012,12.0,9.2,,0.0006628624128191827
06003,40.8,53.5,5.4,534,30.3,10.3,2012,13.7,13.9,,1.0112359550561798
06005,46.8,60.2,1.6,12080,18.0,17.3,2012,10.5,17.0,,0.013245033112582781
06007,35.1,57.2,3.1,84310,24.4,14.4,2012,20.6,16.7,,0.003676906654014945
06009,48.6,69.0,1.2,17205,20.7,11.8,2012,10.4,17.8,,0.006974716652136006
06011,32.1,71.6,3.6,8469,13.9,14.4,2012,15.2,12.4,,0.04250797024442083
06013,37.1,59.5,2.1,473623,39.8,10.1,2012,10.2,9.8,,0.0004433906292557583
06015,37.3,55.1,2.7,9070,11.7,12.1,2012,21.5,21.1,,0.029768467475192944
06017,42.5,59.9,1.7,79772,33.0,10.9,2012,8.1,11.4,,0.002131073559644988
06019,29.8,66.4,3.5,346377,19.0,14.0,2012,24.8,11.6,,0.0010104597014235933
06021,34.6,69.7,2.9,10647,12.9,10.5,2012,19.5,15.0,,0.02723771954541185
06023,36.0,50.0,2.8,57878,25.5,10.4,2012,19.7,15.5,,0.004837762189432945
06025,30.8,65.9,3.0,56667,12.2,18.0,2012,23.0,13.4,,0.005294086505373497
06027,44.1,67.5,4.2,8744,21.5,7.3,2012,11.3,12.3,,0.04803293687099726
