year,county_name,ed_admissions,ed_visits,ed_facility_count,ed_admit_rate,ed_visits_per_facility,county_clean,fips5
2013,CALAVERAS,1106.0,8584.0,1,0.1288443616029823,8584.0,CALAVERAS,06009
2013,COLUSA,536.0,5623.0,1,0.0953227814333985,5623.0,COLUSA,06011
2013,CONTRA COSTA,48907.0,312112.0,8,0.1566969549392525,39014.0,CONTRA COSTA,06013
2013,DEL NORTE,1852.0,18660.0,1,0.0992497320471597,18660.0,DEL NORTE,06015
2013,EL DORADO,5363.0,39427.0,2,0.1360235371699596,19713.5,EL DORADO,06017
2013,FRESNO,46413.0,234516.0,6,0.1979097375019188,39086.0,FRESNO,06019
2013,GLENN,166.0,5130.0,1,0.0323586744639376,5130.0,GLENN,06021
2013,HUMBOLDT,6254.0,56312.0,4,0.11105980963205,14078.0,HUMBOLDT,06023
2013,IMPERIAL,6438.0,84254.0,2,0.0764118024070073,42127.0,IMPERIAL,06025
2013,INYO,488.0,8420.0,2,0.0579572446555819,4210.0,INYO,06027
2013,KERN,39535.0,286768.0,9,0.1378640573564693,31863.11111111111,KERN,06029
2013,KINGS,7624.0,101427.0,2,0.075167361747858,50713.5,KINGS,06031
2013,LAKE,2479.0,34458.0,2,0.0719426548261651,17229.0,LAKE,06033
2013,LASSEN,815.0,9416.0,1,0.086554800339847,9416.0,LASSEN,06035
2013,LOS ANGELES,524728.0,2688195.0,77,0.1951971490163474,34911.62337662338,LOS ANGELES,06037
2013,MADERA,9715.0,121704.0,2,0.0798248208768816,60852.0,MADERA,06039
2013,MARIN,10315.0,67042.0,3,0.1538587750962083,22347.333333333332,MARIN,06041
2013,MARIPOSA,128.0,4919.0,1,0.0260215490953445,4919.0,MARIPOSA,06043
2013,MENDOCINO,3891.0,39025.0,3,0.0997053171044202,13008.333333333334,MENDOCINO,06045
2013,MERCED,6636.0,82662.0,2,0.0802787254119184,41331.0,MERCED,06047
2013,MODOC,188.0,4146.0,2,0.0453449107573564,2073.0,MODOC,06049
2013,MONO,407.0,7809.0,1,0.0521193494685619,7809.0,MONO,06051
2013,MONTEREY,17638.0,133477.0,4,0.1321426163309034,33369.25,MONTEREY,06053
2013,NAPA,5656.0,31783.0,2,0.1779567693421011,15891.5,NAPA,06055
2013,NEVADA,4781.0,36578.0,2,0.1307069823391109,18289.0,NEVADA,06057
2013,ORANGE,141828.0,719430.0,25,0.1971394020266044,28777.2,ORANGE,06059
2013,PLACER,23106.0,156932.0,3,0.1472357454183978,52310.666666666664,PLACER,06061
2013,PLUMAS,628.0,8819.0,3,0.0712098877423744,2939.6666666666665,PLUMAS,06063
2013,RIVERSIDE,102554.0,629511.0,16,0.1629105766221718,39344.4375,RIVERSIDE,06065
2013,SACRAMENTO,74245.0,444491.0,10,0.1670337532143508,44449.1,SACRAMENTO,06067
2013,SAN BENITO,1470.0,14575.0,1,0.1008576329331046,14575.0,SAN BENITO,06069
2013,SAN BERNARDINO,114398.0,702340.0,17,0.1628812256172224,41314.117647058825,SAN BERNARDINO,06071
2013,SAN DIEGO,151838.0,757919.0,18,0.2003353920405742,42106.61111111111,SAN DIEGO,06073
2013,SAN FRANCISCO,43954.0,215399.0,9,0.2040585146634849,23933.222222222223,SAN FRANCISCO,06075
2013,SAN JOAQUIN,31880.0,256605.0,7,0.1242376415112721,36657.857142857145,SAN JOAQUIN,06077
2013,SAN LUIS OBISPO,9711.0,71728.0,4,0.1353864599598483,17932.0,SAN LUIS OBISPO,06079
2013,SAN MATEO,25671.0,171524.0,7,0.149664186935939,24503.428571428572,SAN MATEO,06081
2013,SANTA BARBARA,16387.0,130600.0,5,0.1254747320061255,26120.0,SANTA BARBARA,06083
2013,SANTA CLARA,73857.0,442205.0,9,0.167019821123687,49133.88888888889,SANTA CLARA,06085
2013,SANTA CRUZ,9903.0,60815.0,3,0.1628381155964811,20271.666666666668,SANTA CRUZ,06087
2013,SHASTA,13093.0,79399.0,3,0.1649013211753296,26466.333333333332,SHASTA,06089
2013,SISKIYOU,1887.0,19092.0,2,0.0988372093023255,9546.0,SISKIYOU,06093
2013,SOLANO,17458.0,163991.0,4,0.1064570616680183,40997.75,SOLANO,06095
2013,SONOMA,17992.0,131815.0,7,0.1364943291734628,18830.714285714286,SONOMA,06097
2013,STANISLAUS,31440.0,205287.0,4,0.1531514416402402,51321.75,STANISLAUS,06099
2013,TEHAMA,1763.0,27384.0,1,0.0643806602395559,27384.0,TEHAMA,06103
2013,TRINITY,359.0,4056.0,1,0.0885108481262327,4056.0,TRINITY,06105
2013,TULARE,17948.0,133446.0,3,0.1344963505837567,44482.0,TULARE,06107
2013,TUOLUMNE,3469.0,23653.0,1,0.1466621570202511,23653.0,TUOLUMNE,06109
2013,VENTURA,32350.0,207955.0,7,0.1555625015027289,29707.85714285714,VENTURA,06111
2013,YOLO,3385.0,41134.0,2,0.0822920211990081,20567.0,YOLO,06113
2013,YUBA,8576.0,45093.0,1,0.1901847293371476,45093.0,YUBA,06115
2014,ALAMEDA,70674.0,525820.0,16,0.1344072115933209,32863.75,ALAMEDA,06001
2014,AMADOR,1826.0,18813.0,1,0.0970605432413756,18813.0,AMADOR,06005
2014,BUTTE,23846.0,88953.0,4,0.2680741515182175,22238.25,BUTTE,06007
2014,CALAVERAS,1019.0,9744.0,1,0.1045771756978653,9744.0,CALAVERAS,06009
2014,COLUSA,497.0,6489.0,1,0.0765911542610571,6489.0,COLUSA,06011
2014,CONTRA COSTA,46861.0,317168.0,8,0.1477481965393734,39646.0,CONTRA COSTA,06013
2014,DEL NORTE,1719.0,17871.0,1,0.0961893570589222,17871.0,DEL NORTE,06015
2014,EL DORADO,5036.0,41326.0,2,0.1218603300585587,20663.0,EL DORADO,06017
2014,FRESNO,45465.0,253959.0,6,0.1790249607220063,42326.5,FRESNO,06019
2014,GLENN,228.0,4895.0,1,0.0465781409601634,4895.0,GLENN,06021
2014,HUMBOLDT,6870.0,55033.0,4,0.124834190394854,13758.25,HUMBOLDT,06023
2014,IMPERIAL,5655.0,87515.0,2,0.064617494143861,43757.5,IMPERIAL,06025
2014,INYO,549.0,8869.0,2,0.0619010034953207,4434.5,INYO,06027
2014,KERN,39600.0,304854.0,9,0.1298982463736739,33872.666666666664,KERN,06029
2014,KINGS,7172.0,106237.0,1,0.0675094364486948,106237.0,KINGS,06031
2014,LAKE,2048.0,36077.0,2,0.0567674695789561,18038.5,LAKE,06033
2014,LASSEN,863.0,9770.0,1,0.0883316274309109,9770.0,LASSEN,06035
2014,LOS ANGELES,524807.0,2827486.0,75,0.185609053413527,37699.81333333333,LOS ANGELES,06037
2014,MADERA,10294.0,130627.0,2,0.078804535050181,65313.5,MADERA,06039
2014,MARIN,9094.0,66027.0,3,0.1377315340693958,22009.0,MARIN,06041
2014,MARIPOSA,153.0,5412.0,1,0.028270509977827,5412.0,MARIPOSA,06043
2014,MENDOCINO,3752.0,39099.0,3,0.0959615335430573,13033.0,MENDOCINO,06045
2014,MERCED,6519.0,89719.0,2,0.0726601946076082,44859.5,MERCED,06047
2014,MODOC,144.0,4169.0,2,0.0345406572319501,2084.5,MODOC,06049
2014,MONO,287.0,7457.0,1,0.0384873273434357,7457.0,MONO,06051
2014,MONTEREY,16716.0,143595.0,4,0.1164107385354643,35898.75,MONTEREY,06053
2014,NAPA,5119.0,32154.0,2,0.159202587547428,16077.0,NAPA,06055
2014,NEVADA,4785.0,38509.0,2,0.1242566672725856,19254.5,NEVADA,06057
