county,year,medi_cal_enrollment,ffs_avg,ffs_share,dual_avg,dual_share,county_upper,fips5
Del Norte,2011,4118.375,8225.416666666666,1.997248105543246,1442.75,0.3503202112483686,DEL NORTE,06015
Del Norte,2012,4036.0833333333335,8053.083333333333,1.9952718188012304,1443.8333333333333,0.35773129890776945,DEL NORTE,06015
Del Norte,2013,3441.6071428571427,5491.083333333333,1.5954997492173852,1435.0,0.41695636382504025,DEL NORTE,06015
Del Norte,2014,3498.222222222222,901.75,0.25777378986151694,1461.0,0.41764070639054757,DEL NORTE,06015
Del Norte,2015,3819.4166666666665,721.8333333333334,0.1889904653852028,1536.8333333333333,0.40237383544607597,DEL NORTE,06015
Del Norte,2016,4002.5555555555557,693.1666666666666,0.1731810232351553,1566.5833333333333,0.39139577492157784,DEL NORTE,06015
Del Norte,2017,4011.6111111111113,670.1666666666666,0.16705673807974072,1590.1666666666667,0.39639103158886013,DEL NORTE,06015
Del Norte,2018,3979.1111111111113,583.9166666666666,0.14674550430023453,1600.4166666666667,0.4022045683011281,DEL NORTE,06015
Del Norte,2019,3889.6944444444443,578.0833333333334,0.14861921459126326,1630.0833333333333,0.4190774768083754,DEL NORTE,06015
Del Norte,2020,3935.0555555555557,540.75,0.13741864437887366,1658.6666666666667,0.42151035563524447,DEL NORTE,06015
Del Norte,2021,4170.638888888889,544.0,0.13043565134571708,1781.75,0.4272127238699107,DEL NORTE,06015
Del Norte,2022,4314.0,551.5,0.12783959202596198,1861.9166666666667,0.43159867099366406,DEL NORTE,06015
Del Norte,2023,4428.527777777777,544.5833333333334,0.12297164219360587,1954.6666666666667,0.44138069461258134,DEL NORTE,06015
Del Norte,2024,4281.361111111111,469.0833333333333,0.10956406646380629,1998.0833333333333,0.4666934840296115,DEL NORTE,06015
Del Norte,2025,4233.222222222223,377.6666666666667,0.08921494002467256,2061.1666666666665,0.48690254337384176,DEL NORTE,06015
El Dorado,2010,9241.583333333334,18393.833333333332,1.9903335467407277,3251.3333333333335,0.35181561601096495,EL DORADO,06017
El Dorado,2011,9609.791666666666,19109.75,1.9885706852819391,3305.9166666666665,0.34401543564506687,EL DORADO,06017
El Dorado,2012,9571.583333333334,19026.666666666668,1.9878285550109265,3399.8333333333335,0.35520072436639705,EL DORADO,06017
El Dorado,2013,8085.0,18144.166666666668,2.244176458462173,3535.3333333333335,0.43727066584209445,EL DORADO,06017
El Dorado,2014,6479.083333333333,12934.583333333334,1.9963600818016953,3799.8333333333335,0.5864769964887009,EL DORADO,06017
El Dorado,2015,7502.133333333333,9749.166666666666,1.2995192478583868,4061.6666666666665,0.5414015568904845,EL DORADO,06017
El Dorado,2016,7760.183333333333,9008.333333333334,1.1608402722444273,4170.5,0.5374228701641499,EL DORADO,06017
El Dorado,2017,7778.466666666666,8549.833333333334,1.099166930928975,4250.0,0.5463801777556845,EL DORADO,06017
El Dorado,2018,7564.8,8328.333333333334,1.1009323886068811,4265.583333333333,0.5638725853073886,EL DORADO,06017
El Dorado,2019,7361.25,8149.5,1.107080998471727,4334.333333333333,0.5888039848304748,EL DORADO,06017
El Dorado,2020,7520.716666666666,8222.0,1.093246875851814,4470.0,0.5943582504326937,EL DORADO,06017
El Dorado,2021,8819.32142857143,8148.333333333333,0.9239183988618063,4943.333333333333,0.5605117551695883,EL DORADO,06017
El Dorado,2022,8719.033333333333,7710.0,0.8842723390589936,5270.333333333333,0.604463032981485,EL DORADO,06017
El Dorado,2023,10176.67924528302,4985.083333333333,0.4898536362580125,5661.916666666667,0.5563619064923379,EL DORADO,06017
El Dorado,2024,9520.962962962964,4258.75,0.44730244373040384,5816.583333333333,0.6109238483502291,EL DORADO,06017
El Dorado,2025,6913.263888888889,3401.5833333333335,0.4920372472401081,5940.333333333333,0.8592661048105996,EL DORADO,06017
Fresno,2010,76683.66666666667,103877.58333333333,1.354624626713207,31759.166666666668,0.41415816492864627,FRESNO,06019
Fresno,2011,81724.39130434782,97362.75,1.1913548506885019,32825.583333333336,0.40166201068526014,FRESNO,06019
Fresno,2012,79295.25,86307.25,1.0884290042593976,33430.25,0.4215920877984495,FRESNO,06019
Fresno,2013,83456.3125,85150.91666666667,1.020305284476434,34076.333333333336,0.4083134314535325,FRESNO,06019
Fresno,2014,94214.50943396226,112873.33333333333,1.1980461821801407,35838.75,0.38039523015423055,FRESNO,06019
Fresno,2015,93739.16666666667,100741.0,1.0746948536275303,37656.833333333336,0.40171930978690873,FRESNO,06019
Fresno,2016,98642.2,87431.41666666667,0.8863490135729604,39324.416666666664,0.39865713322154883,FRESNO,06019
Fresno,2017,98700.71666666666,80032.75,0.8108629066016576,40270.833333333336,0.4080095331965675,FRESNO,06019
Fresno,2018,97054.48333333334,78538.0,0.8092155797714308,40956.0,0.42198977928033204,FRESNO,06019
Fresno,2019,94860.08333333333,75992.91666666667,0.8011053121219762,41469.0,0.43715964126112056,FRESNO,06019
Fresno,2020,98801.91379310345,74608.25,0.7551296036252264,42018.083333333336,0.4252760065085528,FRESNO,06019
Fresno,2021,85528.70833333333,76324.25,0.892381651579952,43785.333333333336,0.5119372686266649,FRESNO,06019
Fresno,2022,90274.83333333333,72848.08333333333,0.8069589346606382,45656.333333333336,0.5057481874793456,FRESNO,06019
Fresno,2023,92681.29166666667,46744.0,0.5043520559480046,47540.583333333336,0.5129469224955954,FRESNO,06019
Fresno,2024,73893.77528089887,36311.083333333336,0.4913956986945225,48879.5,0.6614833227046538,FRESNO,06019
Fresno,2025,66610.64583333333,27005.916666666668,0.4054294374241355,50680.25,0.7608430959640774,FRESNO,06019
Glenn,2010,3588.9583333333335,7165.083333333333,1.996424217797643,1045.6666666666667,0.2913565913972253,GLENN,06021
Glenn,2011,3588.5833333333335,7158.416666666667,1.9947750969509788,1074.9166666666667,0.29953788635255324,GLENN,06021
Glenn,2012,3601.0,7176.416666666667,1.992895491992965,1072.8333333333333,0.297926501897621,GLENN,06021
Glenn,2013,3358.6785714285716,6940.333333333333,2.0663880707052447,1112.0833333333333,0.33110740122426263,GLENN,06021
Glenn,2014,2621.25,3879.0833333333335,1.4798601176283581,1172.5833333333333,0.4473374662215864,GLENN,06021
Glenn,2015,2927.0208333333335,3004.0,1.0262994939393724,1250.9166666666667,0.4273685559122259,GLENN,06021
Glenn,2016,3068.3333333333335,2794.5,0.9107550244432373,1313.5833333333333,0.42810972297664307,GLENN,06021
Glenn,2017,3126.5416666666665,2745.75,0.8782067513360076,1347.4166666666667,0.4309607260418194,GLENN,06021
Glenn,2018,3102.3541666666665,2606.75,0.8402490044522641,1364.75,0.4399078656665301,GLENN,06021
Glenn,2019,3107.2291666666665,2655.9166666666665,0.8547540346101498,1435.5833333333333,0.4620139862015327,GLENN,06021
Glenn,2020,3167.3125,2542.5,0.802731021962626,1493.6666666666667,0.47158803138833527,GLENN,06021
Glenn,2021,3399.3541666666665,2567.9166666666665,0.7554130993019508,1596.1666666666667,0.46954997579197033,GLENN,06021
Glenn,2022,3585.7083333333335,2511.25,0.700349768176906,1634.4166666666667,0.4558141696782365,GLENN,06021
Glenn,2023,3682.25,1633.5833333333333,0.4436372688799873,1709.0833333333333,0.46414103695657094,GLENN,06021
Glenn,2024,5871.5,551.0833333333334,0.09385733344687616,2632.0,0.4482670527122541,GLENN,06021
Glenn,2025,4613.222222222223,407.0,0.08822466822418651,1834.75,0.3977155037452732,GLENN,06021
Humboldt,2010,13615.083333333334,27177.916666666668,1.996162344458658,5200.75,0.3819844412753013,HUMBOLDT,06023
Humboldt,2011,13670.083333333334,27252.166666666668,1.9935625849635152,5298.333333333333,0.3875860303216878,HUMBOLDT,06023
Humboldt,2012,13594.083333333334,27072.75,1.9915097867331988,5353.166666666667,0.39378651251463564,HUMBOLDT,06023
Humboldt,2013,12304.892857142857,19678.916666666668,1.5992757430019613,5394.666666666667,0.4384163868225087,HUMBOLDT,06023
Humboldt,2014,14307.5,5634.416666666667,0.39380860853864524,5640.083333333333,0.39420467120973846,HUMBOLDT,06023
Humboldt,2015,12597.333333333334,3605.3333333333335,0.28619813717188824,5881.5,0.46688452582557155,HUMBOLDT,06023
Humboldt,2016,13660.041666666666,3291.0833333333335,0.24092776681379086,6053.916666666667,0.443184348510406,HUMBOLDT,06023
