fips5,year,ed_visits,ed_admissions,ed_total,ed_admit_rate,county_name_clean
06043,2013,4919.0,128.0,5047.0,0.02602154909534458,MARIPOSA
06045,2013,39025.0,3891.0,42916.0,0.09970531710442024,MENDOCINO
06047,2013,82662.0,6636.0,89298.0,0.08027872541191841,MERCED
06049,2013,4146.0,188.0,4334.0,0.045344910757356485,MODOC
06051,2013,7809.0,407.0,8216.0,0.052119349468561914,MONO
06053,2013,133477.0,17638.0,151115.0,0.13214261633090346,MONTEREY
06055,2013,31783.0,5656.0,37439.0,0.1779567693421011,NAPA
06057,2013,36578.0,4781.0,41359.0,0.13070698233911093,NEVADA
06059,2013,719430.0,141828.0,861258.0,0.1971394020266044,ORANGE
06061,2013,156932.0,23106.0,180038.0,0.1472357454183978,PLACER
06063,2013,8819.0,628.0,9447.0,0.07120988774237443,PLUMAS
06065,2013,629511.0,102554.0,732065.0,0.16291057662217182,RIVERSIDE
06067,2013,444491.0,74245.0,518736.0,0.1670337532143508,SACRAMENTO
06069,2013,14575.0,1470.0,16045.0,0.10085763293310464,SAN BENITO
06071,2013,702340.0,114398.0,816738.0,0.16288122561722243,SAN BERNARDINO
06073,2013,757919.0,151838.0,909757.0,0.20033539204057427,SAN DIEGO
06075,2013,215399.0,43954.0,259353.0,0.20405851466348499,SAN FRANCISCO
06077,2013,256605.0,31880.0,288485.0,0.12423764151127219,SAN JOAQUIN
06079,2013,71728.0,9711.0,81439.0,0.13538645995984833,SAN LUIS OBISPO
06081,2013,171524.0,25671.0,197195.0,0.149664186935939,SAN MATEO
06083,2013,130600.0,16387.0,146987.0,0.12547473200612558,SANTA BARBARA
06085,2013,442205.0,73857.0,516062.0,0.167019821123687,SANTA CLARA
06087,2013,60815.0,9903.0,70718.0,0.16283811559648112,SANTA CRUZ
06089,2013,79399.0,13093.0,92492.0,0.16490132117532966,SHASTA
06093,2013,19092.0,1887.0,20979.0,0.09883720930232558,SISKIYOU
06095,2013,163991.0,17458.0,181449.0,0.10645706166801837,SOLANO
06097,2013,131815.0,17992.0,149807.0,0.1364943291734628,SONOMA
06099,2013,205287.0,31440.0,236727.0,0.15315144164024025,STANISLAUS
06103,2013,27384.0,1763.0,29147.0,0.06438066023955595,TEHAMA
06105,2013,4056.0,359.0,4415.0,0.08851084812623274,TRINITY
06107,2013,133446.0,17948.0,151394.0,0.13449635058375672,TULARE
06109,2013,23653.0,3469.0,27122.0,0.14666215702025112,TUOLUMNE
06111,2013,207955.0,32350.0,240305.0,0.15556250150272896,VENTURA
06113,2013,41134.0,3385.0,44519.0,0.08229202119900812,YOLO
06115,2013,45093.0,8576.0,53669.0,0.19018472933714767,YUBA
06001,2014,525820.0,70674.0,596494.0,0.13440721159332092,ALAMEDA
06005,2014,18813.0,1826.0,20639.0,0.09706054324137564,AMADOR
06007,2014,88953.0,23846.0,112799.0,0.2680741515182175,BUTTE
06009,2014,9744.0,1019.0,10763.0,0.10457717569786536,CALAVERAS
06011,2014,6489.0,497.0,6986.0,0.07659115426105717,COLUSA
06013,2014,317168.0,46861.0,364029.0,0.14774819653937346,CONTRA COSTA
06015,2014,17871.0,1719.0,19590.0,0.09618935705892227,DEL NORTE
06017,2014,41326.0,5036.0,46362.0,0.12186033005855877,EL DORADO
06019,2014,253959.0,45465.0,299424.0,0.1790249607220063,FRESNO
06021,2014,4895.0,228.0,5123.0,0.04657814096016343,GLENN
06023,2014,55033.0,6870.0,61903.0,0.124834190394854,HUMBOLDT
06025,2014,87515.0,5655.0,93170.0,0.06461749414386105,IMPERIAL
06027,2014,8869.0,549.0,9418.0,0.06190100349532078,INYO
