fips5,year,pqi_mean_rate,pqi_sum_count,pqi_sum_population,population,medi_cal_enrollment,medi_cal_share,pcp_supply,pcp_per_100k,shortage_flag,shortage_score,age65_pct,hispanic_pct,bachelors_pct,poverty_pct,unemp_pct,high_medi_cal_q,low_pcp_q,high_medi_cal_thr,low_pcp_thr,desert_q_def1,desert_thr_def1,desert_q_def2,desert_thr_def2,operating_margin,cost_per_discharge,cost_per_patient_day,ed_per_discharge,medi_cal_rev_share,total_op_expense,n_hospitals,log_cost_per_discharge,log_ed_per_discharge,small_county
6001,2020,191.27857142857144,24615.0,1248021.357142857,1682353.0,410823.6666666667,0.2441958772425684,2311,138.96862151465976,1,7,14.9,2.1,51.5,9.2,5.2,False,False,False,False,0,0,0,0,-0.0785371515716702,176596.78964531585,5858.922855406479,18.24356858166593,0.3202115487306584,4386487658.0,17.0,12.081630050908979,2.9571769052563517,0
6005,2020,183.96428571428572,865.0,33660.230769230766,40474.0,5462.833333333333,0.1349714219828367,39,97.42449601558792,1,7,27.2,5.0,22.4,7.8,6.1,False,False,False,False,0,0,0,0,0.1480214402478041,164323.22872340426,10757.783052814855,35.101063829787236,0.200316012076511,92678301.0,1.0,12.009596759516041,3.586322333873809,1
6007,2020,347.5,8423.0,155719.57142857142,211632.0,72038.58333333333,0.3403955135959275,140,67.28127578114363,1,9,18.2,4.3,31.7,18.3,7.1,False,False,True,False,0,0,0,1,0.0034984168740507,41193.19314069372,4957.624628950877,3.751405823729191,0.1810925151427946,739870942.0,4.0,10.626052582217147,1.5584405371485293,0
6009,2020,200.70714285714288,1125.0,36944.15384615384,45292.0,11344.916666666666,0.2504838970826341,16,35.55687247675839,1,5,28.7,3.8,22.2,13.4,5.9,False,True,False,True,0,0,0,0,-0.050120038419592,,25873.35390652872,,0.2351787972934631,72523011.0,1.0,,,1
6011,2020,394.6,658.0,14832.07142857143,21839.0,7114.75,0.3257818581436879,6,27.372470897741017,1,8,15.3,3.2,14.5,10.8,8.4,False,True,True,True,0,1,0,1,0.0061608830255833,,2168.8648764309405,,0.467759478204003,20272380.0,1.0,,,1
6013,2020,221.0142857142857,19364.0,841770.4285714285,1165927.0,266229.1666666667,0.228341196890257,1553,134.05244215553682,1,7,16.7,2.6,44.9,8.3,5.9,False,False,False,False,0,0,0,0,0.0325289836801888,111584.54063165364,7938.155805550735,11.18359652235628,0.3358804744034757,2515561884.0,8.0,11.622546756302683,2.500090499676534,0
6015,2020,120.96428571428572,507.0,20287.428571428572,27743.0,8419.083333333334,0.3034669406096433,20,74.2353756310007,1,5,19.8,10.3,21.0,11.6,6.4,False,False,True,False,0,0,0,1,0.0781384694533468,174648.75894538607,11570.6164691204,26.07532956685499,0.2564453596001627,92738491.0,1.0,12.070537870018658,3.2986229651806536,1
6017,2020,206.44285714285715,3787.0,150144.61538461538,191185.0,35439.166666666664,0.1853658323961956,134,70.37753521065117,1,7,22.8,2.5,38.8,8.3,4.8,False,False,False,False,0,0,0,0,0.0891179252877352,568089.9121621621,9961.29413297948,53.935135135135134,0.2057313135168348,420386535.0,3.0,13.250036741519118,4.006153128059442,0
6019,2020,279.2642857142857,26403.0,674049.0714285715,1008654.0,476838.0833333333,0.4727469313890921,1113,109.28736390630156,1,10,12.7,3.1,23.9,18.7,8.5,True,False,True,False,0,0,1,1,0.0275638822683209,264450.9726172787,5015.291627416407,28.7841222670346,0.376300774714937,2491657064.0,8.0,12.485414935786702,3.393975441686708,0
6021,2020,325.40000000000003,920.0,20557.92307692308,28917.0,9130.0,0.3157312307639105,9,31.15192911205464,1,8,16.8,3.8,16.5,12.4,7.4,False,True,True,True,0,1,0,1,0.1223801725685116,,3459.5875834635603,,0.1436987792916043,24352037.0,1.0,,,1
