fips5,year,population
06035,2024,27912.0
06037,2024,9848643.0
06039,2024,161854.0
06041,2024,254743.0
06043,2024,16958.0
06045,2024,89802.0
06047,2024,291752.0
06049,2024,8509.0
06051,2024,12888.0
06053,2024,436613.0
06055,2024,135415.0
06057,2024,100903.0
06059,2024,3170070.0
06061,2024,420436.0
06063,2024,18802.0
06065,2024,2491037.0
06067,2024,1596281.0
06069,2024,66514.0
06071,2024,2200351.0
06073,2024,3315362.0
06075,2024,845355.0
06077,2024,802328.0
06079,2024,279568.0
06081,2024,747777.0
06083,2024,444518.0
06085,2024,1921406.0
06087,2024,263454.0
06089,2024,180599.0
06091,2024,3177.0
06093,2024,43430.0
06095,2024,449966.0
06097,2024,482050.0
06099,2024,553614.0
06101,2024,99431.0
06103,2024,64867.0
06105,2024,15905.0
06107,2024,483683.0
06109,2024,54376.0
06111,2024,828183.0
06113,2024,224088.0
06115,2024,84667.0
06001,2025,1662482.0
06003,2025,1177.0
06005,2025,39563.0
06007,2025,207525.0
06009,2025,44722.0
06011,2025,22026.0
06013,2025,1158225.0
06015,2025,26544.0
06017,2025,190770.0
06019,2025,1037053.0
06021,2025,29369.0
06023,2025,133817.0
06025,2025,186499.0
06027,2025,18800.0
06029,2025,923961.0
06031,2025,154015.0
06033,2025,67254.0
06035,2025,28716.0
06037,2025,9876811.0
06039,2025,162599.0
06041,2025,254550.0
06043,2025,16917.0
06045,2025,89827.0
06047,2025,293080.0
06049,2025,8491.0
06051,2025,12684.0
06053,2025,438831.0
06055,2025,136124.0
06057,2025,100354.0
06059,2025,3175427.0
06061,2025,421446.0
06063,2025,18885.0
06065,2025,2495640.0
06067,2025,1604745.0
06069,2025,66822.0
06071,2025,2207424.0
06073,2025,3330139.0
06075,2025,842027.0
06077,2025,805856.0
06079,2025,279337.0
06081,2025,748337.0
06083,2025,447132.0
06085,2025,1922259.0
06087,2025,263710.0
06089,2025,180201.0
06091,2025,3170.0
06093,2025,43311.0
06095,2025,449839.0
06097,2025,482848.0
06099,2025,555765.0
06101,2025,100257.0
06103,2025,64827.0
06105,2025,15884.0
06107,2025,487209.0
06109,2025,54357.0
06111,2025,829005.0
06113,2025,225433.0
06115,2025,85023.0
