fips5,county_name,county_type,cost_per_patient_day,operating_margin,medi_cal_rev_share,pqi_mean_rate,is_desert
06051,MONO,Underserved,65163.569198012774,0.0298178874504681,0.1355971864615511,95.8,False
06009,CALAVERAS,TRUE DESERT,23819.27862829149,-0.0902310091795139,0.1421361746178125,204.42142857142855,True
06093,SISKIYOU,Adequate,22303.004670999188,0.0047027480093125,0.2460914532200181,145.5285714285714,False
06033,LAKE,TRUE DESERT,22185.399781369564,-0.009268749932176,0.3497929330843961,186.2642857142857,True
06045,MENDOCINO,Adequate,15920.668606877536,-0.0429951358292132,0.3060298956449335,157.87857142857143,False
06035,LASSEN,TRUE DESERT,15213.19499841722,-0.0965592667122812,0.1565473148471265,170.0,True
06057,NEVADA,Adequate,13278.187137059009,0.028129500131929,0.147077433455439,173.20714285714286,False
06041,MARIN,Well-Served,12293.003035174765,-0.0136886306299723,0.1063487134338062,146.0,False
06085,SANTA CLARA,Well-Served,12205.2640454528,0.0356319282187152,0.2640219700718961,252.6357142857143,False
06037,LOS ANGELES,Well-Served,11920.741939136082,0.0095085572293729,0.2040997182433645,237.52142857142857,False
06017,EL DORADO,Underserved,11281.864706841528,-0.0292531450365824,0.1652197085440967,214.3642857142857,False
06095,SOLANO,Underserved,11109.313229000094,0.0033677703636079,0.2297451796237863,224.97857142857143,False
06113,YOLO,Adequate,11091.69628566192,0.0662385830827995,0.1915818988268383,146.95714285714286,False
06013,CONTRA COSTA,Well-Served,10776.556043417271,0.0049595696462752,0.2422161027508148,246.3142857142857,False
06015,DEL NORTE,Adequate,10571.45018941333,0.0469769763086936,0.2434587030141301,135.77857142857144,False
06039,MADERA,Adequate,10044.388425074289,0.2430343042641002,0.7298299855153063,235.62142857142857,False
06005,AMADOR,Adequate,10018.562896947347,0.1049954126549665,0.2020751395729692,201.33571428571423,False
06027,INYO,TRUE DESERT,9910.512800740284,-0.151347296716336,0.1502583230207062,119.42142857142858,True
06061,PLACER,Well-Served,9705.399487669694,0.1174928379215138,0.109361539996134,204.17857142857144,False
06053,MONTEREY,Underserved,9589.883798083798,0.1193288846506354,0.2299719868060038,252.05714285714288,False
06075,SAN FRANCISCO,Well-Served,9471.34029294977,-0.0627800506967894,0.1872930618905096,194.15714285714284,False
06067,SACRAMENTO,Well-Served,9268.51851181483,0.0076541708634958,0.2263803541635617,231.85,False
06109,TUOLUMNE,Adequate,9105.295706371193,-0.0706550121548281,0.2089428290343152,187.75,False
06103,TEHAMA,Adequate,9068.870204852052,0.0527533079356557,0.2400134055637218,225.27857142857144,False
06001,ALAMEDA,Well-Served,8998.474457193199,-0.026981603756163,0.2589798954895313,211.12857142857143,False
06087,SANTA CRUZ,Well-Served,8985.77259181701,0.0330093937605082,0.1904818691189372,151.82857142857142,False
06077,SAN JOAQUIN,Underserved,8825.555840357674,0.0632877841141824,0.1453306337556598,242.9,False
06097,SONOMA,Well-Served,8711.633279013524,0.0135967857719461,0.1937512190969683,209.48571428571427,False
06023,HUMBOLDT,Adequate,8646.997223633593,-0.1246669196127673,0.2676062367258968,170.7214285714286,False
06115,YUBA,TRUE DESERT,8532.334385256248,-0.0560346188572585,0.2259559782931619,343.12857142857143,True
06059,ORANGE,Well-Served,7939.782020003768,0.0421572738447597,0.2060202035273756,180.9928571428571,False
06031,KINGS,Underserved,7900.594976060269,0.0677860485068195,0.4904535191502978,255.05,False
06047,MERCED,TRUE DESERT,7700.65345467397,0.0859571051466016,0.3452982751641633,303.40714285714284,True
06081,SAN MATEO,Underserved,7661.40024519037,0.0143168971867677,0.2194674637330604,190.34285714285716,False
06025,IMPERIAL,TRUE DESERT,7546.740404244341,-0.1108435220381409,0.4615169114397237,165.35714285714286,True
06073,SAN DIEGO,Well-Served,7416.82429333768,0.0504137111376666,0.2386163151648119,239.7357142857143,False
06083,SANTA BARBARA,Underserved,7305.209314400808,0.0187040405074679,0.2038900938994258,158.54999999999998,False
06071,SAN BERNARDINO,Underserved,6791.141286370992,-0.0065158346709807,0.3658185643241569,254.22857142857143,False
06029,KERN,TRUE DESERT,6611.117807553738,-0.0294613125142552,0.384799622638921,201.52142857142857,True
06111,VENTURA,Underserved,6400.405260922502,-0.0060980515095596,0.2764991497273471,232.2357142857143,False
06019,FRESNO,Adequate,6294.91375722787,0.0091033234728117,0.3199157703168378,310.15000000000003,False
06065,RIVERSIDE,Underserved,6256.962919231387,0.0145297538299404,0.261676548973567,251.59285714285716,False
06089,SHASTA,Adequate,5905.865478183021,0.0192352743044712,0.2214827468923446,223.32857142857145,False
06007,BUTTE,Adequate,5478.984937576945,0.0104801150317917,0.2275133651793366,345.04285714285714,False
06099,STANISLAUS,TRUE DESERT,5467.765864585463,0.0948382841038833,0.292838096618853,311.0214285714286,True
06107,TULARE,TRUE DESERT,4665.2541669801085,-0.084838004414645,0.3346703103886463,257.3285714285714,True
06101,SUTTER,Underserved,4426.359862099318,-0.0209765888858878,0.0362455474682607,345.3285714285715,False
06011,COLUSA,Underserved,4279.225371806279,-0.2629192500214771,0.307436156663572,302.37857142857143,False
06043,MARIPOSA,TRUE DESERT,3970.8634017207146,-0.4029865969784685,0.2813887220795237,185.20714285714288,True
06021,GLENN,TRUE DESERT,3945.615059912854,0.0055318553233785,0.1237899348000861,341.34285714285716,True
06105,TRINITY,TRUE DESERT,3470.617533185841,0.0482963106992255,0.4289523175829091,86.97142857142856,True
06049,MODOC,Adequate,2340.760935910478,-0.1505188201137028,0.5126509396101199,112.32142857142856,False
