"GEO_ID","NAME","DP05_0001E","DP05_0001M","DP05_0001PE","DP05_0001PM","DP05_0002E","DP05_0002M","DP05_0002PE","DP05_0002PM","DP05_0003E","DP05_0003M","DP05_0003PE","DP05_0003PM","DP05_0004E","DP05_0004M","DP05_0004PE","DP05_0004PM","DP05_0005E","DP05_0005M","DP05_0005PE","DP05_0005PM","DP05_0006E","DP05_0006M","DP05_0006PE","DP05_0006PM","DP05_0007E","DP05_0007M","DP05_0007PE","DP05_0007PM","DP05_0008E","DP05_0008M","DP05_0008PE","DP05_0008PM","DP05_0009E","DP05_0009M","DP05_0009PE","DP05_0009PM","DP05_0010E","DP05_0010M","DP05_0010PE","DP05_0010PM","DP05_0011E","DP05_0011M","DP05_0011PE","DP05_0011PM","DP05_0012E","DP05_0012M","DP05_0012PE","DP05_0012PM","DP05_0013E","DP05_0013M","DP05_0013PE","DP05_0013PM","DP05_0014E","DP05_0014M","DP05_0014PE","DP05_0014PM","DP05_0015E","DP05_0015M","DP05_0015PE","DP05_0015PM","DP05_0016E","DP05_0016M","DP05_0016PE","DP05_0016PM","DP05_0017E","DP05_0017M","DP05_0017PE","DP05_0017PM","DP05_0018E","DP05_0018M","DP05_0018PE","DP05_0018PM","DP05_0019E","DP05_0019M","DP05_0019PE","DP05_0019PM","DP05_0020E","DP05_0020M","DP05_0020PE","DP05_0020PM","DP05_0021E","DP05_0021M","DP05_0021PE","DP05_0021PM","DP05_0022E","DP05_0022M","DP05_0022PE","DP05_0022PM","DP05_0023E","DP05_0023M","DP05_0023PE","DP05_0023PM","DP05_0024E","DP05_0024M","DP05_0024PE","DP05_0024PM","DP05_0025E","DP05_0025M","DP05_0025PE","DP05_0025PM","DP05_0026E","DP05_0026M","DP05_0026PE","DP05_0026PM","DP05_0027E","DP05_0027M","DP05_0027PE","DP05_0027PM","DP05_0028E","DP05_0028M","DP05_0028PE","DP05_0028PM","DP05_0029E","DP05_0029M","DP05_0029PE","DP05_0029PM","DP05_0030E","DP05_0030M","DP05_0030PE","DP05_0030PM","DP05_0031E","DP05_0031M","DP05_0031PE","DP05_0031PM","DP05_0032E","DP05_0032M","DP05_0032PE","DP05_0032PM","DP05_0033E","DP05_0033M","DP05_0033PE","DP05_0033PM","DP05_0034E","DP05_0034M","DP05_0034PE","DP05_0034PM","DP05_0035E","DP05_0035M","DP05_0035PE","DP05_0035PM","DP05_0036E","DP05_0036M","DP05_0036PE","DP05_0036PM","DP05_0037E","DP05_0037M","DP05_0037PE","DP05_0037PM","DP05_0038E","DP05_0038M","DP05_0038PE","DP05_0038PM","DP05_0039E","DP05_0039M","DP05_0039PE","DP05_0039PM","DP05_0040E","DP05_0040M","DP05_0040PE","DP05_0040PM","DP05_0041E","DP05_0041M","DP05_0041PE","DP05_0041PM","DP05_0042E","DP05_0042M","DP05_0042PE","DP05_0042PM","DP05_0043E","DP05_0043M","DP05_0043PE","DP05_0043PM","DP05_0044E","DP05_0044M","DP05_0044PE","DP05_0044PM","DP05_0045E","DP05_0045M","DP05_0045PE","DP05_0045PM","DP05_0046E","DP05_0046M","DP05_0046PE","DP05_0046PM","DP05_0047E","DP05_0047M","DP05_0047PE","DP05_0047PM","DP05_0048E","DP05_0048M","DP05_0048PE","DP05_0048PM","DP05_0049E","DP05_0049M","DP05_0049PE","DP05_0049PM","DP05_0050E","DP05_0050M","DP05_0050PE","DP05_0050PM","DP05_0051E","DP05_0051M","DP05_0051PE","DP05_0051PM","DP05_0052E","DP05_0052M","DP05_0052PE","DP05_0052PM","DP05_0053E","DP05_0053M","DP05_0053PE","DP05_0053PM","DP05_0054E","DP05_0054M","DP05_0054PE","DP05_0054PM","DP05_0055E","DP05_0055M","DP05_0055PE","DP05_0055PM","DP05_0056E","DP05_0056M","DP05_0056PE","DP05_0056PM","DP05_0057E","DP05_0057M","DP05_0057PE","DP05_0057PM","DP05_0058E","DP05_0058M","DP05_0058PE","DP05_0058PM","DP05_0059E","DP05_0059M","DP05_0059PE","DP05_0059PM","DP05_0060E","DP05_0060M","DP05_0060PE","DP05_0060PM","DP05_0061E","DP05_0061M","DP05_0061PE","DP05_0061PM","DP05_0062E","DP05_0062M","DP05_0062PE","DP05_0062PM","DP05_0063E","DP05_0063M","DP05_0063PE","DP05_0063PM","DP05_0064E","DP05_0064M","DP05_0064PE","DP05_0064PM","DP05_0065E","DP05_0065M","DP05_0065PE","DP05_0065PM","DP05_0066E","DP05_0066M","DP05_0066PE","DP05_0066PM","DP05_0067E","DP05_0067M","DP05_0067PE","DP05_0067PM","DP05_0068E","DP05_0068M","DP05_0068PE","DP05_0068PM","DP05_0069E","DP05_0069M","DP05_0069PE","DP05_0069PM","DP05_0070E","DP05_0070M","DP05_0070PE","DP05_0070PM","DP05_0071E","DP05_0071M","DP05_0071PE","DP05_0071PM","DP05_0072E","DP05_0072M","DP05_0072PE","DP05_0072PM","DP05_0073E","DP05_0073M","DP05_0073PE","DP05_0073PM","DP05_0074E","DP05_0074M","DP05_0074PE","DP05_0074PM","DP05_0075E","DP05_0075M","DP05_0075PE","DP05_0075PM","DP05_0076E","DP05_0076M","DP05_0076PE","DP05_0076PM","DP05_0077E","DP05_0077M","DP05_0077PE","DP05_0077PM","DP05_0078E","DP05_0078M","DP05_0078PE","DP05_0078PM","DP05_0079E","DP05_0079M","DP05_0079PE","DP05_0079PM","DP05_0080E","DP05_0080M","DP05_0080PE","DP05_0080PM","DP05_0081E","DP05_0081M","DP05_0081PE","DP05_0081PM",
"Geography","Geographic Area Name","Estimate!!SEX AND AGE!!Total population","Margin of Error!!SEX AND AGE!!Total population","Percent!!SEX AND AGE!!Total population","Percent Margin of Error!!SEX AND AGE!!Total population","Estimate!!SEX AND AGE!!Male","Margin of Error!!SEX AND AGE!!Male","Percent!!SEX AND AGE!!Male","Percent Margin of Error!!SEX AND AGE!!Male","Estimate!!SEX AND AGE!!Female","Margin of Error!!SEX AND AGE!!Female","Percent!!SEX AND AGE!!Female","Percent Margin of Error!!SEX AND AGE!!Female","Estimate!!SEX AND AGE!!Under 5 years","Margin of Error!!SEX AND AGE!!Under 5 years","Percent!!SEX AND AGE!!Under 5 years","Percent Margin of Error!!SEX AND AGE!!Under 5 years","Estimate!!SEX AND AGE!!5 to 9 years","Margin of Error!!SEX AND AGE!!5 to 9 years","Percent!!SEX AND AGE!!5 to 9 years","Percent Margin of Error!!SEX AND AGE!!5 to 9 years","Estimate!!SEX AND AGE!!10 to 14 years","Margin of Error!!SEX AND AGE!!10 to 14 years","Percent!!SEX AND AGE!!10 to 14 years","Percent Margin of Error!!SEX AND AGE!!10 to 14 years","Estimate!!SEX AND AGE!!15 to 19 years","Margin of Error!!SEX AND AGE!!15 to 19 years","Percent!!SEX AND AGE!!15 to 19 years","Percent Margin of Error!!SEX AND AGE!!15 to 19 years","Estimate!!SEX AND AGE!!20 to 24 years","Margin of Error!!SEX AND AGE!!20 to 24 years","Percent!!SEX AND AGE!!20 to 24 years","Percent Margin of Error!!SEX AND AGE!!20 to 24 years","Estimate!!SEX AND AGE!!25 to 34 years","Margin of Error!!SEX AND AGE!!25 to 34 years","Percent!!SEX AND AGE!!25 to 34 years","Percent Margin of Error!!SEX AND AGE!!25 to 34 years","Estimate!!SEX AND AGE!!35 to 44 years","Margin of Error!!SEX AND AGE!!35 to 44 years","Percent!!SEX AND AGE!!35 to 44 years","Percent Margin of Error!!SEX AND AGE!!35 to 44 years","Estimate!!SEX AND AGE!!45 to 54 years","Margin of Error!!SEX AND AGE!!45 to 54 years","Percent!!SEX AND AGE!!45 to 54 years","Percent Margin of Error!!SEX AND AGE!!45 to 54 years","Estimate!!SEX AND AGE!!55 to 59 years","Margin of Error!!SEX AND AGE!!55 to 59 years","Percent!!SEX AND AGE!!55 to 59 years","Percent Margin of Error!!SEX AND AGE!!55 to 59 years","Estimate!!SEX AND AGE!!60 to 64 years","Margin of Error!!SEX AND AGE!!60 to 64 years","Percent!!SEX AND AGE!!60 to 64 years","Percent Margin of Error!!SEX AND AGE!!60 to 64 years","Estimate!!SEX AND AGE!!65 to 74 years","Margin of Error!!SEX AND AGE!!65 to 74 years","Percent!!SEX AND AGE!!65 to 74 years","Percent Margin of Error!!SEX AND AGE!!65 to 74 years","Estimate!!SEX AND AGE!!75 to 84 years","Margin of Error!!SEX AND AGE!!75 to 84 years","Percent!!SEX AND AGE!!75 to 84 years","Percent Margin of Error!!SEX AND AGE!!75 to 84 years","Estimate!!SEX AND AGE!!85 years and over","Margin of Error!!SEX AND AGE!!85 years and over","Percent!!SEX AND AGE!!85 years and over","Percent Margin of Error!!SEX AND AGE!!85 years and over","Estimate!!SEX AND AGE!!Median age (years)","Margin of Error!!SEX AND AGE!!Median age (years)","Percent!!SEX AND AGE!!Median age (years)","Percent Margin of Error!!SEX AND AGE!!Median age (years)","Estimate!!SEX AND AGE!!18 years and over","Margin of Error!!SEX AND AGE!!18 years and over","Percent!!SEX AND AGE!!18 years and over","Percent Margin of Error!!SEX AND AGE!!18 years and over","Estimate!!SEX AND AGE!!21 years and over","Margin of Error!!SEX AND AGE!!21 years and over","Percent!!SEX AND AGE!!21 years and over","Percent Margin of Error!!SEX AND AGE!!21 years and over","Estimate!!SEX AND AGE!!62 years and over","Margin of Error!!SEX AND AGE!!62 years and over","Percent!!SEX AND AGE!!62 years and over","Percent Margin of Error!!SEX AND AGE!!62 years and over","Estimate!!SEX AND AGE!!65 years and over","Margin of Error!!SEX AND AGE!!65 years and over","Percent!!SEX AND AGE!!65 years and over","Percent Margin of Error!!SEX AND AGE!!65 years and over","Estimate!!SEX AND AGE!!18 years and over","Margin of Error!!SEX AND AGE!!18 years and over","Percent!!SEX AND AGE!!18 years and over","Percent Margin of Error!!SEX AND AGE!!18 years and over","Estimate!!SEX AND AGE!!Male","Margin of Error!!SEX AND AGE!!Male","Percent!!SEX AND AGE!!Male","Percent Margin of Error!!SEX AND AGE!!Male","Estimate!!SEX AND AGE!!Female","Margin of Error!!SEX AND AGE!!Female","Percent!!SEX AND AGE!!Female","Percent Margin of Error!!SEX AND AGE!!Female","Estimate!!SEX AND AGE!!65 years and over","Margin of Error!!SEX AND AGE!!65 years and over","Percent!!SEX AND AGE!!65 years and over","Percent Margin of Error!!SEX AND AGE!!65 years and over","Estimate!!SEX AND AGE!!Male","Margin of Error!!SEX AND AGE!!Male","Percent!!SEX AND AGE!!Male","Percent Margin of Error!!SEX AND AGE!!Male","Estimate!!SEX AND AGE!!Female","Margin of Error!!SEX AND AGE!!Female","Percent!!SEX AND AGE!!Female","Percent Margin of Error!!SEX AND AGE!!Female","Estimate!!RACE!!Total population","Margin of Error!!RACE!!Total population","Percent!!RACE!!Total population","Percent Margin of Error!!RACE!!Total population","Estimate!!RACE!!One race","Margin of Error!!RACE!!One race","Percent!!RACE!!One race","Percent Margin of Error!!RACE!!One race","Estimate!!RACE!!Two or more races","Margin of Error!!RACE!!Two or more races","Percent!!RACE!!Two or more races","Percent Margin of Error!!RACE!!Two or more races","Estimate!!RACE!!One race","Margin of Error!!RACE!!One race","Percent!!RACE!!One race","Percent Margin of Error!!RACE!!One race","Estimate!!RACE!!One race!!White","Margin of Error!!RACE!!One race!!White","Percent!!RACE!!One race!!White","Percent Margin of Error!!RACE!!One race!!White","Estimate!!RACE!!One race!!Black or African American","Margin of Error!!RACE!!One race!!Black or African American","Percent!!RACE!!One race!!Black or African American","Percent Margin of Error!!RACE!!One race!!Black or African American","Estimate!!RACE!!One race!!American Indian and Alaska Native","Margin of Error!!RACE!!One race!!American Indian and Alaska Native","Percent!!RACE!!One race!!American Indian and Alaska Native","Percent Margin of Error!!RACE!!One race!!American Indian and Alaska Native","Estimate!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","Percent!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","Percent Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","Estimate!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","Percent!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","Percent Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","Estimate!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","Percent!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","Percent Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","Estimate!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","Percent!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","Percent Margin of Error!!RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","Estimate!!RACE!!One race!!Asian","Margin of Error!!RACE!!One race!!Asian","Percent!!RACE!!One race!!Asian","Percent Margin of Error!!RACE!!One race!!Asian","Estimate!!RACE!!One race!!Asian!!Asian Indian","Margin of Error!!RACE!!One race!!Asian!!Asian Indian","Percent!!RACE!!One race!!Asian!!Asian Indian","Percent Margin of Error!!RACE!!One race!!Asian!!Asian Indian","Estimate!!RACE!!One race!!Asian!!Chinese","Margin of Error!!RACE!!One race!!Asian!!Chinese","Percent!!RACE!!One race!!Asian!!Chinese","Percent Margin of Error!!RACE!!One race!!Asian!!Chinese","Estimate!!RACE!!One race!!Asian!!Filipino","Margin of Error!!RACE!!One race!!Asian!!Filipino","Percent!!RACE!!One race!!Asian!!Filipino","Percent Margin of Error!!RACE!!One race!!Asian!!Filipino","Estimate!!RACE!!One race!!Asian!!Japanese","Margin of Error!!RACE!!One race!!Asian!!Japanese","Percent!!RACE!!One race!!Asian!!Japanese","Percent Margin of Error!!RACE!!One race!!Asian!!Japanese","Estimate!!RACE!!One race!!Asian!!Korean","Margin of Error!!RACE!!One race!!Asian!!Korean","Percent!!RACE!!One race!!Asian!!Korean","Percent Margin of Error!!RACE!!One race!!Asian!!Korean","Estimate!!RACE!!One race!!Asian!!Vietnamese","Margin of Error!!RACE!!One race!!Asian!!Vietnamese","Percent!!RACE!!One race!!Asian!!Vietnamese","Percent Margin of Error!!RACE!!One race!!Asian!!Vietnamese","Estimate!!RACE!!One race!!Asian!!Other Asian","Margin of Error!!RACE!!One race!!Asian!!Other Asian","Percent!!RACE!!One race!!Asian!!Other Asian","Percent Margin of Error!!RACE!!One race!!Asian!!Other Asian","Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander","Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander","Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander","Percent Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander","Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","Percent Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","Percent Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","Percent Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","Estimate!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","Percent!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","Percent Margin of Error!!RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","Estimate!!RACE!!One race!!Some other race","Margin of Error!!RACE!!One race!!Some other race","Percent!!RACE!!One race!!Some other race","Percent Margin of Error!!RACE!!One race!!Some other race","Estimate!!RACE!!Two or more races","Margin of Error!!RACE!!Two or more races","Percent!!RACE!!Two or more races","Percent Margin of Error!!RACE!!Two or more races","Estimate!!RACE!!Two or more races!!White and Black or African American","Margin of Error!!RACE!!Two or more races!!White and Black or African American","Percent!!RACE!!Two or more races!!White and Black or African American","Percent Margin of Error!!RACE!!Two or more races!!White and Black or African American","Estimate!!RACE!!Two or more races!!White and American Indian and Alaska Native","Margin of Error!!RACE!!Two or more races!!White and American Indian and Alaska Native","Percent!!RACE!!Two or more races!!White and American Indian and Alaska Native","Percent Margin of Error!!RACE!!Two or more races!!White and American Indian and Alaska Native","Estimate!!RACE!!Two or more races!!White and Asian","Margin of Error!!RACE!!Two or more races!!White and Asian","Percent!!RACE!!Two or more races!!White and Asian","Percent Margin of Error!!RACE!!Two or more races!!White and Asian","Estimate!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","Margin of Error!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","Percent!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","Percent Margin of Error!!RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","Estimate!!RACE!!Race alone or in combination with one or more other races!!Total population","Margin of Error!!RACE!!Race alone or in combination with one or more other races!!Total population","Percent!!RACE!!Race alone or in combination with one or more other races!!Total population","Percent Margin of Error!!RACE!!Race alone or in combination with one or more other races!!Total population","Estimate!!RACE!!White","Margin of Error!!RACE!!White","Percent!!RACE!!White","Percent Margin of Error!!RACE!!White","Estimate!!RACE!!Black or African American","Margin of Error!!RACE!!Black or African American","Percent!!RACE!!Black or African American","Percent Margin of Error!!RACE!!Black or African American","Estimate!!RACE!!American Indian and Alaska Native","Margin of Error!!RACE!!American Indian and Alaska Native","Percent!!RACE!!American Indian and Alaska Native","Percent Margin of Error!!RACE!!American Indian and Alaska Native","Estimate!!RACE!!Asian","Margin of Error!!RACE!!Asian","Percent!!RACE!!Asian","Percent Margin of Error!!RACE!!Asian","Estimate!!RACE!!Native Hawaiian and Other Pacific Islander","Margin of Error!!RACE!!Native Hawaiian and Other Pacific Islander","Percent!!RACE!!Native Hawaiian and Other Pacific Islander","Percent Margin of Error!!RACE!!Native Hawaiian and Other Pacific Islander","Estimate!!RACE!!Some other race","Margin of Error!!RACE!!Some other race","Percent!!RACE!!Some other race","Percent Margin of Error!!RACE!!Some other race","Estimate!!HISPANIC OR LATINO AND RACE!!Total population","Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population","Percent!!HISPANIC OR LATINO AND RACE!!Total population","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Total population","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","Estimate!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","Percent!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","Estimate!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Percent Margin of Error!!HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Estimate!!Total housing units","Margin of Error!!Total housing units","Percent!!Total housing units","Percent Margin of Error!!Total housing units",
"0100000US","United States","309138711","*****","309138711","(X)","152018799","6022","49.2","0.1","157119912","6025","50.8","0.1","20137884","3715","6.5","0.1","20311310","24094","6.6","0.1","20647280","25603","6.7","0.1","21930781","6682","7.1","0.1","21775439","8178","7.0","0.1","41184290","7845","13.3","0.1","41227505","6813","13.3","0.1","44646979","7056","14.4","0.1","19680816","23113","6.4","0.1","16924986","21572","5.5","0.1","22012061","4191","7.1","0.1","13147248","11692","4.3","0.1","5512132","12071","1.8","0.1","37.2","0.1","(X)","(X)","235158852","6334","76.1","0.1","221400201","22784","71.6","0.1","50281162","18931","16.3","0.1","40671441","4162","13.2","0.1","235158852","6334","235158852","(X)","114173652","5659","48.6","0.1","120985200","4721","51.4","0.1","40671441","4162","40671441","(X)","17555646","2520","43.2","0.1","23115795","2757","56.8","0.1","309138711","*****","309138711","(X)","300842420","78505","97.3","0.1","8296291","78469","2.7","0.1","300842420","78505","97.3","0.1","229298906","50539","74.2","0.1","38825848","22770","12.6","0.1","2529100","14004","0.8","0.1","271804","4280","0.1","0.1","114020","2541","0.0","0.1","304122","3747","0.1","0.1","123908","2690","0.0","0.1","14859795","19046","4.8","0.1","2854732","18450","0.9","0.1","3473998","16674","1.1","0.1","2586495","20615","0.8","0.1","788599","10782","0.3","0.1","1429140","15023","0.5","0.1","1603500","18097","0.5","0.1","2123331","19367","0.7","0.1","514402","4918","0.2","0.1","161521","4331","0.1","0.1","69860","2728","0.0","0.1","107963","4293","0.0","0.1","175058","5339","0.1","0.1","14814369","91118","4.8","0.1","8296291","78469","2.7","0.1","2007676","21722","0.6","0.1","1743275","11495","0.6","0.1","1547443","23389","0.5","0.1","293799","6419","0.1","0.1","309138711","*****","309138711","(X)","236362158","101601","76.5","0.1","41945466","23611","13.6","0.1","5049092","19231","1.6","0.1","17285143","16277","5.6","0.1","1107434","8081","0.4","0.1","16417278","65827","5.3","0.1","309138711","*****","309138711","(X)","50545275","1531","16.4","0.1","32695701","49471","10.6","0.1","4739207","24025","1.5","0.1","1821626","13771","0.6","0.1","11288741","41062","3.7","0.1","258593436","1526","83.6","0.1","196903968","7539","63.7","0.1","37786591","24071","12.2","0.1","2050766","9034","0.7","0.1","14692794","21143","4.8","0.1","480063","5048","0.2","0.1","616191","9677","0.2","0.1","6063063","43719","2.0","0.1","283669","5976","0.1","0.1","5779394","41591","1.9","0.1","131642457","4887","(X)","(X)",
