fips5,county_name,population,medi_cal_share,pcp_per_100k,need_index,pcp_expected,access_gap,county_type,pqi_mean_rate
06001,ALAMEDA,1682353.0,0.0407798713402531,138.96862151465976,-1.1455859773686354,125.00017030877952,13.968451205880244,Adequate,191.27857142857144
06005,AMADOR,40474.0,0.0397707993609065,97.42449601558792,-0.0984213930336751,80.36811478893155,17.05638122665637,Adequate,183.96428571428572
06007,BUTTE,211632.0,0.0906252756356946,67.28127578114363,0.2530536638952186,65.38760982403652,1.8936659571071175,Adequate,347.5
06009,CALAVERAS,45292.0,0.0671503797580146,35.55687247675839,0.3434560492891876,61.53449604957404,-25.977623572815645,Underserved,200.70714285714288
06011,COLUSA,21839.0,0.1150369369781888,27.372470897741017,-0.5884061628298981,101.2521551552448,-73.87968425750378,TRUE DESERT,394.6
06013,CONTRA COSTA,1165927.0,0.0458332725805303,134.05244215553682,-0.993229437765764,118.50645801551492,15.545984140021917,Adequate,221.0142857142857
06015,DEL NORTE,27743.0,0.1418395831581139,74.2353756310007,0.2953980892605625,63.58281354641761,10.652562084583082,High MC but OK Access,120.96428571428572
06017,EL DORADO,191185.0,0.0393373782810715,70.37753521065117,-0.6522930242032489,103.97512916187156,-33.59759395122039,Underserved,206.44285714285715
06019,FRESNO,1008654.0,0.0979542179906126,109.28736390630156,-0.0887135826975207,79.95435028965318,29.333013616648387,Well-Served,279.2642857142857
06021,GLENN,28917.0,0.1095311581422692,31.15192911205464,-0.1660740391827218,83.25159337879096,-52.09966426673632,TRUE DESERT,325.40000000000003
06023,HUMBOLDT,136463.0,0.1032273094782712,104.5642415013744,0.3260291734271489,62.27726113411514,42.286980367259254,Well-Served,166.42857142857142
06025,IMPERIAL,179702.0,0.1297695861296294,29.621367611228692,0.1242985798483535,70.8753852373847,-41.25401762615601,TRUE DESERT,149.80714285714288
06027,INYO,19016.0,0.07434638374702,84.60609692685978,-0.3004807966854205,88.98025337440471,-4.374156447544934,Underserved,188.30714285714288
06029,KERN,909235.0,0.0958372166977051,65.17824149469591,-0.2881341452496798,88.45401667712932,-23.275775182433406,Underserved,216.40714285714284
06031,KINGS,152486.0,0.0983981043068434,51.122454664323186,-0.5642993637171568,100.22467961558166,-49.10222495125848,Underserved,244.5
06033,LAKE,68163.0,0.1571229585291466,47.375706625936715,0.6142917511687919,49.99098678285797,-2.6152801569212585,TRUE DESERT,200.42857142857144
06035,LASSEN,32730.0,0.080630240689819,43.639781577298365,-0.2332966204110851,86.11674182102675,-42.476960243728385,Underserved,134.9
06037,LOS ANGELES,10014009.0,0.0264647890608197,118.43398100875211,-0.7445720551037097,107.9082289745269,10.525752034225206,Adequate,212.62857142857143
06039,MADERA,156255.0,0.1169431911512164,98.23203329814054,-0.1240375406094682,81.45992150003562,16.772111798104916,High MC but OK Access,210.92142857142855
06041,MARIN,262321.0,0.0591341863171034,158.2529701594,-1.089073545079979,122.59150785666765,35.66146230273236,Well-Served,117.45
06043,MARIPOSA,17131.0,0.075538011013173,47.04959811801608,0.5485642233072446,52.792413336604525,-5.742815218588447,Underserved,249.93571428571428
06045,MENDOCINO,91601.0,0.142381997285328,88.50503925567263,0.2979615987097994,63.4735521201093,25.03148713556333,Well-Served,176.60714285714286
06047,MERCED,281202.0,0.1597968522430297,46.056794074956265,-0.2450584753990806,86.61805343210841,-40.561259357152146,TRUE DESERT,286.0642857142857
06049,MODOC,8700.0,0.1309738186462324,116.71789285297436,0.4411264869871325,57.37160469209845,59.346288160875915,Well-Served,157.04285714285714
06051,MONO,13195.0,0.0628836680560818,99.6957999948874,-1.1548863783963264,125.3965702837542,-25.700770288866806,Underserved,121.09285714285714
06053,MONTEREY,439035.0,0.139611053535342,92.32653732825894,-0.996826277934624,118.6597618729162,-26.333224544657256,TRUE DESERT,225.87857142857143
06055,NAPA,138019.0,0.0781375913622198,113.00305621902048,-0.8557337446174328,112.64614197528742,0.3569142437330583,Adequate,158.32857142857142
06057,NEVADA,102241.0,0.0613880439354075,107.6289860987455,-0.3348627049210275,90.44567271746288,17.183313381282616,Adequate,168.72142857142856
06059,ORANGE,3186989.0,0.0536779438732504,134.99394813929925,-1.0907602276680153,122.66339733043304,12.33055080886622,Adequate,167.41428571428574
06061,PLACER,404739.0,0.0311018597002521,169.99805185304342,-1.0170400852243893,119.52131103407052,50.4767408189729,Well-Served,185.15714285714284
06063,PLUMAS,19790.0,0.0818858430183594,83.14639828856997,0.1262739192360861,70.79119268681272,12.355205601757248,Adequate,167.06428571428572
06065,RIVERSIDE,2418185.0,0.0443564164169959,79.6680173436785,-0.7050120532138981,106.22210988004598,-26.554092536367477,Underserved,234.34285714285716
06067,SACRAMENTO,1585055.0,0.0412532877408039,134.24859981921776,-0.5873536561404101,101.20729540950572,33.04130440971204,Well-Served,211.9
06069,SAN BENITO,64209.0,0.0933180879800512,32.03026097036438,-1.0948222051060583,122.83652618261844,-90.80626521225405,Underserved,218.75714285714284
06071,SAN BERNARDINO,2181654.0,0.0494168453537239,96.06542864229812,-0.6371234503154188,103.3285743851895,-7.263145742891382,Underserved,233.47857142857143
06073,SAN DIEGO,3298634.0,0.0143160339951269,135.7236259673235,-0.9625305698175456,117.19801653539022,18.525609431933276,Well-Served,204.03571428571428
06075,SAN FRANCISCO,873965.0,0.0573549284010229,280.6551203993628,-0.9586375779945696,117.03209015688142,163.62303024248135,Well-Served,189.57142857142856
06077,SAN JOAQUIN,779233.0,0.0611694091782845,82.14111987836195,-0.604552111115667,101.9403247811959,-19.79920490283395,Underserved,227.95
