underserved_fips,underserved_pqi,underserved_access_gap,underserved_ps,matched_fips,matched_pqi,matched_access_gap,matched_ps,ps_diff
6009,200.70714285714288,-25.977623572815645,0.3516915195082094,6055,158.32857142857142,0.3569142437330583,0.367592416969986,0.015900897461776586
6011,394.6,-73.87968425750378,0.9459564549109214,6005,183.9642857142857,17.05638122665637,0.7612196749952556,0.18473677991566584
6017,206.44285714285715,-33.59759395122039,0.28597587171490224,6097,177.82857142857142,24.036145061633704,0.2876411389856605,0.001665267270758275
6021,325.40000000000003,-52.09966426673632,0.9083816603807578,6015,120.96428571428572,10.652562084583082,0.7436021145900386,0.1647795457907193
6025,149.80714285714288,-41.25401762615601,0.6675111257129122,6063,167.06428571428572,12.355205601757248,0.6461622151546386,0.021348910558273593
6027,188.30714285714288,-4.374156447544934,0.433293119288217,6067,211.9,33.04130440971204,0.46190232007111764,0.028609200782900635
6029,216.40714285714284,-23.275775182433406,0.7945590228603896,6039,210.92142857142852,16.772111798104916,0.7387655641782439,0.05579345868214569
6031,244.5,-49.10222495125848,0.9661627845800222,6103,246.92142857142852,2.422897258199427,0.5842837249387296,0.38187905964129265
6033,200.42857142857144,-2.6152801569212585,0.38891729328703967,6061,185.15714285714284,50.4767408189729,0.38510385664800184,0.003813436639037826
6035,134.9,-42.47696024372839,0.9847476704483873,6019,279.2642857142857,29.333013616648387,0.5429841199990493,0.441763550449338
6043,249.93571428571428,-5.742815218588447,0.243015722965992,6049,157.04285714285714,59.34628816087592,0.22068466993746155,0.022331053028530445
6047,286.0642857142857,-40.56125935715215,0.8580285997174484,6089,226.53571428571428,33.310330643664585,0.49904685684547884,0.35898174287196954
6051,121.09285714285714,-25.700770288866806,0.8547110606031314,6109,167.57857142857142,2.209448103075829,0.46699193677883877,0.38771912382429263
6053,225.87857142857143,-26.333224544657256,0.5482728386163316,6113,136.57857142857145,13.614911916241226,0.4006882956009248,0.1475845430154068
6065,234.3428571428572,-26.55409253636748,0.7217266694960234,6073,204.03571428571428,18.52560943193328,0.3828936310627183,0.3388330384333051
6069,218.75714285714284,-90.80626521225405,0.9819703349250937,6007,347.5,1.8936659571071173,0.3203535932483228,0.6616167416767709
6071,233.47857142857143,-7.263145742891382,0.8061659080604757,6037,212.62857142857143,10.525752034225206,0.2878968214545001,0.5182690866059756
6077,227.95,-19.79920490283395,0.8513344819236938,6013,221.0142857142857,15.545984140021917,0.28415253691300796,0.5671819450106859
6079,149.60714285714286,-13.337845269017322,0.28493199016971993,6059,167.41428571428574,12.33055080886622,0.27470830668774204,0.010223683481977885
6081,164.84285714285716,-6.711064808706936,0.1472978284557408,6085,216.79285714285712,33.501880102254745,0.14802666224696576,0.0007288337912249587
6083,156.7642857142857,-5.636931401476588,0.32346857990249733,6023,166.42857142857142,42.28698036725925,0.2027294728725119,0.12073910702998544
6095,223.72142857142856,-1.357878891927072,0.761927190924298,6045,176.60714285714286,25.03148713556333,0.168263179637842,0.593664011286456
6099,306.85,-14.017173515983856,0.7891491215252154,6093,153.27142857142854,21.01658297095262,0.16432513228430437,0.6248239892409111
6101,318.92857142857144,-24.64948899394041,0.7201439062469046,6087,140.82142857142858,22.474861262153738,0.15691301668001628,0.5632308895668883
6105,51.364285714285714,-4.878710388023389,0.4992959251534695,6001,191.27857142857144,13.968451205880244,0.15271150655992144,0.34658441859354805
6107,230.97142857142856,-16.755678269066593,0.7263732469374429,6057,168.72142857142856,17.183313381282616,0.04453540774902323,0.6818378391884197
6111,210.9928571428572,-6.908196385520057,0.49458294589990853,6075,189.57142857142856,163.62303024248135,0.02843657979801698,0.46614636610189153
6115,317.45714285714286,-52.88713990298115,0.9228940431736998,6041,117.45,35.66146230273236,0.014898329722837611,0.9079957134508623
