Model,DV,IV,Coefficient,SE,p_value,R2,N
1a,PQI,Desert Indicator,20.962379660594273,27.405455319159575,0.4443322480649132,0.29014443740233076,55
1b,PQI,Access Gap,-0.024294065953926886,0.270506285873724,0.9284385057464531,0.2779107355376712,55
2a,ED Rate,Desert Indicator,-15.339777253760449,7.40042314527273,0.03818862995895393,0.14996672303132064,55
2b,ED Rate,Access Gap,0.22226604674454398,0.10775239674381991,0.03913657168320511,0.17467445822031535,55
