fips5,nhsc_sites,nhsc_pcp_sites,nhsc_fte,nhsc_pcp_fte,fqhc_count,rhc_count,cmhc_count,chc_grants,county_type,access_gap,pcp_per_100k,pqi_mean_rate,population,ahrf_pcp_count,nhsc_per_100k,fqhc_per_100k,rhc_per_100k,cmhc_per_100k,pcp_per_100k_ahrf,true_desert
06001,103.0,22.0,38.96,20.35,52.0,0.0,1.0,133.0,Adequate,13.968451205880244,138.96862151465976,205.21285714285713,1663062.0,1897.0,2.34266671958111,3.1267625620692434,0.0,0.06013004927056237,114.06670346625681,0
06003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23.287142857142857,1191.2,0.0,0.0,0.0,0.0,0.0,0.0,0
06005,5.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,Adequate,17.05638122665637,97.42449601558792,207.61637362637362,40124.6,20.0,7.476710048199857,7.476710048199857,2.492236682733286,0.0,49.84473365466572,0
06007,12.0,4.0,12.8,3.0,8.0,15.0,1.0,7.0,Adequate,1.8936659571071175,67.28127578114363,331.38428571428574,208193.0,116.0,6.148141388038983,3.842588367524364,7.204853189108183,0.4803235459405455,55.71753132910328,0
06009,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,Underserved,-25.977623572815645,35.55687247675839,194.43857142857144,45053.6,21.0,0.0,2.2195784576593214,11.097892288296608,0.0,46.611147610845755,0
06011,5.0,1.0,1.0,1.0,3.0,5.0,0.0,2.0,TRUE DESERT,-73.87968425750378,27.372470897741017,345.46999999999997,21898.6,6.0,4.566501968162349,13.699505904487044,22.832509840811742,0.0,27.399011808974088,1
06013,31.0,16.0,24.56,17.36,10.0,0.0,1.0,15.0,Adequate,15.545984140021917,134.05244215553682,234.8042857142857,1158557.2,1218.0,2.119878069032759,0.8631425362511235,0.0,0.08631425362511234,105.13076091538682,0
06015,7.0,0.0,1.0,0.0,5.0,2.0,0.0,3.0,High MC but OK Access,10.652562084583082,74.2353756310007,147.57000000000002,27020.8,17.0,3.700852676456656,18.50426338228328,7.401705352913312,0.0,62.91449549976314,0
06017,12.0,3.0,9.75,4.0,3.0,4.0,0.0,5.0,Underserved,-33.59759395122039,70.37753521065117,207.4778021978022,190328.0,155.0,5.122735488209827,1.5762263040645623,2.1016350720860832,0.0,81.43835904333572,0
06019,114.0,15.0,30.16,18.4,71.0,31.0,0.0,87.0,Well-Served,29.333013616648387,109.28736390630156,272.50714285714287,1014688.6,715.0,2.9723404796308937,6.997220625125777,3.055124498294354,0.0,70.4649682671117,0
06021,4.0,0.0,5.0,0.0,3.0,6.0,0.0,2.0,TRUE DESERT,-52.09966426673632,31.15192911205464,329.9157142857143,28795.0,4.0,17.364125716270184,10.418475429762111,20.836950859524222,0.0,13.89130057301615,1
06023,40.0,6.0,16.88,4.1,24.0,8.0,0.0,38.0,Well-Served,42.286980367259254,104.5642415013744,165.0676923076923,135051.0,83.0,12.49898186610984,17.771064264611145,5.923688088203716,0.0,61.45826391511355,0
06025,16.0,4.0,10.0,9.0,8.0,7.0,0.0,8.0,TRUE DESERT,-41.25401762615601,29.621367611228692,162.79186813186814,181461.2,41.0,5.510819943877809,4.4086559551022475,3.857573960714466,0.0,22.594361769899017,1
06027,4.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,Underserved,-4.374156447544934,84.60609692685978,148.9957142857143,18933.4,14.0,0.0,15.845014630230173,10.563343086820115,0.0,73.94340160774081,0
06029,90.0,14.0,48.8,16.3,45.0,26.0,2.0,52.0,Underserved,-23.275775182433406,65.17824149469591,214.39857142857144,910665.4,446.0,5.358719020180189,4.941441719428453,2.855055215669773,0.2196196319745979,48.975177930335335,0
06031,27.0,7.0,20.5,8.5,16.0,11.0,0.0,24.0,Underserved,-49.10222495125848,51.122454664323186,228.26351648351647,152286.8,58.0,13.461442488777754,10.506491698558248,7.223213042758796,0.0,38.08603240727365,0
06033,17.0,3.0,8.0,6.0,2.0,11.0,0.0,1.0,TRUE DESERT,-2.6152801569212585,47.375706625936715,196.49329670329672,67603.4,28.0,11.833724339308379,2.9584310848270947,16.27137096654902,0.0,41.41803518757933,1
06035,8.0,2.0,5.45,3.2,8.0,0.0,0.0,6.0,Underserved,-42.476960243728385,43.639781577298365,142.2376923076923,30004.0,8.0,18.16424476736435,26.66311158512198,0.0,0.0,26.66311158512198,0
06037,451.0,119.0,291.49,164.71,384.0,1.0,4.0,606.0,Adequate,10.525752034225206,118.43398100875211,224.71285714285713,9906700.6,7619.0,2.942351967313921,3.8761643811058546,0.010094178075796496,0.040376712303185985,76.90754275949351,0
06039,30.0,7.0,16.1,10.5,15.0,5.0,0.0,24.0,High MC but OK Access,16.772111798104916,98.23203329814054,215.74153846153845,158049.4,84.0,10.186688465758175,9.490703539526251,3.1635678465087502,0.0,53.147939821346995,0
06041,13.0,6.0,20.01,10.8,18.0,0.0,0.0,24.0,Well-Served,35.66146230273236,158.2529701594,130.24054945054945,257709.8,377.0,7.764547564741427,6.984600508013277,0.0,0.0,146.28857730672254,0
06043,3.0,0.0,0.8,0.0,2.0,3.0,0.0,1.0,Underserved,-5.742815218588447,47.04959811801608,200.75,17020.6,5.0,4.700186832426589,11.750467081066473,17.62570062159971,0.0,29.376167702666187,0
06045,26.0,3.0,7.0,4.0,16.0,7.0,0.0,25.0,Well-Served,25.03148713556333,88.50503925567263,157.06351648351648,90503.0,72.0,7.734550235903781,17.678971967780072,7.734550235903781,0.0,79.55537385501033,0
