Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2023-09,Kern,Dual,"41,632",,,F,09SEP2024
2023-09,Kern,Non-Dual,"466,869",,,F,09SEP2024
2023-09,Kings,Dual,"6,131",,,F,09SEP2024
2023-09,Kings,Non-Dual,"64,591",,,F,09SEP2024
2023-09,Lake,Dual,"5,727",,,F,09SEP2024
2023-09,Lake,Non-Dual,"31,616",,,F,09SEP2024
2023-09,Lassen,Dual,"1,334",,,F,09SEP2024
2023-09,Lassen,Non-Dual,"8,357",,,F,09SEP2024
2023-09,Los Angeles,Dual,"538,332",,,F,09SEP2024
2023-09,Los Angeles,Non-Dual,"3,856,505",,,F,09SEP2024
2023-09,Madera,Dual,"6,832",,,F,09SEP2024
2023-09,Madera,Non-Dual,"80,886",,,F,09SEP2024
2023-09,Marin,Dual,"6,445",,,F,09SEP2024
2023-09,Marin,Non-Dual,"52,383",,,F,09SEP2024
2023-09,Mariposa,Dual,917,,,F,09SEP2024
2023-09,Mariposa,Non-Dual,"5,481",,,F,09SEP2024
2023-09,Mendocino,Dual,"5,596",,,F,09SEP2024
2023-09,Mendocino,Non-Dual,"39,306",,,F,09SEP2024
2023-09,Merced,Dual,"13,819",,,F,09SEP2024
2023-09,Merced,Non-Dual,"146,208",,,F,09SEP2024
2023-09,Modoc,Dual,697,,,F,09SEP2024
2023-09,Modoc,Non-Dual,"3,386",,,F,09SEP2024
2023-09,Mono,Dual,257,,,F,09SEP2024
2023-09,Mono,Non-Dual,"3,611",,,F,09SEP2024
2023-09,Monterey,Dual,"16,037",,,F,09SEP2024
2023-09,Monterey,Non-Dual,"193,766",,,F,09SEP2024
2023-09,Napa,Dual,"4,788",,,F,09SEP2024
2023-09,Napa,Non-Dual,"34,022",,,F,09SEP2024
2023-09,Nevada,Dual,"3,972",,,F,09SEP2024
2023-09,Nevada,Non-Dual,"27,005",,,F,09SEP2024
2023-09,Orange,Dual,"121,699",,,F,09SEP2024
2023-09,Orange,Non-Dual,"919,654",,,F,09SEP2024
2023-09,Placer,Dual,"9,618",,,F,09SEP2024
2023-09,Placer,Non-Dual,"72,031",,,F,09SEP2024
2023-09,Plumas,Dual,"1,092",,,F,09SEP2024
2023-09,Plumas,Non-Dual,"5,594",,,F,09SEP2024
2023-09,Riverside,Dual,"97,462",,,F,09SEP2024
2023-09,Riverside,Non-Dual,"949,093",,,F,09SEP2024
2023-09,STATEWIDE,STATEWIDE,"15,440,905",,Statewide Total by MOE,F,09SEP2024
2023-09,Sacramento,Dual,"74,260",,,F,09SEP2024
2023-09,Sacramento,Non-Dual,"583,722",,,F,09SEP2024
2023-09,San Benito,Dual,"1,983",,,F,09SEP2024
2023-09,San Benito,Non-Dual,"20,030",,,F,09SEP2024
2023-09,San Bernardino,Dual,"94,941",,,F,09SEP2024
2023-09,San Bernardino,Non-Dual,"925,164",,,F,09SEP2024
2023-09,San Diego,Dual,"121,725",,,F,09SEP2024
2023-09,San Diego,Non-Dual,"955,830",,,F,09SEP2024
2023-09,San Francisco,Dual,"54,649",,,F,09SEP2024
2023-09,San Francisco,Non-Dual,"198,857",,,F,09SEP2024
2023-09,San Joaquin,Dual,"32,951",,,F,09SEP2024
2023-09,San Joaquin,Non-Dual,"308,369",,,F,09SEP2024
2023-09,San Luis Obispo,Dual,"8,243",,,F,09SEP2024
2023-09,San Luis Obispo,Non-Dual,"64,043",,,F,09SEP2024
2023-09,San Mateo,Dual,"20,776",,,F,09SEP2024
2023-09,San Mateo,Non-Dual,"155,424",,,F,09SEP2024
2023-09,Santa Barbara,Dual,"15,681",,,F,09SEP2024
2023-09,Santa Barbara,Non-Dual,"166,140",,,F,09SEP2024
2023-09,Santa Clara,Dual,"67,306",,,F,09SEP2024
2023-09,Santa Clara,Non-Dual,"426,459",,,F,09SEP2024
2023-09,Santa Cruz,Dual,"10,081",,,F,09SEP2024
2023-09,Santa Cruz,Non-Dual,"76,085",,,F,09SEP2024
2023-09,Shasta,Dual,"11,286",,,F,09SEP2024
2023-09,Shasta,Non-Dual,"64,079",,,F,09SEP2024
2023-09,Sierra,Dual,189,,,F,09SEP2024
2023-09,Sierra,Non-Dual,679,,,F,09SEP2024
2023-09,Siskiyou,Dual,"3,389",,,F,09SEP2024
2023-09,Siskiyou,Non-Dual,"17,286",,,F,09SEP2024
2023-09,Solano,Dual,"16,929",,,F,09SEP2024
2023-09,Solano,Non-Dual,"132,960",,,F,09SEP2024
2023-09,Sonoma,Dual,"16,703",,,F,09SEP2024
2023-09,Sonoma,Non-Dual,"128,134",,,F,09SEP2024
2023-09,Stanislaus,Dual,"25,854",,,F,09SEP2024
2023-09,Stanislaus,Non-Dual,"248,876",,,F,09SEP2024
2023-09,Sutter,Dual,"5,604",,,F,09SEP2024
2023-09,Sutter,Non-Dual,"42,992",,,F,09SEP2024
2023-09,Tehama,Dual,"4,225",,,F,09SEP2024
2023-09,Tehama,Non-Dual,"29,216",,,F,09SEP2024
2023-09,Trinity,Dual,940,,,F,09SEP2024
2023-09,Trinity,Non-Dual,"5,333",,,F,09SEP2024
2023-09,Tulare,Dual,"24,885",,,F,09SEP2024
2023-09,Tulare,Non-Dual,"272,853",,,F,09SEP2024
2023-09,Tuolumne,Dual,"2,699",,,F,09SEP2024
2023-09,Tuolumne,Non-Dual,"13,832",,,F,09SEP2024
2023-09,Ventura,Dual,"28,223",,,F,09SEP2024
2023-09,Ventura,Non-Dual,"245,249",,,F,09SEP2024
2023-09,Yolo,Dual,"7,392",,,F,09SEP2024
2023-09,Yolo,Non-Dual,"58,243",,,F,09SEP2024
2023-09,Yuba,Dual,"4,423",,,F,09SEP2024
2023-09,Yuba,Non-Dual,"34,899",,,F,09SEP2024
2023-08,Alameda,Dual,"69,000",,,F,09AUG2024
2023-08,Alameda,Non-Dual,"433,298",,,F,09AUG2024
2023-08,Alpine,Dual,41,,,F,09AUG2024
2023-08,Alpine,Non-Dual,296,,,F,09AUG2024
2023-08,Amador,Dual,"1,472",,,F,09AUG2024
2023-08,Amador,Non-Dual,"8,697",,,F,09AUG2024
2023-08,Butte,Dual,"11,983",,,F,09AUG2024
2023-08,Butte,Non-Dual,"78,518",,,F,09AUG2024
2023-08,Calaveras,Dual,"2,004",,,F,09AUG2024
2023-08,Calaveras,Non-Dual,"13,104",,,F,09AUG2024
2023-08,Colusa,Dual,"1,249",,,F,09AUG2024
2023-08,Colusa,Non-Dual,"10,728",,,F,09AUG2024
2023-08,Contra Costa,Dual,"37,930",,,F,09AUG2024
2023-08,Contra Costa,Non-Dual,"306,074",,,F,09AUG2024
2023-08,Del Norte,Dual,"1,972",,,F,09AUG2024
2023-08,Del Norte,Non-Dual,"11,396",,,F,09AUG2024
2023-08,El Dorado,Dual,"5,730",,,F,09AUG2024
2023-08,El Dorado,Non-Dual,"40,026",,,F,09AUG2024
2023-08,Fresno,Dual,"47,713",,,F,09AUG2024
2023-08,Fresno,Non-Dual,"505,464",,,F,09AUG2024
2023-08,Glenn,Dual,"1,728",,,F,09AUG2024
2023-08,Glenn,Non-Dual,"13,141",,,F,09AUG2024
2023-08,Humboldt,Dual,"7,919",,,F,09AUG2024
2023-08,Humboldt,Non-Dual,"57,421",,,F,09AUG2024
2023-08,Imperial,Dual,"16,233",,,F,09AUG2024
2023-08,Imperial,Non-Dual,"92,678",,,F,09AUG2024
2023-08,Inyo,Dual,872,,,F,09AUG2024
2023-08,Inyo,Non-Dual,"5,781",,,F,09AUG2024
2023-08,Kern,Dual,"41,793",,,F,09AUG2024
2023-08,Kern,Non-Dual,"474,476",,,F,09AUG2024
2023-08,Kings,Dual,"6,137",,,F,09AUG2024
2023-08,Kings,Non-Dual,"65,288",,,F,09AUG2024
2023-08,Lake,Dual,"5,775",,,F,09AUG2024
2023-08,Lake,Non-Dual,"32,067",,,F,09AUG2024
2023-08,Lassen,Dual,"1,345",,,F,09AUG2024
2023-08,Lassen,Non-Dual,"8,468",,,F,09AUG2024
2023-08,Los Angeles,Dual,"539,889",,,F,09AUG2024
2023-08,Los Angeles,Non-Dual,"3,929,631",,,F,09AUG2024
2023-08,Madera,Dual,"6,847",,,F,09AUG2024
2023-08,Madera,Non-Dual,"81,782",,,F,09AUG2024
2023-08,Marin,Dual,"6,513",,,F,09AUG2024
2023-08,Marin,Non-Dual,"53,490",,,F,09AUG2024
2023-08,Mariposa,Dual,928,,,F,09AUG2024
2023-08,Mariposa,Non-Dual,"5,558",,,F,09AUG2024
2023-08,Mendocino,Dual,"5,618",,,F,09AUG2024
2023-08,Mendocino,Non-Dual,"40,043",,,F,09AUG2024
2023-08,Merced,Dual,"13,869",,,F,09AUG2024
2023-08,Merced,Non-Dual,"148,026",,,F,09AUG2024
2023-08,Modoc,Dual,710,,,F,09AUG2024
2023-08,Modoc,Non-Dual,"3,438",,,F,09AUG2024
2023-08,Mono,Dual,261,,,F,09AUG2024
2023-08,Mono,Non-Dual,"3,677",,,F,09AUG2024
2023-08,Monterey,Dual,"16,083",,,F,09AUG2024
2023-08,Monterey,Non-Dual,"197,683",,,F,09AUG2024
2023-08,Napa,Dual,"4,813",,,F,09AUG2024
2023-08,Napa,Non-Dual,"34,639",,,F,09AUG2024
2023-08,Nevada,Dual,"3,964",,,F,09AUG2024
2023-08,Nevada,Non-Dual,"27,272",,,F,09AUG2024
2023-08,Orange,Dual,"121,565",,,F,09AUG2024
2023-08,Orange,Non-Dual,"930,356",,,F,09AUG2024
2023-08,Placer,Dual,"9,634",,,F,09AUG2024
2023-08,Placer,Non-Dual,"72,916",,,F,09AUG2024
2023-08,Plumas,Dual,"1,089",,,F,09AUG2024
2023-08,Plumas,Non-Dual,"5,842",,,F,09AUG2024
2023-08,Riverside,Dual,"97,530",,,F,09AUG2024
2023-08,Riverside,Non-Dual,"962,961",,,F,09AUG2024
2023-08,STATEWIDE,STATEWIDE,"15,638,672",,Statewide Total by MOE,F,09AUG2024
2023-08,Sacramento,Dual,"74,283",,,F,09AUG2024
2023-08,Sacramento,Non-Dual,"588,860",,,F,09AUG2024
2023-08,San Benito,Dual,"1,981",,,F,09AUG2024
2023-08,San Benito,Non-Dual,"20,249",,,F,09AUG2024
2023-08,San Bernardino,Dual,"95,271",,,F,09AUG2024
2023-08,San Bernardino,Non-Dual,"939,407",,,F,09AUG2024
2023-08,San Diego,Dual,"122,272",,,F,09AUG2024
2023-08,San Diego,Non-Dual,"964,225",,,F,09AUG2024
2023-08,San Francisco,Dual,"54,649",,,F,09AUG2024
2023-08,San Francisco,Non-Dual,"200,894",,,F,09AUG2024
2023-08,San Joaquin,Dual,"33,042",,,F,09AUG2024
2023-08,San Joaquin,Non-Dual,"312,825",,,F,09AUG2024
2023-08,San Luis Obispo,Dual,"8,271",,,F,09AUG2024
2023-08,San Luis Obispo,Non-Dual,"64,761",,,F,09AUG2024
2023-08,San Mateo,Dual,"20,829",,,F,09AUG2024
2023-08,San Mateo,Non-Dual,"157,310",,,F,09AUG2024
2023-08,Santa Barbara,Dual,"15,690",,,F,09AUG2024
2023-08,Santa Barbara,Non-Dual,"167,935",,,F,09AUG2024
2023-08,Santa Clara,Dual,"67,493",,,F,09AUG2024
2023-08,Santa Clara,Non-Dual,"433,343",,,F,09AUG2024
2023-08,Santa Cruz,Dual,"10,173",,,F,09AUG2024
2023-08,Santa Cruz,Non-Dual,"77,082",,,F,09AUG2024
2023-08,Shasta,Dual,"11,338",,,F,09AUG2024
2023-08,Shasta,Non-Dual,"65,161",,,F,09AUG2024
2023-08,Sierra,Dual,195,,,F,09AUG2024
2023-08,Sierra,Non-Dual,685,,,F,09AUG2024
2023-08,Siskiyou,Dual,"3,395",,,F,09AUG2024
2023-08,Siskiyou,Non-Dual,"17,567",,,F,09AUG2024
2023-08,Solano,Dual,"17,008",,,F,09AUG2024
2023-08,Solano,Non-Dual,"134,311",,,F,09AUG2024
2023-08,Sonoma,Dual,"16,649",,,F,09AUG2024
2023-08,Sonoma,Non-Dual,"129,200",,,F,09AUG2024
2023-08,Stanislaus,Dual,"25,908",,,F,09AUG2024
2023-08,Stanislaus,Non-Dual,"252,200",,,F,09AUG2024
2023-08,Sutter,Dual,"5,624",,,F,09AUG2024
2023-08,Sutter,Non-Dual,"43,496",,,F,09AUG2024
2023-08,Tehama,Dual,"4,254",,,F,09AUG2024
2023-08,Tehama,Non-Dual,"29,561",,,F,09AUG2024
2023-08,Trinity,Dual,939,,,F,09AUG2024
2023-08,Trinity,Non-Dual,"5,385",,,F,09AUG2024
2023-08,Tulare,Dual,"24,899",,,F,09AUG2024
2023-08,Tulare,Non-Dual,"274,894",,,F,09AUG2024
2023-08,Tuolumne,Dual,"2,709",,,F,09AUG2024
2023-08,Tuolumne,Non-Dual,"14,062",,,F,09AUG2024
2023-08,Ventura,Dual,"28,246",,,F,09AUG2024
2023-08,Ventura,Non-Dual,"249,223",,,F,09AUG2024
2023-08,Yolo,Dual,"7,396",,,F,09AUG2024
2023-08,Yolo,Non-Dual,"59,181",,,F,09AUG2024
2023-08,Yuba,Dual,"4,432",,,F,09AUG2024
2023-08,Yuba,Non-Dual,"35,465",,,F,09AUG2024
2023-07,Alameda,Dual,"68,890",,,F,09JUL2024
2023-07,Alameda,Non-Dual,"435,991",,,F,09JUL2024
2023-07,Alpine,Dual,42,,,F,09JUL2024
2023-07,Alpine,Non-Dual,291,,,F,09JUL2024
2023-07,Amador,Dual,"1,469",,,F,09JUL2024
2023-07,Amador,Non-Dual,"8,780",,,F,09JUL2024
2023-07,Butte,Dual,"11,969",,,F,09JUL2024
2023-07,Butte,Non-Dual,"78,295",,,F,09JUL2024
2023-07,Calaveras,Dual,"2,009",,,F,09JUL2024
2023-07,Calaveras,Non-Dual,"13,114",,,F,09JUL2024
2023-07,Colusa,Dual,"1,248",,,F,09JUL2024
2023-07,Colusa,Non-Dual,"10,728",,,F,09JUL2024
2023-07,Contra Costa,Dual,"37,906",,,F,09JUL2024
2023-07,Contra Costa,Non-Dual,"304,496",,,F,09JUL2024
2023-07,Del Norte,Dual,"1,962",,,F,09JUL2024
2023-07,Del Norte,Non-Dual,"11,480",,,F,09JUL2024
2023-07,El Dorado,Dual,"5,703",,,F,09JUL2024
2023-07,El Dorado,Non-Dual,"39,874",,,F,09JUL2024
2023-07,Fresno,Dual,"47,782",,,F,09JUL2024
2023-07,Fresno,Non-Dual,"507,929",,,F,09JUL2024
2023-07,Glenn,Dual,"1,725",,,F,09JUL2024
2023-07,Glenn,Non-Dual,"13,171",,,F,09JUL2024
2023-07,Humboldt,Dual,"7,907",,,F,09JUL2024
2023-07,Humboldt,Non-Dual,"57,453",,,F,09JUL2024
2023-07,Imperial,Dual,"16,243",,,F,09JUL2024
2023-07,Imperial,Non-Dual,"93,176",,,F,09JUL2024
2023-07,Inyo,Dual,870,,,F,09JUL2024
2023-07,Inyo,Non-Dual,"5,874",,,F,09JUL2024
2023-07,Kern,Dual,"41,757",,,F,09JUL2024
2023-07,Kern,Non-Dual,"473,879",,,F,09JUL2024
2023-07,Kings,Dual,"6,104",,,F,09JUL2024
2023-07,Kings,Non-Dual,"65,076",,,F,09JUL2024
2023-07,Lake,Dual,"5,752",,,F,09JUL2024
2023-07,Lake,Non-Dual,"32,011",,,F,09JUL2024
2023-07,Lassen,Dual,"1,341",,,F,09JUL2024
2023-07,Lassen,Non-Dual,"8,463",,,F,09JUL2024
2023-07,Los Angeles,Dual,"540,291",,,F,09JUL2024
2023-07,Los Angeles,Non-Dual,"3,916,881",,,F,09JUL2024
2023-07,Madera,Dual,"6,862",,,F,09JUL2024
2023-07,Madera,Non-Dual,"81,674",,,F,09JUL2024
2023-07,Marin,Dual,"6,508",,,F,09JUL2024
2023-07,Marin,Non-Dual,"53,373",,,F,09JUL2024
2023-07,Mariposa,Dual,925,,,F,09JUL2024
2023-07,Mariposa,Non-Dual,"5,547",,,F,09JUL2024
2023-07,Mendocino,Dual,"5,614",,,F,09JUL2024
2023-07,Mendocino,Non-Dual,"39,968",,,F,09JUL2024
2023-07,Merced,Dual,"13,882",,,F,09JUL2024
2023-07,Merced,Non-Dual,"148,227",,,F,09JUL2024
2023-07,Modoc,Dual,709,,,F,09JUL2024
2023-07,Modoc,Non-Dual,"3,470",,,F,09JUL2024
2023-07,Mono,Dual,259,,,F,09JUL2024
2023-07,Mono,Non-Dual,"3,747",,,F,09JUL2024
2023-07,Monterey,Dual,"16,124",,,F,09JUL2024
2023-07,Monterey,Non-Dual,"197,861",,,F,09JUL2024
2023-07,Napa,Dual,"4,821",,,F,09JUL2024
2023-07,Napa,Non-Dual,"34,596",,,F,09JUL2024
2023-07,Nevada,Dual,"3,948",,,F,09JUL2024
2023-07,Nevada,Non-Dual,"27,225",,,F,09JUL2024
2023-07,Orange,Dual,"120,974",,,F,09JUL2024
2023-07,Orange,Non-Dual,"925,554",,,F,09JUL2024
2023-07,Placer,Dual,"9,651",,,F,09JUL2024
2023-07,Placer,Non-Dual,"72,489",,,F,09JUL2024
2023-07,Plumas,Dual,"1,099",,,F,09JUL2024
2023-07,Plumas,Non-Dual,"5,871",,,F,09JUL2024
2023-07,Riverside,Dual,"97,266",,,F,09JUL2024
2023-07,Riverside,Non-Dual,"961,116",,,F,09JUL2024
2023-07,STATEWIDE,STATEWIDE,"15,612,841",,Statewide Total by MOE,F,09JUL2024
2023-07,Sacramento,Dual,"74,171",,,F,09JUL2024
2023-07,Sacramento,Non-Dual,"593,119",,,F,09JUL2024
2023-07,San Benito,Dual,"1,980",,,F,09JUL2024
2023-07,San Benito,Non-Dual,"20,385",,,F,09JUL2024
2023-07,San Bernardino,Dual,"95,018",,,F,09JUL2024
2023-07,San Bernardino,Non-Dual,"936,835",,,F,09JUL2024
2023-07,San Diego,Dual,"122,259",,,F,09JUL2024
2023-07,San Diego,Non-Dual,"960,029",,,F,09JUL2024
2023-07,San Francisco,Dual,"54,582",,,F,09JUL2024
2023-07,San Francisco,Non-Dual,"202,426",,,F,09JUL2024
2023-07,San Joaquin,Dual,"32,983",,,F,09JUL2024
2023-07,San Joaquin,Non-Dual,"312,412",,,F,09JUL2024
2023-07,San Luis Obispo,Dual,"8,301",,,F,09JUL2024
2023-07,San Luis Obispo,Non-Dual,"65,601",,,F,09JUL2024
2023-07,San Mateo,Dual,"20,866",,,F,09JUL2024
2023-07,San Mateo,Non-Dual,"156,208",,,F,09JUL2024
2023-07,Santa Barbara,Dual,"15,593",,,F,09JUL2024
2023-07,Santa Barbara,Non-Dual,"167,255",,,F,09JUL2024
2023-07,Santa Clara,Dual,"67,302",,,F,09JUL2024
2023-07,Santa Clara,Non-Dual,"430,709",,,F,09JUL2024
2023-07,Santa Cruz,Dual,"10,181",,,F,09JUL2024
2023-07,Santa Cruz,Non-Dual,"76,965",,,F,09JUL2024
2023-07,Shasta,Dual,"11,330",,,F,09JUL2024
2023-07,Shasta,Non-Dual,"65,046",,,F,09JUL2024
2023-07,Sierra,Dual,191,,,F,09JUL2024
2023-07,Sierra,Non-Dual,691,,,F,09JUL2024
2023-07,Siskiyou,Dual,"3,386",,,F,09JUL2024
2023-07,Siskiyou,Non-Dual,"17,629",,,F,09JUL2024
2023-07,Solano,Dual,"17,063",,,F,09JUL2024
2023-07,Solano,Non-Dual,"133,774",,,F,09JUL2024
2023-07,Sonoma,Dual,"16,620",,,F,09JUL2024
2023-07,Sonoma,Non-Dual,"130,032",,,F,09JUL2024
2023-07,Stanislaus,Dual,"25,813",,,F,09JUL2024
2023-07,Stanislaus,Non-Dual,"251,234",,,F,09JUL2024
2023-07,Sutter,Dual,"5,638",,,F,09JUL2024
2023-07,Sutter,Non-Dual,"43,397",,,F,09JUL2024
2023-07,Tehama,Dual,"4,259",,,F,09JUL2024
2023-07,Tehama,Non-Dual,"29,432",,,F,09JUL2024
2023-07,Trinity,Dual,943,,,F,09JUL2024
2023-07,Trinity,Non-Dual,"5,376",,,F,09JUL2024
2023-07,Tulare,Dual,"24,791",,,F,09JUL2024
2023-07,Tulare,Non-Dual,"273,827",,,F,09JUL2024
2023-07,Tuolumne,Dual,"2,710",,,F,09JUL2024
2023-07,Tuolumne,Non-Dual,"14,076",,,F,09JUL2024
2023-07,Ventura,Dual,"28,133",,,F,09JUL2024
2023-07,Ventura,Non-Dual,"248,638",,,F,09JUL2024
2023-07,Yolo,Dual,"7,392",,,F,09JUL2024
2023-07,Yolo,Non-Dual,"59,030",,,F,09JUL2024
2023-07,Yuba,Dual,"4,416",,,F,09JUL2024
2023-07,Yuba,Non-Dual,"35,502",,,F,09JUL2024
2023-06,Alameda,Dual,"68,924",,,F,03JUN2024
2023-06,Alameda,Non-Dual,"440,180",,,F,03JUN2024
2023-06,Alpine,Dual,41,,,F,03JUN2024
2023-06,Alpine,Non-Dual,292,,,F,03JUN2024
2023-06,Amador,Dual,"1,468",,,F,03JUN2024
2023-06,Amador,Non-Dual,"8,826",,,F,03JUN2024
2023-06,Butte,Dual,"11,988",,,F,03JUN2024
2023-06,Butte,Non-Dual,"78,372",,,F,03JUN2024
2023-06,Calaveras,Dual,"2,008",,,F,03JUN2024
2023-06,Calaveras,Non-Dual,"13,051",,,F,03JUN2024
2023-06,Colusa,Dual,"1,260",,,F,03JUN2024
2023-06,Colusa,Non-Dual,"10,736",,,F,03JUN2024
2023-06,Contra Costa,Dual,"38,044",,,F,03JUN2024
2023-06,Contra Costa,Non-Dual,"304,938",,,F,03JUN2024
2023-06,Del Norte,Dual,"1,967",,,F,03JUN2024
2023-06,Del Norte,Non-Dual,"11,556",,,F,03JUN2024
2023-06,El Dorado,Dual,"5,705",,,F,03JUN2024
2023-06,El Dorado,Non-Dual,"40,144",,,F,03JUN2024
2023-06,Fresno,Dual,"47,750",,,F,03JUN2024
2023-06,Fresno,Non-Dual,"510,497",,,F,03JUN2024
2023-06,Glenn,Dual,"1,718",,,F,03JUN2024
2023-06,Glenn,Non-Dual,"13,295",,,F,03JUN2024
2023-06,Humboldt,Dual,"7,929",,,F,03JUN2024
2023-06,Humboldt,Non-Dual,"57,817",,,F,03JUN2024
2023-06,Imperial,Dual,"16,229",,,F,03JUN2024
2023-06,Imperial,Non-Dual,"93,790",,,F,03JUN2024
2023-06,Inyo,Dual,873,,,F,03JUN2024
2023-06,Inyo,Non-Dual,"5,964",,,F,03JUN2024
2023-06,Kern,Dual,"41,786",,,F,03JUN2024
2023-06,Kern,Non-Dual,"475,903",,,F,03JUN2024
2023-06,Kings,Dual,"6,097",,,F,03JUN2024
2023-06,Kings,Non-Dual,"65,201",,,F,03JUN2024
2023-06,Lake,Dual,"5,753",,,F,03JUN2024
2023-06,Lake,Non-Dual,"32,179",,,F,03JUN2024
2023-06,Lassen,Dual,"1,334",,,F,03JUN2024
2023-06,Lassen,Non-Dual,"8,492",,,F,03JUN2024
2023-06,Los Angeles,Dual,"540,591",,,F,03JUN2024
2023-06,Los Angeles,Non-Dual,"3,937,696",,,F,03JUN2024
2023-06,Madera,Dual,"6,880",,,F,03JUN2024
2023-06,Madera,Non-Dual,"81,884",,,F,03JUN2024
2023-06,Marin,Dual,"6,512",,,F,03JUN2024
2023-06,Marin,Non-Dual,"53,648",,,F,03JUN2024
2023-06,Mariposa,Dual,936,,,F,03JUN2024
2023-06,Mariposa,Non-Dual,"5,596",,,F,03JUN2024
2023-06,Mendocino,Dual,"5,608",,,F,03JUN2024
2023-06,Mendocino,Non-Dual,"40,217",,,F,03JUN2024
2023-06,Merced,Dual,"13,863",,,F,03JUN2024
2023-06,Merced,Non-Dual,"148,519",,,F,03JUN2024
2023-06,Modoc,Dual,706,,,F,03JUN2024
2023-06,Modoc,Non-Dual,"3,459",,,F,03JUN2024
2023-06,Mono,Dual,258,,,F,03JUN2024
2023-06,Mono,Non-Dual,"3,774",,,F,03JUN2024
2023-06,Monterey,Dual,"16,151",,,F,03JUN2024
2023-06,Monterey,Non-Dual,"199,141",,,F,03JUN2024
2023-06,Napa,Dual,"4,833",,,F,03JUN2024
2023-06,Napa,Non-Dual,"34,853",,,F,03JUN2024
2023-06,Nevada,Dual,"3,932",,,F,03JUN2024
2023-06,Nevada,Non-Dual,"27,209",,,F,03JUN2024
2023-06,Orange,Dual,"120,764",,,F,03JUN2024
2023-06,Orange,Non-Dual,"928,760",,,F,03JUN2024
2023-06,Placer,Dual,"9,652",,,F,03JUN2024
2023-06,Placer,Non-Dual,"72,852",,,F,03JUN2024
2023-06,Plumas,Dual,"1,105",,,F,03JUN2024
2023-06,Plumas,Non-Dual,"5,930",,,F,03JUN2024
2023-06,Riverside,Dual,"97,181",,,F,03JUN2024
2023-06,Riverside,Non-Dual,"965,258",,,F,03JUN2024
2023-06,STATEWIDE,STATEWIDE,"15,672,367",,Statewide Total by MOE,F,03JUN2024
2023-06,Sacramento,Dual,"74,116",,,F,03JUN2024
2023-06,Sacramento,Non-Dual,"595,500",,,F,03JUN2024
2023-06,San Benito,Dual,"1,991",,,F,03JUN2024
2023-06,San Benito,Non-Dual,"20,465",,,F,03JUN2024
2023-06,San Bernardino,Dual,"94,973",,,F,03JUN2024
2023-06,San Bernardino,Non-Dual,"939,975",,,F,03JUN2024
2023-06,San Diego,Dual,"121,859",,,F,03JUN2024
2023-06,San Diego,Non-Dual,"963,499",,,F,03JUN2024
2023-06,San Francisco,Dual,"54,561",,,F,03JUN2024
2023-06,San Francisco,Non-Dual,"203,852",,,F,03JUN2024
2023-06,San Joaquin,Dual,"33,087",,,F,03JUN2024
2023-06,San Joaquin,Non-Dual,"313,395",,,F,03JUN2024
2023-06,San Luis Obispo,Dual,"8,315",,,F,03JUN2024
2023-06,San Luis Obispo,Non-Dual,"66,064",,,F,03JUN2024
2023-06,San Mateo,Dual,"20,812",,,F,03JUN2024
2023-06,San Mateo,Non-Dual,"157,051",,,F,03JUN2024
2023-06,Santa Barbara,Dual,"15,608",,,F,03JUN2024
2023-06,Santa Barbara,Non-Dual,"167,512",,,F,03JUN2024
2023-06,Santa Clara,Dual,"67,277",,,F,03JUN2024
2023-06,Santa Clara,Non-Dual,"431,540",,,F,03JUN2024
2023-06,Santa Cruz,Dual,"10,166",,,F,03JUN2024
2023-06,Santa Cruz,Non-Dual,"77,608",,,F,03JUN2024
2023-06,Shasta,Dual,"11,323",,,F,03JUN2024
2023-06,Shasta,Non-Dual,"65,130",,,F,03JUN2024
2023-06,Sierra,Dual,197,,,F,03JUN2024
2023-06,Sierra,Non-Dual,711,,,F,03JUN2024
2023-06,Siskiyou,Dual,"3,382",,,F,03JUN2024
2023-06,Siskiyou,Non-Dual,"17,718",,,F,03JUN2024
2023-06,Solano,Dual,"17,073",,,F,03JUN2024
2023-06,Solano,Non-Dual,"134,001",,,F,03JUN2024
2023-06,Sonoma,Dual,"16,597",,,F,03JUN2024
2023-06,Sonoma,Non-Dual,"130,848",,,F,03JUN2024
2023-06,Stanislaus,Dual,"25,814",,,F,03JUN2024
2023-06,Stanislaus,Non-Dual,"252,131",,,F,03JUN2024
2023-06,Sutter,Dual,"5,644",,,F,03JUN2024
2023-06,Sutter,Non-Dual,"43,361",,,F,03JUN2024
2023-06,Tehama,Dual,"4,258",,,F,03JUN2024
2023-06,Tehama,Non-Dual,"29,589",,,F,03JUN2024
2023-06,Trinity,Dual,940,,,F,03JUN2024
2023-06,Trinity,Non-Dual,"5,425",,,F,03JUN2024
2023-06,Tulare,Dual,"24,818",,,F,03JUN2024
2023-06,Tulare,Non-Dual,"273,919",,,F,03JUN2024
2023-06,Tuolumne,Dual,"2,701",,,F,03JUN2024
2023-06,Tuolumne,Non-Dual,"14,154",,,F,03JUN2024
2023-06,Ventura,Dual,"28,132",,,F,03JUN2024
2023-06,Ventura,Non-Dual,"249,002",,,F,03JUN2024
2023-06,Yolo,Dual,"7,403",,,F,03JUN2024
2023-06,Yolo,Non-Dual,"58,936",,,F,03JUN2024
