Month of Eligibility,County,Dual Status,Total Eligibles,Annotation Code,Annotation Description,Status,Date of Data
2025-12,Santa Clara,Non-Dual,"374,778",,,P,09DEC2025
2025-12,Santa Cruz,Dual,"10,454",,,P,09DEC2025
2025-12,Santa Cruz,Non-Dual,"66,354",,,P,09DEC2025
2025-12,Shasta,Dual,"11,360",,,P,09DEC2025
2025-12,Shasta,Non-Dual,"53,935",,,P,09DEC2025
2025-12,Sierra,Dual,198,,,P,09DEC2025
2025-12,Sierra,Non-Dual,555,,,P,09DEC2025
2025-12,Siskiyou,Dual,"3,371",,,P,09DEC2025
2025-12,Siskiyou,Non-Dual,"15,054",,,P,09DEC2025
2025-12,Solano,Dual,"16,990",,,P,09DEC2025
2025-12,Solano,Non-Dual,"124,956",,,P,09DEC2025
2025-12,Sonoma,Dual,"16,733",,,P,09DEC2025
2025-12,Sonoma,Non-Dual,"118,812",,,P,09DEC2025
2025-12,Stanislaus,Dual,"26,312",,,P,09DEC2025
2025-12,Stanislaus,Non-Dual,"221,289",,,P,09DEC2025
2025-12,Sutter,Dual,"5,651",,,P,09DEC2025
2025-12,Sutter,Non-Dual,"39,272",,,P,09DEC2025
2025-12,Tehama,Dual,"4,237",,,P,09DEC2025
2025-12,Tehama,Non-Dual,"25,101",,,P,09DEC2025
2025-12,Trinity,Dual,986,,,P,09DEC2025
2025-12,Trinity,Non-Dual,"4,275",,,P,09DEC2025
2025-12,Tulare,Dual,"26,431",,,P,09DEC2025
2025-12,Tulare,Non-Dual,"258,307",,,P,09DEC2025
2025-12,Tuolumne,Dual,"2,782",,,P,09DEC2025
2025-12,Tuolumne,Non-Dual,"12,036",,,P,09DEC2025
2025-12,Ventura,Dual,"29,331",,,P,09DEC2025
2025-12,Ventura,Non-Dual,"219,360",,,P,09DEC2025
2025-12,Yolo,Dual,"7,507",,,P,09DEC2025
2025-12,Yolo,Non-Dual,"50,832",,,P,09DEC2025
2025-12,Yuba,Dual,"4,586",,,P,09DEC2025
2025-12,Yuba,Non-Dual,"34,223",,,P,09DEC2025
2025-11,Alameda,Dual,"68,888",,,P,09DEC2025
2025-11,Alameda,Non-Dual,"420,958",,,P,09DEC2025
2025-11,Alpine,Dual,46,,,P,09DEC2025
2025-11,Alpine,Non-Dual,264,,,P,09DEC2025
2025-11,Amador,Dual,"1,625",,,P,09DEC2025
2025-11,Amador,Non-Dual,"7,682",,,P,09DEC2025
2025-11,Butte,Dual,"12,561",,,P,09DEC2025
2025-11,Butte,Non-Dual,"72,188",,,P,09DEC2025
2025-11,Calaveras,Dual,"2,198",,,P,09DEC2025
2025-11,Calaveras,Non-Dual,"11,542",,,P,09DEC2025
2025-11,Colusa,Dual,"1,369",,,P,09DEC2025
2025-11,Colusa,Non-Dual,"8,990",,,P,09DEC2025
2025-11,Contra Costa,Dual,"39,792",,,P,09DEC2025
2025-11,Contra Costa,Non-Dual,"292,760",,,P,09DEC2025
2025-11,Del Norte,Dual,"2,057",,,P,09DEC2025
2025-11,Del Norte,Non-Dual,"10,433",,,P,09DEC2025
2025-11,El Dorado,Dual,"5,879",,,P,09DEC2025
2025-11,El Dorado,Non-Dual,"34,200",,,P,09DEC2025
2025-11,Fresno,Dual,"50,769",,,P,09DEC2025
2025-11,Fresno,Non-Dual,"469,870",,,P,09DEC2025
2025-11,Glenn,Dual,"1,833",,,P,09DEC2025
2025-11,Glenn,Non-Dual,"11,748",,,P,09DEC2025
2025-11,Humboldt,Dual,"8,218",,,P,09DEC2025
2025-11,Humboldt,Non-Dual,"49,373",,,P,09DEC2025
2025-11,Imperial,Dual,"17,323",,,P,09DEC2025
2025-11,Imperial,Non-Dual,"82,160",,,P,09DEC2025
2025-11,Inyo,Dual,865,,,P,09DEC2025
2025-11,Inyo,Non-Dual,"4,396",,,P,09DEC2025
2025-11,Kern,Dual,"44,115",,,P,09DEC2025
2025-11,Kern,Non-Dual,"445,858",,,P,09DEC2025
2025-11,Kings,Dual,"6,495",,,P,09DEC2025
2025-11,Kings,Non-Dual,"60,905",,,P,09DEC2025
2025-11,Lake,Dual,"5,888",,,P,09DEC2025
2025-11,Lake,Non-Dual,"28,092",,,P,09DEC2025
2025-11,Lassen,Dual,"1,279",,,P,09DEC2025
2025-11,Lassen,Non-Dual,"7,389",,,P,09DEC2025
2025-11,Los Angeles,Dual,"547,516",,,P,09DEC2025
2025-11,Los Angeles,Non-Dual,"3,448,697",,,P,09DEC2025
2025-11,Madera,Dual,"7,226",,,P,09DEC2025
2025-11,Madera,Non-Dual,"75,557",,,P,09DEC2025
2025-11,Marin,Dual,"6,404",,,P,09DEC2025
2025-11,Marin,Non-Dual,"48,547",,,P,09DEC2025
2025-11,Mariposa,Dual,921,,,P,09DEC2025
2025-11,Mariposa,Non-Dual,"4,767",,,P,09DEC2025
2025-11,Mendocino,Dual,"5,898",,,P,09DEC2025
2025-11,Mendocino,Non-Dual,"35,513",,,P,09DEC2025
2025-11,Merced,Dual,"14,425",,,P,09DEC2025
2025-11,Merced,Non-Dual,"133,785",,,P,09DEC2025
2025-11,Modoc,Dual,715,,,P,09DEC2025
2025-11,Modoc,Non-Dual,"2,843",,,P,09DEC2025
2025-11,Mono,Dual,254,,,P,09DEC2025
2025-11,Mono,Non-Dual,"3,308",,,P,09DEC2025
2025-11,Monterey,Dual,"16,611",,,P,09DEC2025
2025-11,Monterey,Non-Dual,"172,854",,,P,09DEC2025
2025-11,Napa,Dual,"5,060",,,P,09DEC2025
2025-11,Napa,Non-Dual,"31,443",,,P,09DEC2025
2025-11,Nevada,Dual,"4,318",,,P,09DEC2025
2025-11,Nevada,Non-Dual,"24,989",,,P,09DEC2025
2025-11,Orange,Dual,"129,960",,,P,09DEC2025
2025-11,Orange,Non-Dual,"821,756",,,P,09DEC2025
2025-11,Placer,Dual,"10,424",,,P,09DEC2025
2025-11,Placer,Non-Dual,"70,390",,,P,09DEC2025
2025-11,Plumas,Dual,"1,058",,,P,09DEC2025
2025-11,Plumas,Non-Dual,"4,599",,,P,09DEC2025
2025-11,Riverside,Dual,"104,984",,,P,09DEC2025
2025-11,Riverside,Non-Dual,"886,516",,,P,09DEC2025
2025-11,STATEWIDE,STATEWIDE,"14,327,610",,Statewide Total by MOE,P,09DEC2025
2025-11,Sacramento,Dual,"76,744",,,P,09DEC2025
2025-11,Sacramento,Non-Dual,"558,328",,,P,09DEC2025
2025-11,San Benito,Dual,"2,057",,,P,09DEC2025
2025-11,San Benito,Non-Dual,"19,064",,,P,09DEC2025
2025-11,San Bernardino,Dual,"99,254",,,P,09DEC2025
2025-11,San Bernardino,Non-Dual,"848,959",,,P,09DEC2025
2025-11,San Diego,Dual,"126,048",,,P,09DEC2025
2025-11,San Diego,Non-Dual,"813,514",,,P,09DEC2025
2025-11,San Francisco,Dual,"55,721",,,P,09DEC2025
2025-11,San Francisco,Non-Dual,"196,660",,,P,09DEC2025
2025-11,San Joaquin,Dual,"34,238",,,P,09DEC2025
2025-11,San Joaquin,Non-Dual,"281,392",,,P,09DEC2025
2025-11,San Luis Obispo,Dual,"8,407",,,P,09DEC2025
2025-11,San Luis Obispo,Non-Dual,"58,199",,,P,09DEC2025
2025-11,San Mateo,Dual,"21,682",,,P,09DEC2025
2025-11,San Mateo,Non-Dual,"145,953",,,P,09DEC2025
2025-11,Santa Barbara,Dual,"16,453",,,P,09DEC2025
2025-11,Santa Barbara,Non-Dual,"159,952",,,P,09DEC2025
2025-11,Santa Clara,Dual,"69,792",,,P,09DEC2025
2025-11,Santa Clara,Non-Dual,"386,157",,,P,09DEC2025
2025-11,Santa Cruz,Dual,"10,571",,,P,09DEC2025
2025-11,Santa Cruz,Non-Dual,"68,060",,,P,09DEC2025
2025-11,Shasta,Dual,"11,543",,,P,09DEC2025
2025-11,Shasta,Non-Dual,"55,192",,,P,09DEC2025
2025-11,Sierra,Dual,200,,,P,09DEC2025
2025-11,Sierra,Non-Dual,567,,,P,09DEC2025
2025-11,Siskiyou,Dual,"3,406",,,P,09DEC2025
2025-11,Siskiyou,Non-Dual,"15,310",,,P,09DEC2025
2025-11,Solano,Dual,"17,260",,,P,09DEC2025
2025-11,Solano,Non-Dual,"127,608",,,P,09DEC2025
2025-11,Sonoma,Dual,"17,008",,,P,09DEC2025
2025-11,Sonoma,Non-Dual,"121,607",,,P,09DEC2025
2025-11,Stanislaus,Dual,"26,635",,,P,09DEC2025
2025-11,Stanislaus,Non-Dual,"224,647",,,P,09DEC2025
2025-11,Sutter,Dual,"5,735",,,P,09DEC2025
2025-11,Sutter,Non-Dual,"39,832",,,P,09DEC2025
2025-11,Tehama,Dual,"4,274",,,P,09DEC2025
2025-11,Tehama,Non-Dual,"25,584",,,P,09DEC2025
2025-11,Trinity,Dual,998,,,P,09DEC2025
2025-11,Trinity,Non-Dual,"4,363",,,P,09DEC2025
2025-11,Tulare,Dual,"26,708",,,P,09DEC2025
2025-11,Tulare,Non-Dual,"262,204",,,P,09DEC2025
2025-11,Tuolumne,Dual,"2,810",,,P,09DEC2025
2025-11,Tuolumne,Non-Dual,"12,310",,,P,09DEC2025
2025-11,Ventura,Dual,"29,748",,,P,09DEC2025
2025-11,Ventura,Non-Dual,"224,358",,,P,09DEC2025
2025-11,Yolo,Dual,"7,606",,,P,09DEC2025
2025-11,Yolo,Non-Dual,"52,085",,,P,09DEC2025
2025-11,Yuba,Dual,"4,649",,,P,09DEC2025
2025-11,Yuba,Non-Dual,"34,812",,,P,09DEC2025
2025-10,Alameda,Dual,"69,654",,,P,09DEC2025
2025-10,Alameda,Non-Dual,"426,359",,,P,09DEC2025
2025-10,Alpine,Dual,46,,,P,09DEC2025
2025-10,Alpine,Non-Dual,269,,,P,09DEC2025
2025-10,Amador,Dual,"1,641",,,P,09DEC2025
2025-10,Amador,Non-Dual,"7,800",,,P,09DEC2025
2025-10,Butte,Dual,"12,610",,,P,09DEC2025
2025-10,Butte,Non-Dual,"72,887",,,P,09DEC2025
2025-10,Calaveras,Dual,"2,217",,,P,09DEC2025
2025-10,Calaveras,Non-Dual,"11,701",,,P,09DEC2025
2025-10,Colusa,Dual,"1,379",,,P,09DEC2025
2025-10,Colusa,Non-Dual,"9,072",,,P,09DEC2025
2025-10,Contra Costa,Dual,"40,186",,,P,09DEC2025
2025-10,Contra Costa,Non-Dual,"296,618",,,P,09DEC2025
2025-10,Del Norte,Dual,"2,069",,,P,09DEC2025
2025-10,Del Norte,Non-Dual,"10,528",,,P,09DEC2025
2025-10,El Dorado,Dual,"5,939",,,P,09DEC2025
2025-10,El Dorado,Non-Dual,"34,625",,,P,09DEC2025
2025-10,Fresno,Dual,"51,165",,,P,09DEC2025
2025-10,Fresno,Non-Dual,"475,139",,,P,09DEC2025
2025-10,Glenn,Dual,"1,848",,,P,09DEC2025
2025-10,Glenn,Non-Dual,"11,895",,,P,09DEC2025
2025-10,Humboldt,Dual,"8,282",,,P,09DEC2025
2025-10,Humboldt,Non-Dual,"50,084",,,P,09DEC2025
2025-10,Imperial,Dual,"17,467",,,P,09DEC2025
2025-10,Imperial,Non-Dual,"82,943",,,P,09DEC2025
2025-10,Inyo,Dual,870,,,P,09DEC2025
2025-10,Inyo,Non-Dual,"4,455",,,P,09DEC2025
2025-10,Kern,Dual,"44,479",,,P,09DEC2025
2025-10,Kern,Non-Dual,"450,041",,,P,09DEC2025
2025-10,Kings,Dual,"6,530",,,P,09DEC2025
2025-10,Kings,Non-Dual,"61,247",,,P,09DEC2025
2025-10,Lake,Dual,"5,918",,,P,09DEC2025
2025-10,Lake,Non-Dual,"28,319",,,P,09DEC2025
2025-10,Lassen,Dual,"1,304",,,P,09DEC2025
2025-10,Lassen,Non-Dual,"7,487",,,P,09DEC2025
2025-10,Los Angeles,Dual,"551,796",,,P,09DEC2025
2025-10,Los Angeles,Non-Dual,"3,492,402",,,P,09DEC2025
2025-10,Madera,Dual,"7,253",,,P,09DEC2025
2025-10,Madera,Non-Dual,"76,292",,,P,09DEC2025
2025-10,Marin,Dual,"6,498",,,P,09DEC2025
2025-10,Marin,Non-Dual,"49,131",,,P,09DEC2025
2025-10,Mariposa,Dual,935,,,P,09DEC2025
2025-10,Mariposa,Non-Dual,"4,831",,,P,09DEC2025
2025-10,Mendocino,Dual,"5,938",,,P,09DEC2025
2025-10,Mendocino,Non-Dual,"35,807",,,P,09DEC2025
2025-10,Merced,Dual,"14,566",,,P,09DEC2025
2025-10,Merced,Non-Dual,"135,220",,,P,09DEC2025
2025-10,Modoc,Dual,714,,,P,09DEC2025
2025-10,Modoc,Non-Dual,"2,877",,,P,09DEC2025
2025-10,Mono,Dual,253,,,P,09DEC2025
2025-10,Mono,Non-Dual,"3,309",,,P,09DEC2025
2025-10,Monterey,Dual,"16,694",,,P,09DEC2025
2025-10,Monterey,Non-Dual,"174,518",,,P,09DEC2025
2025-10,Napa,Dual,"5,123",,,P,09DEC2025
2025-10,Napa,Non-Dual,"31,690",,,P,09DEC2025
2025-10,Nevada,Dual,"4,349",,,P,09DEC2025
2025-10,Nevada,Non-Dual,"25,164",,,P,09DEC2025
2025-10,Orange,Dual,"130,657",,,P,09DEC2025
2025-10,Orange,Non-Dual,"833,446",,,P,09DEC2025
2025-10,Placer,Dual,"10,550",,,P,09DEC2025
2025-10,Placer,Non-Dual,"71,154",,,P,09DEC2025
2025-10,Plumas,Dual,"1,084",,,P,09DEC2025
2025-10,Plumas,Non-Dual,"4,735",,,P,09DEC2025
2025-10,Riverside,Dual,"105,789",,,P,09DEC2025
2025-10,Riverside,Non-Dual,"896,438",,,P,09DEC2025
2025-10,STATEWIDE,STATEWIDE,"14,500,235",,Statewide Total by MOE,P,09DEC2025
2025-10,Sacramento,Dual,"77,363",,,P,09DEC2025
2025-10,Sacramento,Non-Dual,"567,063",,,P,09DEC2025
2025-10,San Benito,Dual,"2,083",,,P,09DEC2025
2025-10,San Benito,Non-Dual,"19,253",,,P,09DEC2025
2025-10,San Bernardino,Dual,"99,966",,,P,09DEC2025
2025-10,San Bernardino,Non-Dual,"858,545",,,P,09DEC2025
2025-10,San Diego,Dual,"127,226",,,P,09DEC2025
2025-10,San Diego,Non-Dual,"828,326",,,P,09DEC2025
2025-10,San Francisco,Dual,"56,128",,,P,09DEC2025
2025-10,San Francisco,Non-Dual,"199,475",,,P,09DEC2025
2025-10,San Joaquin,Dual,"34,524",,,P,09DEC2025
2025-10,San Joaquin,Non-Dual,"284,433",,,P,09DEC2025
2025-10,San Luis Obispo,Dual,"8,492",,,P,09DEC2025
2025-10,San Luis Obispo,Non-Dual,"58,962",,,P,09DEC2025
2025-10,San Mateo,Dual,"21,901",,,P,09DEC2025
2025-10,San Mateo,Non-Dual,"149,179",,,P,09DEC2025
2025-10,Santa Barbara,Dual,"16,554",,,P,09DEC2025
2025-10,Santa Barbara,Non-Dual,"161,720",,,P,09DEC2025
2025-10,Santa Clara,Dual,"70,421",,,P,09DEC2025
2025-10,Santa Clara,Non-Dual,"392,416",,,P,09DEC2025
2025-10,Santa Cruz,Dual,"10,633",,,P,09DEC2025
2025-10,Santa Cruz,Non-Dual,"68,829",,,P,09DEC2025
2025-10,Shasta,Dual,"11,638",,,P,09DEC2025
2025-10,Shasta,Non-Dual,"55,528",,,P,09DEC2025
2025-10,Sierra,Dual,203,,,P,09DEC2025
2025-10,Sierra,Non-Dual,573,,,P,09DEC2025
2025-10,Siskiyou,Dual,"3,437",,,P,09DEC2025
2025-10,Siskiyou,Non-Dual,"15,462",,,P,09DEC2025
2025-10,Solano,Dual,"17,419",,,P,09DEC2025
