fips5,county_name,population,medi_cal_share,pcp_per_100k,access_gap,need_index,pqi_mean_rate
06009,CALAVERAS,45292.0,0.0671503797580146,35.55687247675839,-25.977623572815645,0.3434560492891876,200.70714285714288
06021,GLENN,28917.0,0.1095311581422692,31.15192911205464,-52.09966426673632,-0.16607403918272182,325.40000000000003
06025,IMPERIAL,179702.0,0.1297695861296294,29.621367611228692,-41.25401762615601,0.12429857984835357,149.80714285714288
06027,INYO,19016.0,0.07434638374702,84.60609692685978,-4.374156447544934,-0.3004807966854205,188.30714285714288
06029,KERN,909235.0,0.0958372166977051,65.17824149469591,-23.275775182433406,-0.2881341452496798,216.40714285714284
06033,LAKE,68163.0,0.1571229585291466,47.375706625936715,-2.6152801569212585,0.6142917511687919,200.42857142857144
06035,LASSEN,32730.0,0.080630240689819,43.639781577298365,-42.476960243728385,-0.23329662041108515,134.9
06043,MARIPOSA,17131.0,0.075538011013173,47.04959811801608,-5.742815218588447,0.5485642233072446,249.93571428571428
06047,MERCED,281202.0,0.1597968522430297,46.056794074956265,-40.561259357152146,-0.24505847539908068,286.0642857142857
06099,STANISLAUS,552878.0,0.0831591324645033,86.05919544013089,-14.017173515983856,-0.5608196747746647,306.85
06105,TRINITY,16112.0,0.1013650970980911,31.296292432556488,-4.878710388023389,0.9384446259250003,51.364285714285714
06107,TULARE,473117.0,0.1368848576387856,66.05408700953708,-16.755678269066593,-0.15570779605340035,230.97142857142856
06115,YUBA,81575.0,0.1047704832842543,34.897783589618115,-52.88713990298115,-0.2724357715516953,317.45714285714286
